case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,linear_pol_deg,channel_set,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,mean_abs_slope_deg_per_deg,slope_std_deg_per_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,0.000000,A_feed_only,E1-E3,100.000000,360.000000,172.642596,532.642596,1.937169,2.134200,77.777778,-20.072964,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,45.000000,A_feed_only,E1-E3,100.000000,529.192905,-120.825952,-480.825952,2.349012,2.643035,56.944444,-22.928868,77.413745,69.269212,171.298346,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,90.000000,A_feed_only,E1-E3,100.000000,587.789777,-120.555770,-120.555770,3.265499,4.228720,54.166667,-33.022852,83.573361,66.065495,174.875601,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,135.000000,A_feed_only,E1-E3,100.000000,360.000000,-153.068992,206.931008,2.182392,2.277453,65.277778,-21.166898,60.272210,46.097324,148.997453,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,0.000000,A_feed_only,E2-E4,98.630137,360.000000,62.015092,422.015092,2.071831,2.708038,80.281690,-36.732609,0.000000,0.000000,0.000000,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,45.000000,A_feed_only,E2-E4,100.000000,360.000000,78.721344,438.721344,1.951030,2.568372,59.722222,-30.466502,72.942142,55.716720,179.227138,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,90.000000,A_feed_only,E2-E4,95.890411,544.315884,51.961369,51.961369,2.630441,3.499914,50.724638,-38.229194,71.204792,50.593896,179.875972,70,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,135.000000,A_feed_only,E2-E4,100.000000,406.696105,19.755483,19.755483,2.304629,2.680667,54.166667,-19.404599,73.971823,56.432912,175.933291,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,0.000000,A_feed_only,E1-E2,98.630137,136.722078,-8.618640,-8.618640,0.963406,2.101298,52.112676,-37.515582,0.000000,0.000000,0.000000,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,45.000000,A_feed_only,E1-E2,100.000000,411.908332,-5.903346,-365.903346,1.345818,2.817866,84.722222,-30.934830,43.036619,29.812953,132.500159,73,73
