freq_ghz,source,element,feed,theta_deg,phi_deg,etheta_re,etheta_im,ephi_re,ephi_im,gain_proxy_mag,linpol0_re,linpol0_im,linpol0_mag,linpol0_phase_deg,linpol45_re,linpol45_im,linpol45_mag,linpol45_phase_deg,linpol90_re,linpol90_im,linpol90_mag,linpol90_phase_deg,linpol135_re,linpol135_im,linpol135_mag,linpol135_phase_deg
7.738000,P1A,1,A,0.000000,0.000000,2942.665737,2943.489277,-3557.769334,-811.103756,5535.252722,2942.665737,2943.489277,4162.140166,45.008016,-434.943925,1507.824262,1569.302463,106.090628,-3557.769334,-811.103756,3649.056308,-167.157153,-4596.501719,-2654.898194,5308.136441,-149.989655
7.738000,P1A,1,A,5.000000,0.000000,2513.565986,3404.451536,-3533.482165,-1363.165935,5679.086353,2513.565986,3404.451536,4231.820439,53.560901,-721.189647,1443.406891,1613.548251,116.548733,-3533.482165,-1363.165935,3787.310072,-158.904112,-4275.908754,-3371.214644,5445.042135,-141.747025
7.738000,P1A,1,A,10.000000,0.000000,1996.073922,3761.938605,-3393.619041,-1865.941406,5756.290533,1996.073922,3761.938605,4258.696182,62.049706,-988.213631,1340.672477,1665.523602,126.394037,-3393.619041,-1865.941406,3872.775172,-151.196324,-3811.088443,-3979.512120,5510.073669,-133.761525
7.738000,P1A,1,A,15.000000,0.000000,1422.044273,4004.397390,-3146.418682,-2291.682412,5762.739555,1422.044273,4004.397390,4249.400943,70.448998,-1219.316838,1211.072375,1718.554582,135.194360,-3146.418682,-2291.682412,3892.526018,-143.932415,-3230.391135,-4452.000723,5500.521550,-125.964802
7.738000,P1A,1,A,20.000000,0.000000,827.102122,4128.342810,-2808.796828,-2618.768142,5698.648829,827.102122,4128.342810,4210.381488,78.670938,-1401.269765,1067.430484,1761.523429,142.701320,-2808.796828,-2618.768142,3840.219552,-137.005208,-2570.968804,-4770.927908,5419.560286,-118.319443
7.738000,P1A,1,A,25.000000,0.000000,246.510805,4139.004681,-2404.995397,-2833.917669,5568.412659,246.510805,4139.004681,4146.339027,86.591605,-1526.279092,922.835876,1783.578964,148.841535,-2404.995397,-2833.917669,3716.865913,-130.319498,-1874.898016,-4930.600678,5275.041765,-110.819683
7.738000,P1A,1,A,30.000000,0.000000,-289.041245,4050.015693,-1964.029869,-2933.404820,5380.376299,-289.041245,4050.015693,4060.316731,94.082160,-1593.161864,789.563120,1778.081732,153.637213,-1964.029869,-2933.404820,3530.195060,-123.803864,-1184.395814,-4938.024000,5078.077833,-103.487725
7.738000,P1A,1,A,35.000000,0.000000,-756.776225,3881.740510,-1516.299324,-2922.973252,5146.217632,-756.776225,3881.740510,3954.822328,101.031889,-1607.307135,677.950830,1744.435024,157.130325,-1516.299324,-2922.973252,3292.861411,-117.418134,-537.063934,-4811.659245,4841.539255,-96.368833
7.738000,P1A,1,A,40.000000,0.000000,-1143.516269,3658.362699,-1090.008788,-2816.400044,4879.700346,-1143.516269,3658.362699,3832.916265,107.357990,-1579.340713,595.357503,1687.829270,159.345271,-1090.008788,-2816.400044,3019.971584,-111.157534,37.835503,-4578.348643,4578.504976,-89.526518
7.738000,P1A,1,A,45.000000,0.000000,-1445.478987,3404.395407,-708.142932,-2632.982184,4594.929726,-1445.478987,3404.395407,3698.556150,113.005688,-1522.840663,545.471522,1617.585505,160.292809,-708.142932,-2632.982184,2726.547559,-105.053536,521.375325,-4269.070635,4300.790197,-83.037032
