freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,-27.610667,-27.610667,-0.662626,-1.371300,True,1569.302463,1446.348595
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,-14.991598,-14.991598,-1.064937,-1.790032,True,1498.273634,1378.276601
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,-1.757655,-1.757655,-1.562240,-2.255450,True,1414.900674,1306.367785
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,12.144827,12.144827,-2.142896,-2.731309,True,1323.406178,1236.723320
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,26.653887,26.653887,-2.788881,-3.180305,True,1228.553067,1174.418066
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,41.548833,41.548833,-3.476551,-3.576037,True,1135.038072,1122.111789
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,56.474114,56.474114,-4.177646,-3.911133,True,1047.021696,1079.645824
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,71.003573,71.003573,-4.861540,-4.194402,True,967.745118,1045.003781
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,84.696707,84.696707,-5.498931,-4.439672,True,899.272705,1015.907939
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,97.135118,97.135118,-6.065291,-4.655637,True,842.506800,990.959966
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,107.958762,107.958762,-6.541820,-4.842710,True,797.529898,969.845375
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,116.910953,116.910953,-6.913750,-4.995917,True,764.100468,952.888550
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,123.877759,123.877759,-7.168378,-5.109429,True,742.025922,940.516723
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,128.900904,128.900904,-7.295222,-5.179287,True,731.268518,932.982760
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,132.154070,132.154070,-7.288384,-5.203729,True,731.844446,930.361054
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,133.889905,133.889905,-7.149240,-5.182356,True,743.662646,932.653228
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,134.377364,134.377364,-6.887639,-5.115478,True,766.400947,939.862019
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,133.849499,133.849499,-6.521133,-5.004118,True,799.431649,951.989292
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,132.472779,132.472779,-6.072963,-4.850478,True,841.762973,968.978389
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,130.338613,130.338613,-5.569803,-4.658517,True,891.964999,990.631435
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,127.471213,127.471213,-5.039914,-4.434452,True,948.074065,1016.518709
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,123.843999,123.843999,-4.511869,-4.187060,True,1007.498740,1045.887484
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,119.397399,119.397399,-4.013665,-3.927757,True,1066.976162,1077.581463
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,114.052740,114.052740,-3.571913,-3.670330,True,1122.644687,1109.996196
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,107.719275,107.719275,-3.210833,-3.430193,True,1170.297641,1141.112124
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,100.294431,100.294431,-2.950887,-3.223050,True,1205.850978,1168.652774
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,91.660674,91.660674,-2.807020,-3.062941,True,1225.990090,1190.394551
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,81.685162,81.685162,-2.786620,-2.959955,True,1228.872873,1204.592648
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,70.229094,70.229094,-2.887426,-2.918203,True,1214.693467,1210.396966
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,57.171516,57.171516,-3.095842,-2.934904,True,1185.893981,1208.071861
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,42.447575,42.447575,-3.386501,-3.001194,True,1146.866645,1198.887069
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,26.095240,26.095240,-3.724468,-3.104355,True,1103.099262,1184.732282
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,8.298340,8.298340,-4.071783,-3.230175,True,1059.860842,1167.694444
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,-10.593035,-10.593035,-4.398647,-3.364197,True,1020.717701,1149.815403
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,-30.085870,-30.085870,-4.695571,-3.492335,True,986.414475,1132.977410
