freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count,strategy_note
7.738000,45.000000,0.000000,x_only_a_port,E1-E3,100.000000,334.173422,-27.610667,-27.610667,54.166667,-9.847437,0.000000,0.000000,0.000000,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,45.000000,x_only_a_port,E1-E3,100.000000,445.630223,72.347107,72.347107,58.333333,-25.846674,78.047702,72.405698,109.990470,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,90.000000,x_only_a_port,E1-E3,100.000000,374.980377,100.538324,100.538324,52.777778,-27.858785,129.177651,124.447759,177.480738,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,135.000000,x_only_a_port,E1-E3,100.000000,466.857399,170.966048,170.966048,50.000000,-27.285364,126.843353,116.999494,176.534616,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,0.000000,x_only_a_port,E2-E4,100.000000,319.631086,127.463323,127.463323,58.333333,-10.597806,0.000000,0.000000,0.000000,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,45.000000,x_only_a_port,E2-E4,100.000000,446.819031,-110.996705,-110.996705,52.777778,-17.339610,86.753810,76.175818,132.838387,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,90.000000,x_only_a_port,E2-E4,100.000000,720.000000,-47.618621,672.381379,69.444444,-31.002650,139.724320,135.277294,179.476623,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,135.000000,x_only_a_port,E2-E4,100.000000,383.772384,67.917683,67.917683,55.555556,-19.439946,71.548872,64.104753,127.995717,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,0.000000,x_only_a_port,E1-E2,100.000000,83.608834,10.233842,10.233842,55.555556,-12.737846,0.000000,0.000000,0.000000,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,45.000000,x_only_a_port,E1-E2,100.000000,60.641735,-8.371614,-8.371614,66.666667,-21.376107,16.793179,14.238609,34.685147,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,90.000000,x_only_a_port,E1-E2,100.000000,103.226786,-23.453706,-23.453706,76.388889,-33.523399,31.137977,26.412268,67.109209,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,135.000000,x_only_a_port,E1-E2,100.000000,76.038251,-23.290065,-23.290065,63.888889,-25.501025,35.176920,31.592153,58.640849,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,0.000000,x_only_a_port,E2-E3,100.000000,307.850397,-37.844508,-37.844508,58.333333,-10.525762,0.000000,0.000000,0.000000,73,73,仅使用 A 口，全局 X 极化通道。
