index,candidate,slotcoupled_enabled,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,feed_offset_u_mm,feed_pad_radius_mm,port_width_mm,microstrip_feed_enabled,microstrip_feedline_length_mm,microstrip_feedline_width_mm,microstrip_match_length_mm,microstrip_match_width_mm,microstrip_transform2_length_mm,microstrip_transform2_width_mm,microstrip_feed_mirror_enabled,dualpol_parasitic_enabled,parasitic_side_mm,parasitic_corner_cut_mm,parasitic_rotation_deg,parasitic_offset_u_mm,parasitic_offset_v_mm,air_gap_mm,dualpol_slotcoupled_enabled,feed_substrate_h_mm,slot_coupled_aperture_length_a_mm,slot_coupled_aperture_length_b_mm,slot_coupled_aperture_width_mm,slot_coupled_offset_a_mm,slot_coupled_offset_b_mm,slot_coupled_feedline_length_mm,slot_coupled_feedline_width_mm,neutralization_branch_enabled,local_dgs_enabled,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score,slot_coupled_aperture_center_a_v_mm,slot_coupled_aperture_center_b_u_mm,slot_coupled_feedline_offset_a_v_mm,slot_coupled_feedline_offset_b_u_mm
1,stacked_reference_prev,False,89.863633,上一轮最优叠层寄生贴片真实网络参考，用于判断缝隙耦合窗口是否带来净收益。,-6.380632,10.386764,"dB(S(P2B:1,P2B:1))","dB(S(P1A:1,P1B:1))",-6.818128,-6.380632,0.437496,10.386764,14.481868,9.150000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,0.000000,0.000000,0.000000,1.200000,0.000000,0.254000,3.600000,3.600000,0.450000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,55.057389,,,,
2,slot_l3p2_w0p40_feed0p55_patch9p35,True,80.925257,小缝隙窗口和窄下层馈线，优先验证弱耦合窗口是否能保住端口匹配。,-0.985685,2.616754,"dB(S(P1A:1,P1A:1))","dB(S(P2A:1,P2B:1))",-0.985685,-1.204724,0.219039,2.616754,32.890860,9.350000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.254000,3.200000,3.200000,0.400000,0.000000,0.000000,10.000000,0.550000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,133.030750,,,,
3,slot_l3p6_w0p45_feed0p60,True,74.430505,中等正交缝隙窗口和 0.60 mm 下层馈线，作为本轮主候选。,-1.787889,2.830048,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-1.825441,-1.787889,0.037552,2.830048,38.166126,9.350000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.254000,3.600000,3.600000,0.450000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,125.546643,,,,
2,slot_sep_l4p4_w0p65_h0p18_feed0p75,True,76.539993,A/B 孔缝和下层馈线分离布置，缩短中心交叉耦合路径，并用更近的下层馈线增强孔缝耦合。,-0.206763,1.132994,"dB(S(P3B:1,P3B:1))","dB(S(P4B:1,P4A:1))",-0.234643,-0.206763,0.027880,1.132994,38.277201,9.350000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.180000,4.400000,4.400000,0.650000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,146.680928,-1.550000,1.550000,-1.550000,1.550000
3,slot_sep_l5p0_w0p70_h0p18_feed0p80_patch9p55,True,72.406711,放大贴片并加长分离孔缝，优先提升耦合强度和回波匹配。,-0.153191,1.382158,"dB(S(P2A:1,P2A:1))","dB(S(P4B:1,P4A:1))",-0.153191,-0.158347,0.005155,1.382158,43.504135,9.550000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.180000,5.000000,5.000000,0.700000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,145.863678,-1.550000,1.550000,-1.550000,1.550000
4,slot_sep_l4p8_w0p70_h0p10_feed0p80,True,70.362563,进一步拉近下层馈线到接地缝的距离，检查耦合不足是否来自下层介质过厚。,-0.057695,3.890227,"dB(S(P1A:1,P1A:1))","dB(S(P4B:1,P4A:1))",-0.057695,-0.057723,0.000028,3.890227,50.951963,9.550000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.100000,4.800000,4.800000,0.700000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,134.087306,-1.500000,1.500000,-1.500000,1.500000
5,slot_sep_l4p4_w0p65_h0p18_par9p75,True,72.397895,分离孔缝上方叠加弱寄生贴片，尝试在增强耦合后恢复方向图对称性。,-0.223026,1.047064,"dB(S(P1A:1,P1A:1))","dB(S(P4B:1,P4A:1))",-0.223026,-0.226143,0.003117,1.047064,39.212514,9.150000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,0.000000,0.000000,0.000000,0.800000,1.000000,0.180000,4.400000,4.400000,0.650000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,146.980473,-1.500000,1.500000,-1.500000,1.500000
6,slot_sep_l5p2_w0p75_h0p18_feed0p85,True,76.638411,强耦合分离孔缝上限候选，用于判断当前结构能否把回波拉回可优化区间。,-0.119772,1.397068,"dB(S(P1A:1,P1A:1))","dB(S(P4B:1,P4A:1))",-0.119772,-0.168823,0.049051,1.397068,39.851779,9.550000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.180000,5.200000,5.200000,0.750000,0.000000,0.000000,10.000000,0.850000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,146.056483,-1.450000,1.450000,-1.450000,1.450000
9,slot_l4p0_w0p50_feed0p60,True,72.390984,加长缝隙窗口提高耦合强度，观察回波和同阵元隔离的平衡点。,-1.966774,1.978863,"dB(S(P4A:1,P4A:1))","dB(S(P1A:1,P1B:1))",-1.966774,-1.981090,0.014316,1.978863,44.137752,9.350000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.254000,4.000000,4.000000,0.500000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,128.371490,0.000000,0.000000,0.000000,0.000000
10,slot_l4p4_w0p55_feed0p65,True,72.392435,更强耦合窗口和较宽馈线，用于检查槽耦合匹配上限。,-2.289091,1.374918,"dB(S(P3A:1,P3A:1))","dB(S(P2A:1,P2B:1))",-2.289091,-2.302057,0.012966,1.374918,38.804452,9.350000,3.400000,0.280000,0.500000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.254000,4.400000,4.400000,0.550000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,128.812687,0.000000,0.000000,0.000000,0.000000
