freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-49.209433,-49.209433,-0.284691,-4.316991,True,1.248000,0.784512
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-38.302512,-38.302512,-0.389342,-4.310879,True,1.233054,0.785064
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-26.906970,-26.906970,-0.507008,-4.298691,True,1.216462,0.786166
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-15.043624,-15.043624,-0.633505,-4.282878,True,1.198875,0.787599
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-2.866312,-2.866312,-0.764236,-4.267898,True,1.180966,0.788958
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,9.359713,9.359713,-0.894070,-4.258615,True,1.163444,0.789802
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,21.336749,21.336749,-1.017055,-4.258539,True,1.147087,0.789809
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,32.821189,32.821189,-1.126220,-4.268990,True,1.132760,0.788859
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,43.662017,43.662017,-1.213680,-4.289055,True,1.121412,0.787039
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,53.783670,53.783670,-1.271151,-4.315685,True,1.114016,0.784630
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,63.148344,63.148344,-1.290813,-4.343816,True,1.111497,0.782093
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,71.732529,71.732529,-1.266410,-4.367014,True,1.114624,0.780007
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,79.526395,79.526395,-1.194435,-4.378792,True,1.123899,0.778950
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.542500,86.542500,-1.075387,-4.374171,True,1.139409,0.779364
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,92.816463,92.816463,-0.915082,-4.350789,True,1.160633,0.781465
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,98.392702,98.392702,-0.725741,-4.309180,True,1.186211,0.785218
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,103.300226,103.300226,-0.525988,-4.252296,True,1.213807,0.790377
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,107.528153,107.528153,-0.338501,-4.184640,True,1.240292,0.796557
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,111.009024,111.009024,-0.184742,-4.111362,True,1.262444,0.803306
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,113.614592,113.614592,-0.078372,-4.037516,True,1.277999,0.810165
