freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count,strategy_note
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,330.113588,-49.209433,-49.209433,58.333333,-4.547075,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,294.422711,-54.342150,-54.342150,51.388889,-5.417784,17.653655,14.890558,32.883748,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,460.569319,-50.516275,-50.516275,58.333333,-3.694804,50.913775,30.022090,173.876294,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,375.887280,-43.918684,-43.918684,55.555556,-5.302652,10.875932,8.539240,25.349420,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,324.279777,-118.240802,-118.240802,58.333333,-5.420574,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,359.052980,-130.102679,-130.102679,55.555556,-5.419462,14.853847,12.246742,28.103135,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,440.304273,-121.396805,-121.396805,55.555556,-3.290155,49.104069,30.559920,169.424520,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,291.667285,-112.252017,-112.252017,54.166667,-5.600531,15.999915,13.499835,31.419116,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,17.830992,36.570383,36.570383,51.388889,-1.846498,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,28.000648,34.694807,34.694807,58.333333,-5.078483,8.322091,6.344458,18.848987,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,123.285764,34.478291,34.478291,51.388889,-3.010814,18.138327,8.296682,126.629056,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,40.244918,35.291022,35.291022,50.000000,-4.995597,8.023756,6.683176,17.421287,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,327.415085,-80.675338,-80.675338,59.722222,-3.832815,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,286.418516,-92.372304,-92.372304,55.555556,-4.587542,18.143527,15.570692,27.942028,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,468.026655,-89.899701,270.100299,63.888889,-3.691559,49.395151,34.770280,161.387317,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,353.118769,-81.470235,-81.470235,55.555556,-4.765696,15.077064,12.613567,32.657965,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,13.889542,-36.172822,-36.172822,59.722222,-2.540301,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,78.204104,-40.438840,-40.438840,52.777778,-4.626853,19.807278,15.434430,40.836486,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-38.250457,321.749543,83.333333,-4.040804,59.434737,28.622549,179.592369,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,66.689606,-32.545841,-32.545841,61.111111,-4.402386,18.333325,14.076520,35.039953,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,328.114304,83.122822,83.122822,56.944444,-6.134834,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,353.326165,90.809158,90.809158,52.777778,-6.249704,14.779588,11.210404,32.582357,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,332.233586,88.044158,88.044158,56.944444,-3.356815,35.012809,22.994622,134.706250,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,309.723389,81.297536,81.297536,52.777778,-6.137486,12.805403,9.509185,33.053022,73,73,
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,232.869586,-53.110158,-53.110158,59.722222,-4.562036,0.000000,0.000000,0.000000,73,73,
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,219.569198,-53.441794,-53.441794,59.722222,-5.275538,8.325463,6.955446,16.891422,73,73,
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,557.959442,-48.576374,-408.576374,50.000000,-5.275199,43.913970,23.685942,167.400646,73,73,
