freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,0.000000,-5.156710,0.000000,-5.156710,-5.156710,-1.561851,-11.588133,4.805116,12.544878,-1.561851,2455.874595,1517.946735,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,5.000000,11.834195,13.767512,-1.933316,-1.933316,1.661543,-11.588133,4.805116,12.544878,5.545858,2492.128914,1457.205180,0.061628,0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,10.000000,30.344715,27.430244,2.914471,2.914471,6.509331,-11.588133,4.805116,12.544878,14.248398,2511.225378,1393.701299,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,15.000000,50.220060,40.884216,9.335844,9.335844,12.930704,-11.588133,4.805116,12.544878,24.465625,2510.589040,1333.424602,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,20.000000,70.804982,54.027034,16.777948,16.777948,20.372807,-11.588133,4.805116,12.544878,35.615794,2488.337100,1281.099968,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,25.000000,90.970763,66.758674,24.212088,24.212088,27.806948,-11.588133,4.805116,12.544878,46.641993,2443.348308,1238.695330,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,30.000000,109.542148,78.982240,30.559908,30.559908,34.154767,-11.588133,4.805116,12.544878,56.438524,2375.562469,1205.066560,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,35.000000,125.762904,90.604704,35.158200,35.158200,38.753060,-11.588133,4.805116,12.544878,64.315935,2286.372075,1177.142749,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,40.000000,139.385051,101.537611,37.847440,37.847440,41.442300,-11.588133,4.805116,12.544878,70.089745,2178.810197,1151.784454,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,45.000000,150.466513,111.697756,38.768758,38.768758,42.363617,-11.588133,4.805116,12.544878,73.877608,2057.351560,1127.094125,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,50.000000,159.153935,121.007813,38.146122,38.146122,41.740982,-11.588133,4.805116,12.544878,75.881678,1927.385866,1102.683054,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,55.000000,165.563434,129.396927,36.166507,36.166507,39.761366,-11.588133,4.805116,12.544878,76.268936,1794.589045,1079.214929,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,60.000000,169.743812,136.801253,32.942559,32.942559,36.537418,-11.588133,4.805116,12.544878,75.134017,1664.418075,1057.795564,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,65.000000,171.688056,143.164439,28.523617,28.523617,32.118476,-11.588133,4.805116,12.544878,72.510361,1541.836389,1039.561549,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,70.000000,171.380168,148.438057,22.942111,22.942111,26.536970,-11.588133,4.805116,12.544878,68.416734,1431.238694,1025.511713,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,75.000000,168.880660,152.581972,16.298689,16.298689,19.893548,-11.588133,4.805116,12.544878,62.942461,1336.455296,1016.467649,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,80.000000,164.437572,155.564645,8.872927,8.872927,12.467786,-11.588133,4.805116,12.544878,56.358219,1260.697429,1013.057824,0.696364,0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,85.000000,158.550315,157.363378,1.186937,1.186937,4.781796,-11.588133,4.805116,12.544878,49.179717,1206.351337,1015.687718,0.704416,0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,90.000000,151.881346,157.964481,-6.083135,-6.083135,-2.488275,-11.588133,4.805116,12.544878,42.079239,1174.628996,1024.501138,0.707107,0.707107,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,95.000000,145.025289,157.363378,-12.338089,-12.338089,-8.743229,-11.588133,4.805116,12.544878,35.654691,1165.205782,1039.342103,0.704416,0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,100.000000,138.312609,155.564645,-17.252036,-17.252036,-13.657176,-11.588133,4.805116,12.544878,30.233256,1176.040882,1059.717002,0.696364,0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,105.000000,131.784033,152.581972,-20.797938,-20.797938,-17.203079,-11.588133,4.805116,12.544878,25.845834,1203.510026,1084.754215,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,110.000000,125.289371,148.438057,-23.148686,-23.148686,-19.553827,-11.588133,4.805116,12.544878,22.325937,1242.829160,1113.168108,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,115.000000,118.599328,143.164439,-24.565111,-24.565111,-20.970252,-11.588133,4.805116,12.544878,19.421633,1288.656153,1143.251169,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,120.000000,111.474630,136.801253,-25.326623,-25.326623,-21.731764,-11.588133,4.805116,12.544878,16.864835,1335.780752,1172.933704,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,125.000000,103.691702,129.396927,-25.705226,-25.705226,-22.110366,-11.588133,4.805116,12.544878,14.397203,1379.859036,1199.955288,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,130.000000,95.041629,121.007813,-25.966184,-25.966184,-22.371325,-11.588133,4.805116,12.544878,11.769371,1418.117961,1222.171696,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,135.000000,85.316604,111.697756,-26.381152,-26.381152,-22.786293,-11.588133,4.805116,12.544878,8.727699,1449.848397,1237.961501,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,140.000000,74.289930,101.537611,-27.247681,-27.247681,-23.652821,-11.588133,4.805116,12.544878,4.994624,1476.407777,1246.607465,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,145.000000,61.687074,90.604704,-28.917630,-28.917630,-25.322771,-11.588133,4.805116,12.544878,0.240105,1500.486332,1248.467453,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,150.000000,47.142038,78.982240,-31.840203,-31.840203,-28.245343,-11.588133,4.805116,12.544878,-5.961587,1524.652480,1244.804880,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,155.000000,30.152223,66.758674,-36.606452,-36.606452,-33.011592,-11.588133,4.805116,12.544878,-14.176547,1549.652799,1237.342913,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,160.000000,10.121247,54.027034,-43.905787,-43.905787,-40.310928,-11.588133,4.805116,12.544878,-25.067941,1573.317925,1227.809047,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,165.000000,-13.273156,40.884216,-54.157372,-54.157372,-50.562512,-11.588133,4.805116,12.544878,-39.027591,1590.813425,1217.727508,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,170.000000,-39.245296,27.430244,-66.675540,-66.675540,-63.080681,-11.588133,4.805116,12.544878,-55.341613,1596.319062,1208.440576,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,175.000000,-65.548090,13.767512,-79.315602,-79.315602,-75.720742,-11.588133,4.805116,12.544878,-71.836428,1585.493857,1201.062629,0.061628,0.061628,phi45.0_pol0.0
