freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-53.812154,-53.812154,-0.328168,-2.046515,True,0.971592,0.797198
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-34.693753,-34.693753,-0.335361,-2.018370,True,0.970787,0.799786
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-16.604601,-16.604601,-0.373618,-2.001482,True,0.966521,0.801342
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-0.134076,-0.134076,-0.444233,-2.004653,True,0.958695,0.801050
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,14.409821,14.409821,-0.542658,-2.028197,True,0.947893,0.798881
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,26.991494,26.991494,-0.661386,-2.067525,True,0.935024,0.795272
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,37.761185,37.761185,-0.792560,-2.116399,True,0.921010,0.790810
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,46.962794,46.962794,-0.929267,-2.168394,True,0.906627,0.786090
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,54.873533,54.873533,-1.065720,-2.217092,True,0.892496,0.781695
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,61.774099,61.774099,-1.196923,-2.255807,True,0.879116,0.778219
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,67.933855,67.933855,-1.318252,-2.277250,True,0.866921,0.776300
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,73.596540,73.596540,-1.425158,-2.273173,True,0.856316,0.776665
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,78.957041,78.957041,-1.513012,-2.233977,True,0.847699,0.780177
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,84.126992,84.126992,-1.577113,-2.148478,True,0.841466,0.787895
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,89.098249,89.098249,-1.612831,-2.004462,True,0.838013,0.801067
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,93.725082,93.725082,-1.615934,-1.791232,True,0.837713,0.820976
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,97.743895,97.743895,-1.583234,-1.505400,True,0.840873,0.848442
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.821859,100.821859,-1.513806,-1.159592,True,0.847621,0.882902
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,102.591661,102.591661,-1.411016,-0.789495,True,0.857712,0.921335
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,102.626495,102.626495,-1.285415,-0.450713,True,0.870205,0.957980
7.738000,45.000000,100.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.349476,100.349476,-1.158038,-0.201161,True,0.883060,0.985903
7.738000,45.000000,105.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,94.970360,94.970360,-1.063243,-0.078840,True,0.892750,0.999885
7.738000,45.000000,110.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,85.829621,85.829621,-1.050014,-0.092136,True,0.894111,0.998356
7.738000,45.000000,115.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,73.876344,73.876344,-1.178069,-0.227486,True,0.881026,0.982919
7.738000,45.000000,120.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,63.208869,63.208869,-1.491172,-0.463888,True,0.849833,0.956528
7.738000,45.000000,125.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,58.788047,58.788047,-1.929067,-0.783272,True,0.808051,0.921995
7.738000,45.000000,130.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,63.220627,63.220627,-2.236816,-1.173832,True,0.779922,0.881456
7.738000,45.000000,135.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,76.190516,76.190516,-2.174989,-1.627722,True,0.785494,0.836577
7.738000,45.000000,140.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,92.701927,92.701927,-1.827714,-2.133132,True,0.817535,0.789288
7.738000,45.000000,145.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,105.828374,105.828374,-1.408864,-2.655045,True,0.857924,0.743259
7.738000,45.000000,150.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,113.230886,113.230886,-1.032340,-3.089501,True,0.895932,0.706996
7.738000,45.000000,155.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,115.545047,115.545047,-0.727447,-3.189610,True,0.927940,0.698895
7.738000,45.000000,160.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,112.369869,112.369869,-0.496214,-2.641647,True,0.952975,0.744406
7.738000,45.000000,165.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,94.656366,94.656366,-0.340761,-1.640784,True,0.970184,0.835320
7.738000,45.000000,170.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,4.796246,4.796246,-0.275496,-1.025766,True,0.977501,0.896611
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-33.298228,-33.298228,-0.341144,-1.124119,True,0.970141,0.886515
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-43.456974,-43.456974,-0.626034,-1.590798,True,0.938838,0.840141
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-50.682276,-50.682276,-1.168798,-2.084368,True,0.881967,0.793732
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-69.238591,-69.238591,-1.282852,-2.439643,True,0.870462,0.761921
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,148.817335,-211.182665,-0.640868,-2.605205,True,0.937236,0.747536
7.738000,45.000000,200.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,136.625301,-223.374699,-0.187995,-2.590045,True,0.987398,0.748842
7.738000,45.000000,205.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,133.047401,-226.952599,-0.016474,-2.425489,True,1.007090,0.763164
7.738000,45.000000,210.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,131.238976,-228.761024,0.000000,-2.138404,True,1.009002,0.788809
7.738000,45.000000,215.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,130.257402,-229.742598,-0.075727,-1.744905,True,1.000244,0.825367
7.738000,45.000000,220.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,129.756742,-230.243258,-0.219364,-1.281123,True,0.983839,0.870635
7.738000,45.000000,225.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,129.372170,-230.627830,-0.423192,-0.891025,True,0.961020,0.910628
7.738000,45.000000,230.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,127.599007,-232.400993,-0.687032,-0.865084,True,0.932268,0.913352
7.738000,45.000000,235.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-20.222763,-380.222763,-1.012698,-1.314796,True,0.897961,0.867266
7.738000,45.000000,240.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-38.005373,-398.005373,-1.394595,-1.920241,True,0.859335,0.808873
