index,candidate,stacked_enabled,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,feed_offset_u_mm,feed_pad_radius_mm,port_width_mm,microstrip_feed_enabled,microstrip_feedline_length_mm,microstrip_feedline_width_mm,microstrip_match_length_mm,microstrip_match_width_mm,microstrip_transform2_length_mm,microstrip_transform2_width_mm,microstrip_feed_mirror_enabled,dualpol_parasitic_enabled,parasitic_side_mm,parasitic_corner_cut_mm,parasitic_rotation_deg,parasitic_offset_u_mm,parasitic_offset_v_mm,air_gap_mm,neutralization_branch_enabled,local_dgs_enabled,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score
1,mirror_patch9p25_reference,False,81.371823,上一轮镜像边馈最优候选，不加叠层寄生贴片，用作本轮硬件基线。,-7.816776,9.576869,"dB(S(P3A:1,P3A:1))","dB(S(P1A:1,P1B:1))",-7.816776,-8.100212,0.283437,9.576869,15.281649,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,46.018151
2,stack_p9p55_gap0p80,True,79.708082,小型寄生贴片和低空气间隙，优先观察回波是否过度劣化。,-7.691201,10.377620,"dB(S(P4A:1,P4A:1))","dB(S(P3B:1,P3A:1))",-7.691201,-7.704486,0.013285,10.377620,15.474931,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.550000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,41.632431
3,stack_p9p75_gap1p20,True,77.343632,中等寄生贴片和 1.20 mm 空气层，尝试让辐射孔径主导方向图。,-5.757128,10.009989,"dB(S(P2B:1,P2B:1))","dB(S(P3A:1,P3B:1))",-5.770538,-5.757128,0.013410,10.009989,14.469244,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,60.954544
4,stack_p9p95_gap1p60,True,90.548442,较大寄生贴片和更高空气层，用于降低馈线近场对主辐射孔径的影响。,-5.152738,10.593421,"dB(S(P1A:1,P1A:1))","dB(S(P1A:1,P1B:1))",-5.152738,-5.154892,0.002155,10.593421,13.737374,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.950000,0.000000,0.000000,0.000000,0.000000,1.600000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,64.336243
5,stack_p9p75_gap1p20_rot45,True,75.369638,寄生贴片旋转 45 deg，测试对 X/Y 双极化方向图对称性的影响。,-5.449958,9.716402,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-5.597521,-5.449958,0.147564,9.716402,14.438737,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,45.000000,0.000000,0.000000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,64.940856
6,stack_p9p75_gap1p20_offu0p15,True,74.581693,寄生贴片沿本地 u 方向轻微偏移，用于补偿边馈相位中心偏移。,-5.320736,10.428331,"dB(S(P2B:1,P2B:1))","dB(S(P1B:1,P1A:1))",-5.600350,-5.320736,0.279614,10.428331,14.404665,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,0.000000,0.150000,0.000000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,62.483128
7,stack_p9p75_gap1p20_offv0p15,True,87.334045,寄生贴片沿本地 v 方向轻微偏移，用于补偿正交端口相位中心不一致。,-5.516116,9.872432,"dB(S(P2B:1,P2B:1))","dB(S(P1A:1,P1B:1))",-5.606902,-5.516116,0.090786,9.872432,14.432870,9.250000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,0.000000,0.000000,0.150000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,63.643177
8,stack_drive9p15_par9p75_gap1p20,True,77.392747,缩小下层驱动贴片、保持中等寄生贴片，弱化下层边馈加载。,-6.380632,10.386764,"dB(S(P2B:1,P2B:1))","dB(S(P1B:1,P1A:1))",-6.818128,-6.380632,0.437496,10.386764,14.481868,9.150000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.750000,0.000000,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,54.057389
9,stack_drive9p35_par9p95_gap1p20,True,75.455262,放大下层驱动贴片并配较大寄生片，检查谐振下移后的匹配空间。,-4.529965,10.431047,"dB(S(P3A:1,P3A:1))","dB(S(P1A:1,P1B:1))",-4.529965,-4.663713,0.133748,10.431047,13.926646,9.350000,3.400000,0.280000,0.500000,1.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,1.000000,9.950000,0.000000,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,69.751754
10,stack_p9p75_gap1p20_wide_out,True,75.304082,叠层结构配略宽输出变换段，尝试恢复叠层加载后的端口匹配。,-5.401156,10.340812,"dB(S(P3A:1,P3A:1))","dB(S(P1B:1,P1A:1))",-5.401156,-5.410618,0.009462,10.340812,14.381680,9.250000,3.400000,0.280000,0.500000,1.000000,1.850000,0.600000,0.520000,0.360000,0.620000,0.540000,1.000000,1.000000,9.750000,0.000000,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,62.323330
