freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-57.260715,-57.260715,-0.346594,-2.079928,True,0.969990,0.794512
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-38.656420,-38.656420,-0.349076,-2.030583,True,0.969713,0.799038
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-21.246425,-21.246425,-0.385765,-1.991552,True,0.965625,0.802637
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-5.490944,-5.490944,-0.454100,-1.971100,True,0.958058,0.804529
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,8.418020,8.418020,-0.547782,-1.969785,True,0.947780,0.804651
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,20.518512,20.518512,-0.660080,-1.984011,True,0.935606,0.803334
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,30.988058,30.988058,-0.785183,-2.009077,True,0.922227,0.801019
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,40.063496,40.063496,-0.918042,-2.040380,True,0.908228,0.798138
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,47.996274,47.996274,-1.053638,-2.073362,True,0.894159,0.795113
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,55.035327,55.035327,-1.186425,-2.103031,True,0.880594,0.792401
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,61.420299,61.420299,-1.310263,-2.123546,True,0.868128,0.790532
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,67.370675,67.370675,-1.418846,-2.127948,True,0.857343,0.790132
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,73.062376,73.062376,-1.506369,-2.107963,True,0.848747,0.791952
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,78.591560,78.591560,-1.568137,-2.053885,True,0.842733,0.796898
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,83.936938,83.936938,-1.600934,-1.954852,True,0.839557,0.806036
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,88.942198,88.942198,-1.603156,-1.800211,True,0.839342,0.820514
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,93.336059,93.336059,-1.574912,-1.582937,True,0.842076,0.841298
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.781904,96.781904,-1.518410,-1.305476,True,0.847571,0.868606
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,98.921547,98.921547,-1.438981,-0.986368,True,0.855358,0.901111
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,99.380302,99.380302,-1.346899,-0.662974,True,0.864474,0.935294
7.738000,45.000000,100.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,97.738829,97.738829,-1.259711,-0.385029,True,0.873195,0.965707
7.738000,45.000000,105.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,93.544798,93.544798,-1.204312,-0.199424,True,0.878782,0.986565
7.738000,45.000000,110.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.556005,86.556005,-1.217604,-0.135192,True,0.877438,0.993887
7.738000,45.000000,115.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,77.472593,77.472593,-1.342808,-0.198655,True,0.864881,0.986652
7.738000,45.000000,120.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,68.781807,68.781807,-1.609161,-0.379458,True,0.838762,0.966327
7.738000,45.000000,125.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,64.255986,64.255986,-1.965653,-0.660145,True,0.805034,0.935599
7.738000,45.000000,130.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,67.308325,67.308325,-2.200016,-1.022785,True,0.783603,0.897341
7.738000,45.000000,135.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,79.322834,79.322834,-2.095002,-1.450745,True,0.793134,0.854200
7.738000,45.000000,140.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.027104,96.027104,-1.729665,-1.925649,True,0.827206,0.808750
7.738000,45.000000,145.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,109.365487,109.365487,-1.319465,-2.417731,True,0.867209,0.764206
7.738000,45.000000,150.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,116.587897,116.587897,-0.971479,-2.863395,True,0.902657,0.725984
7.738000,45.000000,155.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,118.933584,118.933584,-0.700711,-3.120432,True,0.931239,0.704815
7.738000,45.000000,160.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,117.220490,117.220490,-0.495418,-2.923973,True,0.953511,0.720938
7.738000,45.000000,165.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,108.854086,108.854086,-0.345199,-2.060769,True,0.970145,0.796266
7.738000,45.000000,170.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,61.374033,61.374033,-0.249819,-1.022035,True,0.980857,0.897419
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-26.495092,-26.495092,-0.228638,-0.762148,True,0.983252,0.924676
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-41.944897,-41.944897,-0.352252,-1.169234,True,0.969358,0.882338
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-48.135278,-48.135278,-0.795357,-1.651931,True,0.921147,0.834642
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-54.733086,-54.733086,-1.072668,-1.971515,True,0.892202,0.804491
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,127.687817,-232.312183,-0.442803,-2.110996,True,0.959305,0.791675
7.738000,45.000000,200.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,124.802468,-235.197532,-0.102341,-2.110681,True,0.997654,0.791704
7.738000,45.000000,205.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,122.794564,-237.205436,0.000000,-2.012428,True,1.009478,0.800710
7.738000,45.000000,210.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,121.126034,-238.873966,-0.004117,-1.846315,True,1.009000,0.816171
7.738000,45.000000,215.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,119.576118,-240.423882,-0.073099,-1.632256,True,1.001018,0.836535
7.738000,45.000000,220.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,117.805244,-242.194756,-0.196255,-1.392623,True,0.986925,0.859935
7.738000,45.000000,225.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,115.023489,-244.976511,-0.375207,-1.179904,True,0.966800,0.881255
7.738000,45.000000,230.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,108.757931,-251.242069,-0.618419,-1.105169,True,0.940104,0.888870
7.738000,45.000000,235.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.917531,-273.082469,-0.936539,-1.286467,True,0.906296,0.870509
7.738000,45.000000,240.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,25.115739,-334.884261,-1.330897,-1.683058,True,0.866068,0.831656
7.738000,45.000000,245.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,91.803264,-268.196736,-1.767827,-2.083623,True,0.823579,0.794174
7.738000,45.000000,250.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,127.411462,-232.588538,-2.146243,-2.323127,True,0.788469,0.772575
7.738000,45.000000,255.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,130.464862,-229.535138,-2.316304,-2.377992,True,0.773182,0.767710
7.738000,45.000000,260.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,131.457553,-228.542447,-2.203275,-2.301786,True,0.783309,0.774475
7.738000,45.000000,265.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,132.377399,-227.622601,-1.892384,-2.158620,True,0.811853,0.787346
7.738000,45.000000,270.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,133.613771,-226.386229,-1.529934,-1.996900,True,0.846448,0.802143
7.738000,45.000000,275.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,135.320943,-224.679057,-1.209029,-1.846073,True,0.878305,0.816194
7.738000,45.000000,280.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,137.595043,-222.404957,-0.959192,-1.720991,True,0.903935,0.828032
7.738000,45.000000,285.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,140.505354,-219.494646,-0.777673,-1.627234,True,0.923024,0.837019
7.738000,45.000000,290.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,144.100872,-215.899128,-0.652070,-1.565294,True,0.936469,0.843009
7.738000,45.000000,295.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,148.414711,-211.585289,-0.569681,-1.533309,True,0.945394,0.846119
7.738000,45.000000,300.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,153.471613,-206.528387,-0.520013,-1.528629,True,0.950815,0.846575
7.738000,45.000000,305.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,159.299365,-200.700635,-0.494777,-1.548564,True,0.953582,0.844634
7.738000,45.000000,310.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,165.943246,-194.056754,-0.487220,-1.590558,True,0.954412,0.840560
7.738000,45.000000,315.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,173.481565,-186.518435,-0.491433,-1.651966,True,0.953949,0.834639
7.738000,45.000000,320.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-177.960947,-177.960947,-0.501833,-1.729539,True,0.952807,0.827218
7.738000,45.000000,325.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-168.207062,-168.207062,-0.512854,-1.818742,True,0.951599,0.818766
7.738000,45.000000,330.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-157.036390,-157.036390,-0.518883,-1.913078,True,0.950939,0.809921
7.738000,45.000000,335.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-144.221738,-144.221738,-0.514570,-2.003646,True,0.951411,0.801520
7.738000,45.000000,340.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-129.603378,-129.603378,-0.495799,-2.079381,True,0.953470,0.794562
7.738000,45.000000,345.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-113.194806,-113.194806,-0.461647,-2.128724,True,0.957226,0.790061
7.738000,45.000000,350.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-95.273649,-95.273649,-0.416957,-2.143403,True,0.962164,0.788727
7.738000,45.000000,355.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-76.387781,-76.387781,-0.373441,-2.123484,True,0.966996,0.790538
7.738000,45.000000,360.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-57.260715,-57.260715,-0.346594,-2.079928,True,0.969990,0.794512
7.738000,45.000000,0.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-47.859806,-47.859806,-1.429252,-1.262082,True,0.873278,0.890248
7.738000,45.000000,5.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-31.516985,-31.516985,-1.391352,-1.249223,True,0.877097,0.891567
