freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,0.000000,-91.531062,0.000000,-91.531062,-91.531062,240.896251,2.409750,-3.103823,3.929454,240.896251,12823.982196,12629.857759,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,5.000000,-97.601712,13.767512,-111.369224,-111.369224,221.058088,2.409750,-3.103823,3.929454,221.455551,12998.888323,12626.165228,0.061628,0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,10.000000,-103.043661,27.430244,-130.473905,-130.473905,201.953407,2.409750,-3.103823,3.929454,202.745308,13162.643249,12654.290595,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,15.000000,-105.780869,40.884216,-146.665085,-146.665085,185.762227,2.409750,-3.103823,3.929454,186.942538,13245.637062,12675.320746,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,20.000000,-106.223206,54.027034,-160.250241,-160.250241,172.177072,2.409750,-3.103823,3.929454,173.736811,13187.110342,12640.675541,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,25.000000,-105.409419,66.758674,-172.168093,-172.168093,160.259219,2.409750,-3.103823,3.929454,162.186516,12951.821352,12506.527012,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,30.000000,-104.160201,78.982240,176.857559,-183.142441,149.284871,2.409750,-3.103823,3.929454,151.565058,12534.373661,12241.740135,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,35.000000,-102.980247,90.604704,166.415049,-193.584951,138.842361,2.409750,-3.103823,3.929454,141.458083,11954.019370,11831.136404,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,40.000000,-102.138603,101.537611,156.323786,-203.676214,128.751098,2.409750,-3.103823,3.929454,131.682449,11245.131284,11276.465280,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,45.000000,-101.759489,111.697756,146.542756,-213.457244,118.970068,2.409750,-3.103823,3.929454,122.194738,10447.829249,10595.582945,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,50.000000,-101.903354,121.007813,137.088833,-222.911167,109.516146,2.409750,-3.103823,3.929454,113.009593,9601.204139,9819.354634,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,55.000000,-102.643049,129.396927,127.960024,-232.039976,100.387336,2.409750,-3.103823,3.929454,104.122974,8739.559731,8986.448319,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,60.000000,-104.147657,136.801253,119.051090,-240.948910,91.478402,2.409750,-3.103823,3.929454,95.427800,7890.909073,8137.289372,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,65.000000,-106.810488,143.164439,110.025073,-249.974927,82.452386,2.409750,-3.103823,3.929454,86.585486,7076.743936,7308.836497,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,70.000000,-111.532711,148.438057,100.029232,-259.970768,72.456544,2.409750,-3.103823,3.929454,76.741892,6312.424894,6531.330224,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,75.000000,-120.522858,152.581972,86.895170,-273.104830,59.322483,2.409750,-3.103823,3.929454,63.727464,5607.908976,5827.262531,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,80.000000,-139.567109,155.564645,64.868246,-295.131754,37.295558,2.409750,-3.103823,3.929454,41.786648,4968.693775,5212.056734,0.696364,0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,85.000000,-177.251263,157.363378,25.385358,-334.614642,-2.187329,2.409750,-3.103823,3.929454,2.355689,4396.842162,4695.548928,0.704416,0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,90.000000,145.204128,157.964481,-12.760353,-372.760353,-40.333040,2.409750,-3.103823,3.929454,-35.772668,3891.901989,4283.286893,0.707107,0.707107,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,95.000000,125.698928,157.363378,-31.664450,-391.664450,-59.237138,2.409750,-3.103823,3.929454,-54.694119,3451.565560,3976.856289,0.704416,0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,100.000000,115.318070,155.564645,-40.246576,-400.246576,-67.819263,2.409750,-3.103823,3.929454,-63.328174,3072.085862,3772.982760,0.696364,0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,105.000000,108.015570,152.581972,-44.566402,-404.566402,-72.139089,2.409750,-3.103823,3.929454,-67.734108,2748.806473,3662.037988,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,110.000000,100.865052,148.438057,-47.573005,-407.573005,-75.145693,2.409750,-3.103823,3.929454,-70.860345,2477.614690,3627.253960,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,115.000000,91.482319,143.164439,-51.682120,-411.682120,-79.254808,2.409750,-3.103823,3.929454,-75.121707,2258.393116,3645.588595,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,120.000000,76.807867,136.801253,-59.993386,-419.993386,-87.566074,2.409750,-3.103823,3.929454,-83.616676,2100.794231,3689.963292,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,125.000000,54.142055,129.396927,-75.254872,-435.254872,-102.827560,2.409750,-3.103823,3.929454,-99.091922,2029.218298,3731.847847,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,130.000000,28.057824,121.007813,-92.949989,-452.949989,-120.522677,2.409750,-3.103823,3.929454,-117.029229,2077.417656,3743.539703,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,135.000000,8.557981,111.697756,-103.139775,-463.139775,-130.712463,2.409750,-3.103823,3.929454,-127.487793,2265.140468,3700.202844,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,140.000000,-2.769702,101.537611,-104.307313,-464.307313,-131.880001,2.409750,-3.103823,3.929454,-128.948650,2573.979215,3581.992406,0.454519,0.454519,phi45.0_pol0.0
