freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,-157.610626,-157.610626,-0.358811,-1.946536,True,10090.982790,8405.184278
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,-138.960147,-138.960147,-0.196179,-1.812221,True,10281.703282,8536.167886
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,-122.022315,-122.022315,-0.056906,-1.582704,True,10447.893600,8764.735811
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,-107.377462,-107.377462,0.000000,-1.333265,True,10516.567672,9020.087706
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,-95.113552,-95.113552,-0.074877,-1.140925,True,10426.298519,9222.056516
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,-85.013455,-85.013455,-0.314699,-1.061977,True,10142.361338,9306.259783
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,-76.736886,-76.736886,-0.736610,-1.129478,True,9661.476939,9234.217779
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,-69.920678,-69.920678,-1.344916,-1.359254,True,9007.996968,8993.139308
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,-64.212074,-64.212074,-2.134560,-1.756068,True,8225.191512,8591.532006
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,-59.268048,-59.268048,-3.093884,-2.317430,True,7365.119555,8053.830891
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,-54.742631,-54.742631,-4.206551,-3.035350,True,6479.573952,7414.920823
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,-50.272095,-50.272095,-5.452813,-3.896850,True,5613.495597,6714.775949
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,-45.461630,-45.461630,-6.810264,-4.883664,True,4801.321671,5993.642644
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,-39.876513,-39.876513,-8.254071,-5.971037,True,4066.028853,5288.374297
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,-33.044706,-33.044706,-9.756548,-7.125186,True,3420.161389,4630.359481
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,-24.486130,-24.486130,-11.286191,-8.298987,True,2867.903081,4045.057068
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,-13.794850,-13.794850,-12.807068,-9.426504,True,2407.246944,3552.620378
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,-0.801905,-0.801905,-14.281123,-10.420314,True,2031.504775,3168.533786
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,14.195846,14.195846,-15.677593,-11.181038,True,1729.793993,2902.833551
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,30.268080,30.268080,-16.992502,-11.628156,True,1486.787642,2757.186884
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,45.939266,45.939266,-18.274740,-11.741121,True,1282.735207,2721.560293
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,59.494920,59.494920,-19.649330,-11.575052,True,1094.983376,2774.095487
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,69.016207,69.016207,-21.334129,-11.233723,True,901.919109,2885.279331
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,71.245981,71.245981,-23.635197,-10.827836,True,692.012870,3023.306894
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,57.388398,57.388398,-26.531808,-10.450392,True,495.773872,3157.580529
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,18.969988,18.969988,-26.724743,-10.173108,True,484.882904,3260.007756
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,-7.308012,-7.308012,-22.439819,-10.053882,True,794.114435,3305.064533
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,-15.294929,-15.294929,-18.304794,-10.148027,True,1278.304554,3269.434872
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,-16.801173,-16.801173,-15.160330,-10.521404,True,1835.935968,3131.870832
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,-15.972942,-15.972942,-12.831289,-11.267498,True,2400.543569,2874.081629
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,-14.018416,-14.018416,-11.177579,-12.536463,True,2903.989681,2483.424092
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,-11.036813,-11.036813,-10.132222,-14.603546,True,3275.389222,1957.477159
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,-5.958716,-5.958716,-9.680265,-18.092559,True,3450.331075,1309.923857
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,8.957912,8.957912,-9.853677,-25.091387,True,3382.129024,585.200488
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,126.385894,126.385894,-10.748735,-29.423218,True,3050.965282,355.396474
7.738000,45.000000,175.000000,0.000000,x_only_a_port,E1-E3,156.243535,156.243535,-12.587425,-19.617588,True,2468.895764,1098.992255
7.738000,45.000000,180.000000,0.000000,x_only_a_port,E1-E3,160.825152,160.825152,-15.926613,-15.168512,True,1680.905843,1834.207403
7.738000,45.000000,185.000000,0.000000,x_only_a_port,E1-E3,154.149055,154.149055,-22.694381,-12.626259,True,771.178564,2457.882184
7.738000,45.000000,190.000000,0.000000,x_only_a_port,E1-E3,42.961741,42.961741,-28.803319,-11.144902,True,381.687598,2914.935306
7.738000,45.000000,195.000000,0.000000,x_only_a_port,E1-E3,13.408289,13.408289,-18.420459,-10.424520,True,1261.394881,3166.999633
7.738000,45.000000,200.000000,0.000000,x_only_a_port,E1-E3,11.068372,11.068372,-13.982588,-10.342176,True,2102.541802,3197.166435
7.738000,45.000000,205.000000,0.000000,x_only_a_port,E1-E3,11.677381,11.677381,-11.535108,-10.851413,True,2786.882362,3015.111523
7.738000,45.000000,210.000000,0.000000,x_only_a_port,E1-E3,13.199872,13.199872,-10.118111,-11.948740,True,3280.714907,2657.278293
7.738000,45.000000,215.000000,0.000000,x_only_a_port,E1-E3,15.202745,15.202745,-9.361669,-13.668125,True,3579.238139,2180.056615
7.738000,45.000000,220.000000,0.000000,x_only_a_port,E1-E3,17.442273,17.442273,-9.080754,-16.099730,True,3696.888052,1647.735600
7.738000,45.000000,225.000000,0.000000,x_only_a_port,E1-E3,19.285413,19.285413,-9.169813,-19.453275,True,3659.176426,1119.979988
7.738000,45.000000,230.000000,0.000000,x_only_a_port,E1-E3,18.150141,18.150141,-9.564321,-24.245792,True,3496.696651,645.036663
7.738000,45.000000,235.000000,0.000000,x_only_a_port,E1-E3,-1.385956,-1.385956,-10.220909,-31.529016,True,3242.116293,278.883742
7.738000,45.000000,240.000000,0.000000,x_only_a_port,E1-E3,-71.015560,-71.015560,-11.100219,-32.332411,True,2929.969400,254.245610
7.738000,45.000000,245.000000,0.000000,x_only_a_port,E1-E3,-84.356053,-84.356053,-12.142040,-26.833513,True,2598.794989,478.848765
7.738000,45.000000,250.000000,0.000000,x_only_a_port,E1-E3,-74.082567,-74.082567,-13.221058,-23.581132,True,2295.203119,696.333748
7.738000,45.000000,255.000000,0.000000,x_only_a_port,E1-E3,-55.214191,-55.214191,-14.086684,-21.369637,True,2077.494112,898.239544
7.738000,45.000000,260.000000,0.000000,x_only_a_port,E1-E3,-31.717844,-31.717844,-14.377795,-19.565672,True,2009.020126,1105.580645
7.738000,45.000000,265.000000,0.000000,x_only_a_port,E1-E3,-7.641400,-7.641400,-13.869122,-17.887022,True,2130.187968,1341.290711
7.738000,45.000000,270.000000,0.000000,x_only_a_port,E1-E3,13.360821,13.360821,-12.710305,-16.223830,True,2434.214000,1624.360792
7.738000,45.000000,275.000000,0.000000,x_only_a_port,E1-E3,29.900111,29.900111,-11.236166,-14.556505,True,2884.467877,1968.107380
7.738000,45.000000,280.000000,0.000000,x_only_a_port,E1-E3,42.367867,42.367867,-9.693909,-12.903928,True,3444.915556,2380.551796
7.738000,45.000000,285.000000,0.000000,x_only_a_port,E1-E3,51.720084,51.720084,-8.203393,-11.294271,True,4089.821837,2865.236332
7.738000,45.000000,290.000000,0.000000,x_only_a_port,E1-E3,58.898157,58.898157,-6.813437,-9.753613,True,4799.568109,3421.317300
7.738000,45.000000,295.000000,0.000000,x_only_a_port,E1-E3,64.691549,64.691549,-5.544739,-8.303923,True,5554.399057,4042.759364
7.738000,45.000000,300.000000,0.000000,x_only_a_port,E1-E3,69.740177,69.740177,-4.409253,-6.963923,True,6330.111580,4717.130260
7.738000,45.000000,305.000000,0.000000,x_only_a_port,E1-E3,74.563939,74.563939,-3.416681,-5.749964,True,7096.431112,5424.701274
7.738000,45.000000,310.000000,0.000000,x_only_a_port,E1-E3,79.591796,79.591796,-2.575390,-4.676338,True,7818.159406,6138.427079
7.738000,45.000000,315.000000,0.000000,x_only_a_port,E1-E3,85.186490,85.186490,-1.891204,-3.755342,True,8458.898836,6825.066815
7.738000,45.000000,320.000000,0.000000,x_only_a_port,E1-E3,91.666243,91.666243,-1.365457,-2.997333,True,8986.719593,7447.445768
7.738000,45.000000,325.000000,0.000000,x_only_a_port,E1-E3,99.324924,99.324924,-0.992857,-2.410593,True,9380.611463,7967.908964
