freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,0.000000,-121.546046,0.000000,-121.546046,-121.546046,219.860881,-2.337724,-4.070130,4.693709,219.860881,13277.527324,12662.041333,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,5.000000,-139.802543,13.767512,-153.570054,-153.570054,187.836872,-2.337724,-4.070130,4.693709,191.506349,13257.238725,12798.956285,0.061628,0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,10.000000,-141.663082,27.430244,-169.093326,-169.093326,172.313601,-2.337724,-4.070130,4.693709,179.624626,13267.654170,12956.938581,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,15.000000,-138.671074,40.884216,-179.555290,-179.555290,161.851637,-2.337724,-4.070130,4.693709,172.748571,13259.172829,13076.626365,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,20.000000,-134.451172,54.027034,171.521793,-188.478207,152.928720,-2.337724,-4.070130,4.693709,167.328629,13171.441846,13091.583194,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,25.000000,-130.158005,66.758674,163.083320,-196.916680,144.490247,-2.337724,-4.070130,4.693709,162.283540,12952.502453,12949.562004,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,30.000000,-126.215459,78.982240,154.802301,-205.197699,136.209227,-2.337724,-4.070130,4.693709,157.260487,12571.822357,12623.434551,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,35.000000,-122.797437,90.604704,146.597859,-213.402141,128.004785,-2.337724,-4.070130,4.693709,152.153798,12024.645928,12112.285465,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,40.000000,-119.985044,101.537611,138.477345,-221.522655,119.884271,-2.337724,-4.070130,4.693709,146.947249,11329.094851,11436.750086,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,45.000000,-117.828597,111.697756,130.473647,-229.526353,111.880573,-2.337724,-4.070130,4.693709,141.651550,10519.152817,10632.245227,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,50.000000,-116.382709,121.007813,122.609479,-237.390521,104.016405,-2.337724,-4.070130,4.693709,136.268806,9636.532692,9742.141111,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,55.000000,-115.740534,129.396927,114.862539,-245.137461,96.269465,-2.337724,-4.070130,4.693709,130.757830,8723.463974,8811.784679,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,60.000000,-116.085769,136.801253,107.112978,-252.887022,88.519904,-2.337724,-4.070130,4.693709,124.981755,7817.425076,7883.818238,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,65.000000,-117.794931,143.164439,99.040629,-260.959371,80.447556,-2.337724,-4.070130,4.693709,118.605397,6948.103345,6995.063742,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,70.000000,-121.673293,148.438057,89.888650,-270.111350,71.295577,-2.337724,-4.070130,4.693709,110.859003,6136.392877,6175.050378,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,75.000000,-129.552818,152.581972,77.865211,-282.134789,59.272137,-2.337724,-4.070130,4.693709,99.940047,5394.947989,5445.980278,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,80.000000,-145.654113,155.564645,58.781241,-301.218759,40.188168,-2.337724,-4.070130,4.693709,81.651055,4729.667710,4823.611477,0.696364,0.696364,phi45.0_pol0.0
