freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count,strategy_note
7.738000,45.000000,0.000000,x_only_a_port,E1-E3,100.000000,360.000000,-157.610626,202.389374,81.944444,-32.332411,0.000000,0.000000,0.000000,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,45.000000,x_only_a_port,E1-E3,100.000000,500.752581,-1.730798,-361.730798,55.555556,-25.447435,112.402359,98.521485,179.314037,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,90.000000,x_only_a_port,E1-E3,100.000000,358.006005,163.347941,163.347941,56.944444,-34.121944,93.300478,74.817238,176.194919,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,135.000000,x_only_a_port,E1-E3,100.000000,360.000000,-177.085959,182.914041,87.500000,-34.594895,55.479257,40.037709,174.369136,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,0.000000,x_only_a_port,E2-E4,100.000000,338.731904,18.263858,18.263858,54.166667,-34.380031,0.000000,0.000000,0.000000,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,45.000000,x_only_a_port,E2-E4,100.000000,316.878019,-174.521900,-174.521900,51.388889,-20.914689,137.103317,125.899767,178.948448,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,90.000000,x_only_a_port,E2-E4,100.000000,222.474673,-21.151902,-21.151902,51.388889,-19.726093,84.181004,71.934983,177.977725,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,135.000000,x_only_a_port,E2-E4,100.000000,632.171595,-1.731392,-361.731392,59.722222,-31.331204,69.287350,53.516239,174.820563,73,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,0.000000,x_only_a_port,E1-E2,98.630137,371.987862,19.280379,19.280379,54.929577,-35.207274,0.000000,0.000000,0.000000,72,73,仅使用 A 口，全局 X 极化通道。
7.738000,45.000000,45.000000,x_only_a_port,E1-E2,100.000000,227.293373,-18.958291,-18.958291,65.277778,-23.968735,76.683374,60.295133,169.744386,73,73,仅使用 A 口，全局 X 极化通道。
