freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-53.597729,-53.597729,-0.467644,-2.176100,True,0.974146,0.800205
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-35.084056,-35.084056,-0.483739,-2.148249,True,0.972343,0.802775
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-17.655793,-17.655793,-0.532529,-2.130105,True,0.966896,0.804454
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-1.829174,-1.829174,-0.614149,-2.129312,True,0.957853,0.804527
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,12.139140,12.139140,-0.724205,-2.145203,True,0.945793,0.803057
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,24.244934,24.244934,-0.855896,-2.172655,True,0.931562,0.800523
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,34.659129,34.659129,-1.001605,-2.205703,True,0.916065,0.797483
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,43.640097,43.640097,-1.153579,-2.239156,True,0.900176,0.794417
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,51.470941,51.470941,-1.304142,-2.268615,True,0.884707,0.791727
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,58.424787,58.424787,-1.445931,-2.289771,True,0.870382,0.789801
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,64.747276,64.747276,-1.572308,-2.297597,True,0.857810,0.789090
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,70.644429,70.644429,-1.677738,-2.285681,True,0.847461,0.790173
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,76.267023,76.267023,-1.757903,-2.245749,True,0.839675,0.793814
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,81.687284,81.687284,-1.809511,-2.167465,True,0.834701,0.801001
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.872029,86.872029,-1.830005,-2.038973,True,0.832734,0.812939
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,91.667281,91.667281,-1.817485,-1.849115,True,0.833935,0.830904
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,95.811800,95.811800,-1.771116,-1.592579,True,0.838399,0.855810
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,98.978339,98.978339,-1.692232,-1.277913,True,0.846048,0.887382
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.812499,100.812499,-1.586188,-0.934555,True,0.856440,0.923164
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.933950,100.933950,-1.464759,-0.611140,True,0.868497,0.958185
7.738000,45.000000,100.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,98.901789,98.901789,-1.348479,-0.360730,True,0.880202,0.986211
7.738000,45.000000,105.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,94.226673,94.226673,-1.268087,-0.220837,True,0.888387,1.002224
7.738000,45.000000,110.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.659816,86.659816,-1.264482,-0.203134,True,0.888756,1.004268
7.738000,45.000000,115.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,77.034867,77.034867,-1.385634,-0.298443,True,0.876445,0.993309
7.738000,45.000000,120.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,68.046552,68.046552,-1.670279,-0.489327,True,0.848189,0.971718
7.738000,45.000000,125.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,63.273471,63.273471,-2.088707,-0.760851,True,0.808297,0.941811
7.738000,45.000000,130.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,65.364623,65.364623,-2.445048,-1.105874,True,0.775808,0.905134
7.738000,45.000000,135.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,75.230284,75.230284,-2.462032,-1.524612,True,0.774292,0.862533
7.738000,45.000000,140.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,90.080936,90.080936,-2.124576,-2.016474,True,0.804966,0.815047
7.738000,45.000000,145.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,103.322579,103.322579,-1.654595,-2.556493,True,0.849722,0.765917
7.738000,45.000000,150.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,110.973290,110.973290,-1.213818,-3.043905,True,0.893955,0.724121
7.738000,45.000000,155.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,113.039633,113.039633,-0.851313,-3.239071,True,0.932053,0.708032
7.738000,45.000000,160.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,109.599346,109.599346,-0.568974,-2.852480,True,0.962848,0.740257
7.738000,45.000000,165.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.098989,96.098989,-0.362830,-1.971703,True,0.985973,0.819259
7.738000,45.000000,170.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,43.076203,43.076203,-0.239967,-1.211372,True,1.000019,0.894206
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-20.123653,-20.123653,-0.232005,-1.035967,True,1.000936,0.912448
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-38.853745,-38.853745,-0.420019,-1.343335,True,0.979502,0.880724
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-48.440470,-48.440470,-0.923597,-1.811284,True,0.924329,0.834530
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-60.760007,-60.760007,-1.355599,-2.215391,True,0.879481,0.796594
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,153.801364,-206.198636,-0.843379,-2.461958,True,0.932905,0.774299
