freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count,strategy_note
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,348.073212,-53.597729,-53.597729,65.277778,-3.239071,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,268.292175,-49.556937,-49.556937,52.777778,-2.561596,67.141289,47.566492,169.723927,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,392.100973,-46.893062,313.106938,68.055556,-3.398685,91.308886,65.259991,178.560728,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,474.264510,-51.097148,308.902852,76.388889,-3.004738,52.675699,35.775372,151.669285,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,347.325275,-137.927068,-137.927068,69.444444,-2.583645,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,457.679072,-142.893184,217.106816,76.388889,-2.646370,56.461168,37.294482,163.345762,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,273.200143,-144.202284,-144.202284,56.944444,-2.996439,88.094045,61.868372,178.977927,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,272.839338,-138.868575,-138.868575,50.000000,-2.592326,65.075093,45.999871,169.427388,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,525.338871,37.969626,-322.030374,66.666667,-2.581044,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,441.624623,25.740477,-334.259523,68.055556,-2.472202,53.878961,34.485148,158.947944,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,361.017483,45.778304,-314.221696,72.222222,-2.176723,80.301028,46.936009,179.040246,73,73,
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,302.413900,56.967484,56.967484,54.166667,-2.748622,53.330854,34.359594,175.215676,73,73,
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-90.962782,269.037218,83.333333,-3.035937,0.000000,0.000000,0.000000,73,73,
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,311.627240,-74.812625,-74.812625,58.333333,-2.363652,44.224116,27.305287,164.734382,73,73,
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-87.989441,272.010559,73.611111,-2.822788,36.664619,24.077575,109.442625,73,73,
