freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,-157.546994,-157.546994,-0.368290,-2.122491,True,10530.565711,8604.816547
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,-139.517458,-139.517458,-0.169525,-1.965921,True,10774.321838,8761.332108
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,-123.195924,-123.195924,-0.029727,-1.706139,True,10949.135429,9027.327926
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,-109.073051,-109.073051,0.000000,-1.421292,True,10986.672590,9328.279857
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,-97.184744,-97.184744,-0.120252,-1.191672,True,10835.614869,9578.170990
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,-87.287665,-87.287665,-0.416233,-1.076122,True,10472.600653,9706.442795
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,-79.029896,-79.029896,-0.900174,-1.109219,True,9905.069041,9669.527123
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,-72.047949,-72.047949,-1.572976,-1.307477,True,9166.792223,9451.317484
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,-66.002289,-66.002289,-2.426693,-1.675871,True,8308.670226,9058.841082
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,-60.579323,-60.579323,-3.446713,-2.211938,True,7388.062333,8516.659013
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,-55.478598,-55.478598,-4.613387,-2.907667,True,6459.469525,7861.091385
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,-50.394495,-50.394495,-5.903016,-3.750088,True,5568.207009,7134.471053
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,-44.997560,-44.997560,-7.288149,-4.721224,True,4747.431833,6379.769682
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,-38.921070,-38.921070,-8.737230,-5.797480,True,4017.951569,5636.275024
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,-31.761974,-31.761974,-10.213893,-6.948063,True,3389.780199,4936.999089
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,-23.110840,-23.110840,-11.676784,-8.131652,True,2864.355871,4308.078293
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,-12.630191,-12.630191,-13.081838,-9.291042,True,2436.544117,3769.763345
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,-0.196657,-0.196657,-14.389801,-10.347925,True,2095.926879,3337.874105
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,13.908670,13.908670,-15.580609,-11.205638,True,1827.408827,3024.017346
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,28.852531,28.852531,-16.671423,-11.772015,True,1611.740219,2833.122871
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,43.298099,43.298099,-17.730244,-12.001913,True,1426.770050,2759.119630
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,55.661656,55.661656,-18.879873,-11.927786,True,1249.892156,2782.767204
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,64.206720,64.206720,-20.294662,-11.645157,True,1062.020959,2874.804711
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,66.312201,66.312201,-22.171963,-11.268331,True,855.594590,3002.269150
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,56.177487,56.177487,-24.436881,-10.896396,True,659.207488,3133.620264
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,27.386981,27.386981,-25.195082,-10.603720,True,604.104534,3241.008515
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,-0.053622,-0.053622,-22.265369,-10.445960,True,846.443046,3300.412355
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,-11.755520,-11.755520,-18.495149,-10.471687,True,1306.498005,3290.651149
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,-15.436180,-15.436180,-15.388326,-10.735908,True,1868.314090,3192.058095
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,-15.892153,-15.892153,-13.015823,-11.316103,True,2455.133058,2985.802324
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,-14.818863,-14.818863,-11.292489,-12.335623,True,2993.930561,2655.125248
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,-12.602373,-12.602373,-10.167693,-14.010795,True,3407.858355,2189.406686
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,-8.618300,-8.618300,-9.632809,-16.783406,True,3624.313115,1591.094161
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,1.113324,1.113324,-9.719031,-21.845228,True,3588.513991,888.392266
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,66.583287,66.583287,-10.509805,-31.461867,True,3276.241529,293.611357
7.738000,45.000000,175.000000,0.000000,x_only_a_port,E1-E3,143.350703,143.350703,-12.186605,-22.216237,True,2701.070569,851.244524
7.738000,45.000000,180.000000,0.000000,x_only_a_port,E1-E3,151.896699,151.896699,-15.175894,-16.653964,True,1914.570971,1614.983129
7.738000,45.000000,185.000000,0.000000,x_only_a_port,E1-E3,147.362249,147.362249,-20.751901,-13.654894,True,1007.560480,2280.980049
7.738000,45.000000,190.000000,0.000000,x_only_a_port,E1-E3,73.971550,73.971550,-29.933763,-11.955448,True,350.088644,2773.918904
7.738000,45.000000,195.000000,0.000000,x_only_a_port,E1-E3,13.276766,13.276766,-20.345018,-11.134372,True,1055.881711,3048.931046
7.738000,45.000000,200.000000,0.000000,x_only_a_port,E1-E3,7.527186,7.527186,-15.363050,-11.013963,True,1873.758881,3091.491220
7.738000,45.000000,205.000000,0.000000,x_only_a_port,E1-E3,7.508157,7.508157,-12.694634,-11.513868,True,2547.618959,2918.587918
7.738000,45.000000,210.000000,0.000000,x_only_a_port,E1-E3,9.338908,9.338908,-11.167760,-12.605973,True,3037.233606,2573.756835
7.738000,45.000000,215.000000,0.000000,x_only_a_port,E1-E3,12.326379,12.326379,-10.355060,-14.304946,True,3335.133251,2116.502980
7.738000,45.000000,220.000000,0.000000,x_only_a_port,E1-E3,16.330493,16.330493,-10.052485,-16.684536,True,3453.360767,1609.308825
7.738000,45.000000,225.000000,0.000000,x_only_a_port,E1-E3,21.217891,21.217891,-10.146338,-19.941020,True,3416.247093,1106.152914
7.738000,45.000000,230.000000,0.000000,x_only_a_port,E1-E3,26.172386,26.172386,-10.565984,-24.618169,True,3255.119662,645.591404
7.738000,45.000000,235.000000,0.000000,x_only_a_port,E1-E3,24.380714,24.380714,-11.259934,-32.774322,True,3005.173134,252.435296
7.738000,45.000000,240.000000,0.000000,x_only_a_port,E1-E3,-82.682178,-82.682178,-12.175292,-38.345371,False,2704.590860,132.922231
7.738000,45.000000,245.000000,0.000000,x_only_a_port,E1-E3,-93.836772,-93.836772,-13.227950,-28.822610,True,2395.899997,397.864947
7.738000,45.000000,250.000000,0.000000,x_only_a_port,E1-E3,-78.409694,-78.409694,-14.253289,-24.597477,True,2129.127851,647.131167
7.738000,45.000000,255.000000,0.000000,x_only_a_port,E1-E3,-56.603165,-56.603165,-14.958926,-21.861729,True,1962.998188,886.706204
7.738000,45.000000,260.000000,0.000000,x_only_a_port,E1-E3,-32.127418,-32.127418,-15.002772,-19.705984,True,1953.113846,1136.493624
7.738000,45.000000,265.000000,0.000000,x_only_a_port,E1-E3,-8.720774,-8.720774,-14.273804,-17.808527,True,2124.104895,1413.968835
7.738000,45.000000,270.000000,0.000000,x_only_a_port,E1-E3,10.966777,10.966777,-13.002109,-16.044071,True,2459.012392,1732.457688
7.738000,45.000000,275.000000,0.000000,x_only_a_port,E1-E3,26.418609,26.418609,-11.499609,-14.366465,True,2923.383067,2101.565468
7.738000,45.000000,280.000000,0.000000,x_only_a_port,E1-E3,38.323406,38.323406,-9.966095,-12.761542,True,3487.879303,2528.069791
7.738000,45.000000,285.000000,0.000000,x_only_a_port,E1-E3,47.603540,47.603540,-8.494447,-11.227914,True,4131.843372,3016.271765
7.738000,45.000000,290.000000,0.000000,x_only_a_port,E1-E3,55.065433,55.065433,-7.123596,-9.770139,True,4838.228567,3567.460979
