freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,0.000000,-126.055023,0.000000,-126.055023,-126.055023,215.680161,-9.098948,5.577292,10.672255,215.680161,13675.199762,12804.402139,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,5.000000,-131.253128,13.767512,-145.020640,-145.020640,196.714543,-9.098948,5.577292,10.672255,198.731230,13735.936767,12915.993952,0.061628,0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,10.000000,-132.444891,27.430244,-159.875136,-159.875136,181.860048,-9.098948,5.577292,10.672255,185.878073,13775.106611,13050.000569,0.122788,0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,15.000000,-130.422623,40.884216,-171.306839,-171.306839,170.428344,-9.098948,5.577292,10.672255,176.417129,13747.285109,13151.252230,0.183013,0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,20.000000,-127.038245,54.027034,178.934720,-181.065280,160.669904,-9.098948,5.577292,10.672255,168.583869,13605.593578,13156.539765,0.241845,0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,25.000000,-123.413171,66.758674,169.828155,-190.171845,151.563338,-9.098948,5.577292,10.672255,161.342255,13315.480284,13014.651964,0.298836,0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,30.000000,-120.098630,78.982240,160.919129,-199.080871,142.654313,-9.098948,5.577292,10.672255,154.223757,12863.070670,12697.270153,0.353553,0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,35.000000,-117.344300,90.604704,152.050996,-207.949004,133.786180,-9.098948,5.577292,10.672255,147.058100,12256.078421,12200.747480,0.405580,0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,40.000000,-115.255707,101.537611,143.206681,-216.793319,124.941865,-9.098948,5.577292,10.672255,139.815255,11519.014981,11542.261797,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,45.000000,-113.882403,111.697756,134.419841,-225.580159,116.155025,-9.098948,5.577292,10.672255,132.516689,10686.173839,10753.834655,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,50.000000,-113.277248,121.007813,125.714940,-234.285060,107.450123,-9.098948,5.577292,10.672255,125.175539,9795.253420,9876.271586,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,55.000000,-113.552453,129.396927,117.050620,-242.949380,98.785804,-9.098948,5.577292,10.672255,117.740070,8882.802495,8953.762643,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,60.000000,-114.958034,136.801253,108.240712,-251.759288,89.975896,-9.098948,5.577292,10.672255,110.014760,7981.351471,8029.318014,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,65.000000,-118.032166,143.164439,98.803395,-261.196605,80.538579,-9.098948,5.577292,10.672255,101.509533,7117.686081,7141.230211,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,70.000000,-123.948423,148.438057,87.613520,-272.386480,69.348704,-9.098948,5.577292,10.672255,91.092145,6311.922986,6320.854571,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,75.000000,-135.346724,152.581972,72.071304,-287.928696,53.806488,-9.098948,5.577292,10.672255,76.156937,5577.315534,5591.849747,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,80.000000,-157.372666,155.564645,47.062689,-312.937311,28.797872,-9.098948,5.577292,10.672255,51.585228,4920.766965,4970.617299,0.696364,0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,85.000000,169.207867,157.363378,11.844489,-348.155511,-6.420328,-9.098948,5.577292,10.672255,16.630509,4343.895505,4467.233823,0.704416,0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,90.000000,141.234531,157.964481,-16.729950,-376.729950,-34.994767,-9.098948,5.577292,10.672255,-11.855879,3844.352118,4085.953692,0.707107,0.707107,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,95.000000,125.330338,157.363378,-32.033040,-392.033040,-50.297857,-9.098948,5.577292,10.672255,-27.247020,3417.074724,3824.658786,0.704416,0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,100.000000,116.032168,155.564645,-39.532478,-399.532478,-57.797294,-9.098948,5.577292,10.672255,-35.009938,3055.335985,3673.556741,0.696364,0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,105.000000,109.361250,152.581972,-43.220721,-403.220721,-61.485538,-9.098948,5.577292,10.672255,-39.135089,2751.808217,3614.427162,0.683013,0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,110.000000,103.023613,148.438057,-45.414444,-405.414444,-63.679261,-9.098948,5.577292,10.672255,-41.935819,2500.323073,3621.647693,0.664463,0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,115.000000,95.016207,143.164439,-48.148232,-408.148232,-66.413049,-9.098948,5.577292,10.672255,-45.442095,2299.203870,3664.957955,0.640856,0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,120.000000,82.588497,136.801253,-54.212756,-414.212756,-72.477573,-9.098948,5.577292,10.672255,-52.438709,2156.272002,3712.949488,0.612372,0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,125.000000,62.034499,129.396927,-67.362429,-427.362429,-85.627245,-9.098948,5.577292,10.672255,-66.672978,2092.730638,3736.518591,0.579228,0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,130.000000,34.016672,121.007813,-86.991141,-446.991141,-105.255957,-9.098948,5.577292,10.672255,-87.530541,2138.316530,3712.109455,0.541675,0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,135.000000,9.511146,111.697756,-102.186610,-462.186610,-120.451426,-9.098948,5.577292,10.672255,-104.089762,2311.805572,3624.574338,0.500000,0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,140.000000,-5.867003,101.537611,-107.404614,-467.404614,-125.669430,-9.098948,5.577292,10.672255,-110.796040,2599.286519,3469.067360,0.454519,0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,145.000000,-14.733139,90.604704,-105.337843,-465.337843,-123.602659,-9.098948,5.577292,10.672255,-110.330739,2951.392215,3251.390963,0.405580,0.405580,phi45.0_pol0.0
