"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-5.19241968004999,0,-5.44630468726541
5,8,0,-5.19241968004998,0,-5.44630468726541
10,8,0,-5.19241968004998,0,-5.44630468726541
15,8,0,-5.19241968004998,0,-5.4463046872654
20,8,0,-5.19241968004998,0,-5.44630468726541
25,8,0,-5.19241968004998,0,-5.44630468726541
30,8,0,-5.19241968004998,0,-5.44630468726541
35,8,0,-5.19241968004999,0,-5.44630468726541
40,8,0,-5.19241968004998,0,-5.44630468726541
45,8,0,-5.19241968004999,0,-5.44630468726541
50,8,0,-5.19241968004999,0,-5.44630468726541
55,8,0,-5.19241968004998,0,-5.44630468726541
60,8,0,-5.19241968004998,0,-5.44630468726541
65,8,0,-5.19241968004999,0,-5.44630468726541
70,8,0,-5.19241968004998,0,-5.44630468726541
75,8,0,-5.19241968004998,0,-5.44630468726541
80,8,0,-5.19241968004998,0,-5.44630468726541
85,8,0,-5.19241968004998,0,-5.44630468726541
90,8,0,-5.19241968004998,0,-5.44630468726541
0,8,5,-5.22676961951406,5,-5.48065462672949
5,8,5,-5.20219976675363,5,-5.45608477396906
10,8,5,-5.17777546950596,5,-5.43166047672138
15,8,5,-5.15366889410458,5,-5.40755390132001
20,8,5,-5.13005636780897,5,-5.38394137502439
25,8,5,-5.10711607314039,5,-5.36100108035582
30,8,5,-5.08502555397834,5,-5.33891056119376
35,8,5,-5.06395916291812,5,-5.31784417013354
40,8,5,-5.04408556457728,5,-5.2979705717927
45,8,5,-5.02556539002281,5,-5.27945039723823
50,8,5,-5.00854911641351,5,-5.26243412362893
55,8,5,-4.99317522562767,5,-5.24706023284309
60,8,5,-4.9795686773809,5,-5.23345368459632
65,8,5,-4.9678397164681,5,-5.22172472368352
70,8,5,-4.95808301990405,5,-5.21196802711947
75,8,5,-4.95037717713365,5,-5.20426218434908
80,8,5,-4.94478448438135,5,-5.19866949159677
85,8,5,-4.94135102215974,5,-5.19523602937516
90,8,5,-4.94010697299511,5,-5.19399198021053
0,8,10,-5.35461907283332,10,-5.60850408004874
5,8,10,-5.30765358266746,10,-5.56153858988288
10,8,10,-5.26029213544281,10,-5.51417714265824
15,8,10,-5.21296730992538,10,-5.4668523171408
20,8,10,-5.16614206512817,10,-5.4200270723436
25,8,10,-5.12029253747192,10,-5.37417754468735
30,8,10,-5.07589246898716,10,-5.32977747620258
35,8,10,-5.03340006097015,10,-5.28728506818558
40,8,10,-4.99324751004282,10,-5.24713251725825
45,8,10,-4.95583306147623,10,-5.20971806869165
50,8,10,-4.92151516515977,10,-5.1754001723752
55,8,10,-4.89060825384992,10,-5.14449326106534
60,8,10,-4.86337975034157,10,-5.11726475755699
65,8,10,-4.84004808984096,10,-5.09393309705638
70,8,10,-4.82078174477162,10,-5.07466675198704
75,8,10,-4.80569939723953,10,-5.05958440445495
80,8,10,-4.79487147610534,10,-5.04875648332076
85,8,10,-4.78832324542075,10,-5.04220825263617
90,8,10,-4.78603950984877,10,-5.03992451706419
0,8,15,-5.58114800380792,15,-5.83503301102334
5,8,15,-5.51191657890765,15,-5.76580158612307
10,8,15,-5.44066085094754,15,-5.69454585816297
15,8,15,-5.3684412435737,15,-5.62232625078912
20,8,15,-5.29635414875739,15,-5.55023915597281
25,8,15,-5.22546900995566,15,-5.47935401717108
30,8,15,-5.15678425950409,15,-5.41066926671952
35,8,15,-5.09120244510797,15,-5.34508745232339
40,8,15,-5.02952124001825,15,-5.28340624723368
45,8,15,-4.97243480256911,15,-5.22631980978453
50,8,15,-4.92053939594962,15,-5.17442440316505
55,8,15,-4.87433816579225,15,-5.12822317300767
60,8,15,-4.83424203129432,15,-5.08812703850974
65,8,15,-4.80056610382166,15,-5.05445111103709
70,8,15,-4.77352322096121,15,-5.02740822817664
75,8,15,-4.75321756102359,15,-5.00710256823901
80,8,15,-4.7396416601054,15,-4.99352666732082
85,8,15,-4.7326795729659,15,-4.98656458018132
90,8,15,-4.73211770592387,15,-4.98600271313929
0,8,20,-5.90761179283733,20,-6.16149680005276
5,8,20,-5.81355070326367,20,-6.06743571047909
10,8,20,-5.71474536699235,20,-5.96863037420778
15,8,20,-5.61360300539526,20,-5.86748801261068
20,8,20,-5.51242864734737,20,-5.76631365456279
25,8,20,-5.41326935226121,20,-5.66715435947664
30,8,20,-5.31784006873911,20,-5.57172507595454
35,8,20,-5.22752260366629,20,-5.48140761088171
40,8,20,-5.14341594980987,20,-5.39730095702529
45,8,20,-5.06640959144348,20,-5.32029459865891
50,8,20,-4.99725206726737,20,-5.25113707448279
55,8,20,-4.93659424014866,20,-5.19047924736408
60,8,20,-4.8849980687237,20,-5.13888307593912
65,8,20,-4.84291376422757,20,-5.09679877144299
70,8,20,-4.8106375864815,20,-5.06452259369692
75,8,20,-4.78826690976885,20,-5.04215191698428
80,8,20,-4.7756681859497,20,-5.02955319316513
85,8,20,-4.77246840883895,20,-5.02635341605437
90,8,20,-4.77807393653285,20,-5.03195894374828
0,8,25,-6.33110065734829,25,-6.58498566456371
5,8,25,-6.20681705705316,25,-6.46070206426859
10,8,25,-6.07438190045947,25,-6.32826690767489
15,8,25,-5.93863063124456,25,-6.19251563845999
20,8,25,-5.80381876060768,25,-6.05770376782311
25,8,25,-5.6733217222631,25,-5.92720672947852
30,8,25,-5.54956808263739,25,-5.80345308985281
35,8,25,-5.43416546592057,25,-5.68805047313599
40,8,25,-5.32814660882923,25,-5.58203161604465
45,8,25,-5.23224832582151,25,-5.48613333303694
50,8,25,-5.14714135730583,25,-5.40102636452125
55,8,25,-5.07355410695508,25,-5.32743911417051
60,8,25,-5.01227198938233,25,-5.26615699659775
65,8,25,-4.96403418305692,25,-5.21791919027234
70,8,25,-4.92937754630797,25,-5.18326255352339
75,8,25,-4.90848532534144,25,-5.16237033255686
80,8,25,-4.90108692222468,25,-5.1549719294401
85,8,25,-4.9064322553026,25,-5.16031726251802
90,8,25,-4.92334012477154,25,-5.17722513198697
0,8,30,-6.84511102791443,30,-7.09899603512986
5,8,30,-6.68275442866371,30,-6.93663943587913
10,8,30,-6.50890828041661,30,-6.76279328763203
15,8,30,-6.33218831594683,30,-6.58607332316226
20,8,30,-6.15958278380372,30,-6.41346779101914
25,8,30,-5.99598213413875,30,-6.24986714135417
30,8,30,-5.84421734238659,30,-6.09810234960201
35,8,30,-5.70549392333782,30,-5.95937893055324
40,8,30,-5.58005519665333,30,-5.83394020386876
45,8,30,-5.46787801719639,30,-5.72176302441181
50,8,30,-5.36921054883874,30,-5.62309555605416
55,8,30,-5.28481972875351,30,-5.53870473596893
60,8,30,-5.21591774461586,30,-5.46980275183128
65,8,30,-5.16384481912957,30,-5.41772982634499
70,8,30,-5.12965435073824,30,-5.38353935795366
75,8,30,-5.11375206178336,30,-5.36763706899878
80,8,30,-5.11569286710028,30,-5.36957787431571
85,8,30,-5.13416836325328,30,-5.3880533704687
90,8,30,-5.16715474712777,30,-5.42103975434319
0,8,35,-7.44085068865241,35,-7.69473569586783
5,8,35,-7.23094189624689,35,-7.48482690346232
10,8,35,-7.00726464903653,35,-7.26114965625195
15,8,35,-6.7836195628733,35,-7.03750457008872
20,8,35,-6.57036617389552,35,-6.82425118111094
25,8,35,-6.37383179345208,35,-6.62771680066751
30,8,35,-6.19661339948533,35,-6.45049840670075
35,8,35,-6.03854650862726,35,-6.29243151584268
40,8,35,-5.89805939765233,35,-6.15194440486775
45,8,35,-5.77356043980814,35,-6.02744544702356
50,8,35,-5.66447886645158,35,-5.918363873667
55,8,35,-5.57167598184914,35,-5.82556098906456
60,8,35,-5.49717130865028,35,-5.7510563158657
65,8,35,-5.44338444247795,35,-5.69726944969337
70,8,35,-5.41224255601879,35,-5.66612756323421
75,8,35,-5.40448441498788,35,-5.65836942220331
80,8,35,-5.41935000556006,35,-5.67323501277548
85,8,35,-5.45467384420626,35,-5.70855885142168
90,8,35,-5.5072707642942,35,-5.76115577150962
0,8,40,-8.10867760226217,40,-8.36256260947759
5,8,40,-7.84127330421793,40,-8.09515831143335
10,8,40,-7.55993492190516,40,-7.81381992912058
15,8,40,-7.28478871308791,40,-7.53867372030333
20,8,40,-7.02985937756192,40,-7.28374438477735
25,8,40,-6.80253425877778,40,-7.0564192659932
30,8,40,-6.60431315023399,40,-6.85819815744942
35,8,40,-6.43250595577315,40,-6.68639096298857
40,8,40,-6.28253593416263,40,-6.53642094137806
