"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-7.23589976528165,0,-7.33514835335189
5,8,0,-7.23589976528165,0,-7.33514835335189
10,8,0,-7.23589976528165,0,-7.3351483533519
15,8,0,-7.23589976528166,0,-7.3351483533519
20,8,0,-7.23589976528165,0,-7.33514835335189
25,8,0,-7.23589976528165,0,-7.33514835335189
30,8,0,-7.23589976528166,0,-7.3351483533519
35,8,0,-7.23589976528166,0,-7.3351483533519
40,8,0,-7.23589976528166,0,-7.3351483533519
45,8,0,-7.23589976528165,0,-7.3351483533519
50,8,0,-7.23589976528165,0,-7.33514835335189
55,8,0,-7.23589976528165,0,-7.3351483533519
60,8,0,-7.23589976528165,0,-7.3351483533519
65,8,0,-7.23589976528165,0,-7.33514835335189
70,8,0,-7.23589976528165,0,-7.33514835335189
75,8,0,-7.23589976528165,0,-7.33514835335189
80,8,0,-7.23589976528165,0,-7.33514835335189
85,8,0,-7.23589976528165,0,-7.33514835335189
90,8,0,-7.23589976528166,0,-7.3351483533519
0,8,5,-7.16138519264979,5,-7.26063378072003
5,8,5,-7.05154570698508,5,-7.15079429505532
10,8,5,-6.93779258033883,5,-7.03704116840908
15,8,5,-6.82228853214746,5,-6.9215371202177
20,8,5,-6.70721603499173,5,-6.80646462306198
25,8,5,-6.59469437363431,5,-6.69394296170455
30,8,5,-6.48671272983324,5,-6.58596131790348
35,8,5,-6.38508075537393,5,-6.48432934344417
40,8,5,-6.29139603817433,5,-6.39064462624457
45,8,5,-6.20702645562454,5,-6.30627504369478
50,8,5,-6.13310463465957,5,-6.23235322272981
55,8,5,-6.07053148901518,5,-6.16978007708543
60,8,5,-6.01998593261692,5,-6.11923452068716
65,8,5,-5.98193823118109,5,-6.08118681925133
70,8,5,-5.95666493601013,5,-6.05591352408037
75,8,5,-5.94426386179932,5,-6.04351244986956
80,8,5,-5.94466807077916,5,-6.0439166588494
85,8,5,-5.95765827777309,5,-6.05690686584333
90,8,5,-5.9828734786434,5,-6.08212206671364
0,8,10,-7.1489071723007,10,-7.24815576037095
5,8,10,-6.87585730555226,10,-6.9751058936225
10,8,10,-6.58760609222661,10,-6.68685468029686
15,8,10,-6.29471416412564,10,-6.39396275219588
20,8,10,-6.00651418941064,10,-6.10576277748088
25,8,10,-5.7307516876325,10,-5.83000027570274
30,8,10,-5.47350522684238,10,-5.57275381491262
35,8,10,-5.23928998858378,10,-5.33853857665402
