"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-12.2676907635994,0,-12.2760706076137
5,8,0,-12.2676907635994,0,-12.2760706076137
10,8,0,-12.2676907635994,0,-12.2760706076137
15,8,0,-12.2676907635994,0,-12.2760706076137
20,8,0,-12.2676907635994,0,-12.2760706076137
25,8,0,-12.2676907635994,0,-12.2760706076137
30,8,0,-12.2676907635994,0,-12.2760706076137
35,8,0,-12.2676907635994,0,-12.2760706076137
40,8,0,-12.2676907635994,0,-12.2760706076137
45,8,0,-12.2676907635994,0,-12.2760706076137
50,8,0,-12.2676907635994,0,-12.2760706076137
55,8,0,-12.2676907635994,0,-12.2760706076137
60,8,0,-12.2676907635994,0,-12.2760706076137
65,8,0,-12.2676907635994,0,-12.2760706076137
70,8,0,-12.2676907635994,0,-12.2760706076137
75,8,0,-12.2676907635994,0,-12.2760706076137
80,8,0,-12.2676907635994,0,-12.2760706076137
85,8,0,-12.2676907635994,0,-12.2760706076137
90,8,0,-12.2676907635994,0,-12.2760706076137
0,8,5,-12.0974657106206,5,-12.1058455546349
5,8,5,-12.1110972486633,5,-12.1194770926775
10,8,5,-12.1260971925522,5,-12.1344770365665
15,8,5,-12.1423353354545,5,-12.1507151794688
20,8,5,-12.159670250172,5,-12.1680500941863
25,8,5,-12.1779502607956,5,-12.1863301048099
30,8,5,-12.1970147949473,5,-12.2053946389616
35,8,5,-12.2166961267091,5,-12.2250759707234
40,8,5,-12.2368215001766,5,-12.2452013441909
45,8,5,-12.2572156011884,5,-12.2655954452026
50,8,5,-12.2777033202145,5,-12.2860831642288
55,8,5,-12.2981127231397,5,-12.306492567154
60,8,5,-12.3182781199399,5,-12.3266579639542
65,8,5,-12.3380430960074,5,-12.3464229400217
70,8,5,-12.3572633498838,5,-12.3656431938981
75,8,5,-12.3758091677624,5,-12.3841890117767
80,8,5,-12.3935673628021,5,-12.4019472068164
85,8,5,-12.4104425191432,5,-12.4188223631575
90,8,5,-12.4263574085113,5,-12.4347372525256
0,8,10,-12.0098530956043,10,-12.0182329396186
5,8,10,-12.0373414449359,10,-12.0457212889502
10,8,10,-12.0675859996719,10,-12.0759658436862
15,8,10,-12.1003719972822,10,-12.1087518412965
20,8,10,-12.135440978945,10,-12.1438208229593
25,8,10,-12.1724896547627,10,-12.180869498777
30,8,10,-12.2111703991916,10,-12.2195502432059
35,8,10,-12.2510935299239,10,-12.2594733739382
40,8,10,-12.2918315743205,10,-12.3002114183348
45,8,10,-12.332925777324,10,-12.3413056213383
50,8,10,-12.3738951297176,10,-12.3822749737319
55,8,10,-12.4142481599953,10,-12.4226280040096
60,8,10,-12.4534975960252,10,-12.4618774400394
65,8,10,-12.4911777316395,10,-12.4995575756538
70,8,10,-12.5268639221416,10,-12.5352437661559
75,8,10,-12.5601931172874,10,-12.5685729613017
80,8,10,-12.5908838040437,10,-12.599263648058
85,8,10,-12.6187532953662,10,-12.6271331393805
90,8,10,-12.6437300971512,10,-12.6521099411655
0,8,15,-12.0089744646067,15,-12.017354308621
5,8,15,-12.0477510359867,15,-12.056130880001
10,8,15,-12.0908625252704,15,-12.0992423692847
15,8,15,-12.1381259807066,15,-12.1465058247209
20,8,15,-12.1892631360607,15,-12.197642980075
25,8,15,-12.2438942791627,15,-12.252274123177
30,8,15,-12.3015337352986,15,-12.3099135793129
35,8,15,-12.3615868472749,15,-12.3699666912892
40,8,15,-12.4233484780531,15,-12.4317283220674
45,8,15,-12.4860036227612,15,-12.4943834667755
50,8,15,-12.5486317737536,15,-12.5570116177679
55,8,15,-12.6102180402707,15,-12.618597884285
60,8,15,-12.6696751844361,15,-12.6780550284504
65,8,15,-12.7258809961911,15,-12.7342608402054
70,8,15,-12.7777341237768,15,-12.7861139677911
75,8,15,-12.8242282899986,15,-12.8326081340129
80,8,15,-12.8645400855759,15,-12.8729199295902
85,8,15,-12.8981203114998,15,-12.9065001555141
90,8,15,-12.9247747514951,15,-12.9331545955094
0,8,20,-12.0951048890029,20,-12.1034847330172
5,8,20,-12.1410659888989,20,-12.1494458329132
10,8,20,-12.1930491156301,20,-12.2014289596443
15,8,20,-12.2510279745722,20,-12.2594078185865
20,8,20,-12.3148296873559,20,-12.3232095313702
25,8,20,-12.3841226969913,20,-12.3925025410056
30,8,20,-12.458408241565,20,-12.4667880855793
35,8,20,-12.5370128285888,20,-12.5453926726031
40,8,20,-12.6190762132556,20,-12.6274560572699
45,8,20,-12.7035291501892,20,-12.7119089942035
50,8,20,-12.7890592411025,20,-12.7974390851168
55,8,20,-12.8740716748498,20,-12.8824515188641
60,8,20,-12.9566625961625,20,-12.9650424401768
65,8,20,-13.0346321933296,20,-13.0430120373439
70,8,20,-13.105567128625,20,-13.1139469726393
75,8,20,-13.1670130995666,20,-13.1753929435809
80,8,20,-13.2167367454805,20,-13.2251165894948
85,8,20,-13.2530458590442,20,-13.2614257030585
90,8,20,-13.2751078697479,20,-13.2834877137622
0,8,25,-12.2667253501097,25,-12.2751051941239
5,8,25,-12.3151478934657,25,-12.32352773748
10,8,25,-12.371219215171,25,-12.3795990591853
15,8,25,-12.4351891082204,25,-12.4435689522347
20,8,25,-12.5071042534723,25,-12.5154840974866
25,8,25,-12.5867875716339,25,-12.5951674156482
30,8,25,-12.6738441401554,25,-12.6822239841697
35,8,25,-12.7676836598021,25,-12.7760635038164
40,8,25,-12.8675320049282,25,-12.8759118489425
45,8,25,-12.972395424903,25,-12.9807752689173
50,8,25,-13.0809479381253,25,-13.0893277821396
55,8,25,-13.1913391174524,25,-13.1997189614667
60,8,25,-13.3009625607581,25,-13.3093424047724
65,8,25,-13.4062730027899,25,-13.4146528468041
70,8,25,-13.5027728951346,25,-13.5111527391489
75,8,25,-13.5852846333119,25,-13.5936644773262
80,8,25,-13.6485644126417,25,-13.6569442566559
85,8,25,-13.6881982539761,25,-13.6965780979904
90,8,25,-13.7015839657916,25,-13.7099638098059
0,8,30,-12.5211923599342,30,-12.5295722039485
5,8,30,-12.5674287578821,30,-12.5758086018963
10,8,30,-12.6228467602441,30,-12.6312266042584
15,8,30,-12.6880769976704,30,-12.6964568416847
20,8,30,-12.7634233572376,30,-12.7718032012519
25,8,30,-12.8488328092681,30,-12.8572126532823
30,8,30,-12.9439689383296,30,-12.9523487823439
35,8,30,-13.048362152869,30,-13.0567419968833
40,8,30,-13.1615570540712,30,-13.1699368980855
45,8,30,-13.2831423063818,30,-13.2915221503961
50,8,30,-13.4125514682644,30,-13.4209313122787
55,8,30,-13.5485798464819,30,-13.5569596904962
60,8,30,-13.6886713442331,30,-13.6970511882474
65,8,30,-13.8281681571183,30,-13.8365480011326
70,8,30,-13.9598443562814,30,-13.9682242002957
75,8,30,-14.0741039558782,30,-14.0824837998925
80,8,30,-14.1601380383395,30,-14.1685178823538
85,8,30,-14.2080347323595,30,-14.2164145763738
90,8,30,-14.2113536325271,30,-14.2197334765414
0,8,35,-12.8532607045001,35,-12.8616405485144
5,8,35,-12.8933137868745,35,-12.9016936308888
10,8,35,-12.9442600134614,35,-12.9526398574757
15,8,35,-13.0071453705535,35,-13.0155252145678
20,8,35,-13.0823851839378,35,-13.0907650279521
25,8,35,-13.1697480549326,35,-13.1781278989469
30,8,35,-13.2686042266489,35,-13.2769840706632
35,8,35,-13.378376237517,35,-13.3867560815313
40,8,35,-13.499020038676,35,-13.5073998826903
45,8,35,-13.6312805323488,35,-13.6396603763631
50,8,35,-13.7764523059181,35,-13.7848321499324
55,8,35,-13.9354731645521,35,-13.9438530085664
60,8,35,-14.1073853245567,35,-14.115765168571
65,8,35,-14.2874760828937,35,-14.295855926908
70,8,35,-14.4657059985201,35,-14.4740858425344
75,8,35,-14.6262902552782,35,-14.6346700992924
80,8,35,-14.7493619195106,35,-14.7577417635249
85,8,35,-14.8151724801954,35,-14.8235523242097
90,8,35,-14.8099975180538,35,-14.8183773620681
0,8,40,-13.2525948765815,40,-13.2609747205958
5,8,40,-13.2834996039576,40,-13.2918794479719
10,8,40,-13.327781553799,40,-13.3361613978133
15,8,40,-13.3867537065532,40,-13.3951335505675
20,8,40,-13.4604914953613,40,-13.4688713393755
25,8,40,-13.5479202466645,40,-13.5563000906788
30,8,40,-13.6474157495317,40,-13.655795593546
35,8,40,-13.7577889925631,40,-13.7661688365774
40,8,40,-13.8793458885377,40,-13.887725732552
45,8,40,-14.0145589431202,40,-14.0229387871345
50,8,40,-14.1678517153826,40,-14.1762315593969
55,8,40,-14.3441583918588,40,-14.352538235873
60,8,40,-14.5462577428083,40,-14.5546375868226
65,8,40,-14.771286668599,40,-14.7796665126133
70,8,40,-15.0072727299897,40,-15.015652574004
75,8,40,-15.2310921743992,40,-15.2394720184135
80,8,40,-15.4099238789664,40,-15.4183037229807
85,8,40,-15.5081918214007,40,-15.516571665415
90,8,40,-15.4995071223795,40,-15.5078869663938
0,8,45,-13.7022968981741,45,-13.7106767421884
5,8,45,-13.7221377867171,45,-13.7305176307314
10,8,45,-13.7593578882892,45,-13.7677377323034
15,8,45,-13.8150813922701,45,-13.8234612362844
20,8,45,-13.8882066218793,45,-13.8965864658936
25,8,45,-13.9757916313778,45,-13.9841714753921
30,8,45,-14.0742613067213,45,-14.0826411507356
35,8,45,-14.1811907837703,45,-14.1895706277846
40,8,45,-14.2971688794523,45,-14.3055487234666
45,8,45,-14.427010181747,45,-14.4353900257613
50,8,45,-14.5795449132949,45,-14.5879247573092
55,8,45,-14.7655121945336,45,-14.7738920385479
60,8,45,-14.9935977352846,45,-15.0019775792989
65,8,45,-15.2651004802518,45,-15.2734803242661
70,8,45,-15.5680410836549,45,-15.5764209276692
75,8,45,-15.8722572005743,45,-15.8806370445886
80,8,45,-16.1288452839511,45,-16.1372251279654
85,8,45,-16.2792484910876,45,-16.2876283351019
90,8,45,-16.2764784556755,45,-16.2848582996898
0,8,50,-14.1799383367197,50,-14.1883181807339
5,8,50,-14.1874398536192,50,-14.1958196976335
10,8,50,-14.218437338414,50,-14.2268171824283
15,8,50,-14.2730431529017,50,-14.281422996916
