"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-6.92621784521797,0,-7.06669076013319
5,8,0,-6.92621784521797,0,-7.06669076013319
10,8,0,-6.92621784521797,0,-7.06669076013319
15,8,0,-6.92621784521797,0,-7.06669076013319
20,8,0,-6.92621784521797,0,-7.06669076013319
25,8,0,-6.92621784521797,0,-7.06669076013319
30,8,0,-6.92621784521797,0,-7.06669076013319
35,8,0,-6.92621784521797,0,-7.06669076013319
40,8,0,-6.92621784521797,0,-7.06669076013319
45,8,0,-6.92621784521797,0,-7.06669076013319
50,8,0,-6.92621784521796,0,-7.06669076013319
55,8,0,-6.92621784521797,0,-7.06669076013319
60,8,0,-6.92621784521797,0,-7.06669076013319
65,8,0,-6.92621784521796,0,-7.06669076013319
70,8,0,-6.92621784521797,0,-7.06669076013319
75,8,0,-6.92621784521797,0,-7.06669076013319
80,8,0,-6.92621784521797,0,-7.06669076013319
85,8,0,-6.92621784521797,0,-7.06669076013319
90,8,0,-6.92621784521797,0,-7.06669076013319
0,8,5,-6.92417014995803,5,-7.06464306487325
5,8,5,-6.91350920271597,5,-7.05398211763119
10,8,5,-6.90328837219572,5,-7.04376128711095
15,8,5,-6.89358165351241,5,-7.03405456842763
20,8,5,-6.88445794608048,5,-7.02493086099571
25,8,5,-6.87598088730734,5,-7.01645380222256
30,8,5,-6.86820864197093,5,-7.00868155688616
35,8,5,-6.86119363593327,5,-7.00166655084849
40,8,5,-6.85498223373225,5,-6.99545514864747
45,8,5,-6.84961436977584,5,-6.99008728469106
50,8,5,-6.8451231516508,5,-6.98559606656602
55,8,5,-6.84153446102529,5,-6.98200737594051
60,8,5,-6.83886658256864,5,-6.97933949748386
65,8,5,-6.83712989418095,5,-6.97760280909617
70,8,5,-6.83632665262684,5,-6.97679956754206
75,8,5,-6.83645090738045,5,-6.97692382229567
80,8,5,-6.8374885720162,5,-6.97796148693142
85,8,5,-6.83941767665747,5,-6.97989059157269
90,8,5,-6.84220881665588,5,-6.9826817315711
0,8,10,-6.97936257546182,10,-7.11983549037704
5,8,10,-6.95834900166278,10,-7.09882191657801
10,8,10,-6.93834400752296,10,-7.07881692243818
15,8,10,-6.91945274875955,10,-7.05992566367477
20,8,10,-6.9017774641112,10,-7.04225037902642
25,8,10,-6.88541922983202,10,-7.02589214474725
30,8,10,-6.87047851544176,10,-7.01095143035698
35,8,10,-6.85705458352719,10,-6.99752749844241
40,8,10,-6.84524389173296,10,-6.98571680664818
45,8,10,-6.83513772494315,10,-6.97561063985837
50,8,10,-6.8268193069854,10,-6.96729222190062
55,8,10,-6.8203606225044,10,-6.96083353741962
60,8,10,-6.81581913824069,10,-6.95629205315592
65,8,10,-6.81323456985728,10,-6.95370748477251
70,8,10,-6.81262581467236,10,-6.95309872958758
75,8,10,-6.81398817409268,10,-6.95446108900791
80,8,10,-6.8172910239557,10,-6.95776393887092
85,8,10,-6.82247614736534,10,-6.96294906228056
90,8,10,-6.82945700483856,10,-6.96992991975378
0,8,15,-7.09249125958834,15,-7.23296417450356
5,8,15,-7.0624190028852,15,-7.20289191780042
10,8,15,-7.03388708948572,15,-7.17436000440094
15,8,15,-7.00694307860528,15,-7.1474159935205
20,8,15,-6.98166013640533,15,-7.12213305132055
25,8,15,-6.95814252196046,15,-7.09861543687568
30,8,15,-6.9365252717905,15,-7.07699818670573
35,8,15,-6.91696911788517,15,-7.0574420328004
40,8,15,-6.89965224783,15,-7.04012516274522
45,8,15,-6.88476066356399,15,-7.02523357847921
50,8,15,-6.87247861652322,15,-7.01295153143844
55,8,15,-6.86298000660304,15,-7.00345292151826
60,8,15,-6.85642092554088,15,-6.99689384045611
65,8,15,-6.85293291601992,15,-6.99340583093515
70,8,15,-6.85261617567891,15,-6.99308909059413
75,8,15,-6.85553194252548,15,-6.9960048574407
80,8,15,-6.86169364050961,15,-7.00216655542483
85,8,15,-6.87105695225485,15,-7.01152986717008
90,8,15,-6.88350969410908,15,-7.02398260902431
0,8,20,-7.26392129808277,20,-7.40439421299799
5,8,20,-7.22675027542661,20,-7.36722319034183
10,8,20,-7.1915221916096,20,-7.33199510652482
15,8,20,-7.15811285960672,20,-7.29858577452194
20,8,20,-7.12650140710558,20,-7.2669743220208
25,8,20,-7.09677651738918,20,-7.2372494323044
30,8,20,-7.06912476511155,20,-7.20959768002677
35,8,20,-7.04380645164857,20,-7.18427936656379
40,8,20,-7.02112624924517,20,-7.16159916416039
45,8,20,-7.00140587121508,20,-7.1418787861303
50,8,20,-6.98496395003182,20,-7.12543686494704
55,8,20,-6.97210499382723,20,-7.11257790874245
60,8,20,-6.96311578188352,20,-7.10358869679874
65,8,20,-6.95826495570913,20,-7.09873787062435
70,8,20,-6.95780058711835,20,-7.09827350203357
75,8,20,-6.96194125078675,20,-7.10241416570198
80,8,20,-6.97085809538908,20,-7.1113310103043
85,8,20,-6.98464781120986,20,-7.12512072612508
90,8,20,-7.00329858563449,20,-7.14377150054971
0,8,25,-7.49337609687356,25,-7.63384901178879
5,8,25,-7.45111513485162,25,-7.59158804976685
10,8,25,-7.41110327932284,25,-7.55157619423806
15,8,25,-7.37294763011834,25,-7.51342054503356
20,8,25,-7.33650045008683,25,-7.47697336500206
25,8,25,-7.30185092679059,25,-7.44232384170581
30,8,25,-7.26927724943012,25,-7.40975016434534
35,8,25,-7.23917593457068,25,-7.3796488494859
40,8,25,-7.21198963133712,25,-7.35246254625234
45,8,25,-7.1881530452085,25,-7.32862596012372
50,8,25,-7.1680690658631,25,-7.30854198077832
55,8,25,-7.15211579476637,25,-7.29258870968159
60,8,25,-7.14067386246819,25,-7.28114677738341
65,8,25,-7.13415643397383,25,-7.27462934888905
70,8,25,-7.13302419511645,25,-7.27349711003167
75,8,25,-7.13777392416321,25,-7.27824683907843
80,8,25,-7.14889860092926,25,-7.28937151584448
85,8,25,-7.16682487360628,25,-7.3072977885215
90,8,25,-7.19183695030359,25,-7.33230986521881
0,8,30,-7.77974232761563,30,-7.92021524253085
5,8,30,-7.73361557083805,30,-7.87408848575327
10,8,30,-7.69017468443676,30,-7.83064759935198
15,8,30,-7.64876118373797,30,-7.78923409865319
20,8,30,-7.60914055044028,30,-7.7496134653555
25,8,30,-7.5714433278196,30,-7.71191624273482
30,8,30,-7.53604531569984,30,-7.67651823061507
35,8,30,-7.50342277391844,30,-7.64389568883366
40,8,30,-7.47402569622019,30,-7.61449861113541
45,8,30,-7.4482085940568,30,-7.58868150897202
50,8,30,-7.42624043156284,30,-7.56671334647806
55,8,30,-7.40838632458568,30,-7.5488592395009
60,8,30,-7.39502395963084,30,-7.53549687454606
65,8,30,-7.3867414029519,30,-7.52721431786713
70,8,30,-7.38436946138577,30,-7.52484237630099
75,8,30,-7.38892910247369,30,-7.52940201738891
80,8,30,-7.40150901182902,30,-7.54198192674425
85,8,30,-7.42311204682836,30,-7.56358496174358
90,8,30,-7.45451011521293,30,-7.59498303012815
0,8,35,-8.12042990800799,35,-8.26090282292321
5,8,35,-8.07001153096039,35,-8.21048444587561
10,8,35,-8.02333472116021,35,-8.16380763607543
15,8,35,-7.9796861067314,35,-8.12015902164663
20,8,35,-7.93887774702774,35,-8.07935066194296
25,8,35,-7.9010832099524,35,-8.04155612486762
30,8,35,-7.86662637335984,35,-8.00709928827507
35,8,35,-7.83576891628842,35,-7.97624183120364
40,8,35,-7.80855541227425,35,-7.94902832718947
45,8,35,-7.78478002522816,35,-7.92525294014338
50,8,35,-7.76411336735268,35,-7.9045862822679
55,8,35,-7.74636715452874,35,-7.88684006944396
60,8,35,-7.73180233182547,35,-7.8722752467407
65,8,35,-7.72134612058999,35,-7.86181903550521
70,8,35,-7.71660762623754,35,-7.85708054115276
75,8,35,-7.71966623713323,35,-7.86013915204845
80,8,35,-7.732708551258,35,-7.87318146617322
85,8,35,-7.75765137285683,35,-7.89812428777205
90,8,35,-7.79587659407276,35,-7.93634950898799
0,8,40,-8.51033271834949,40,-8.65080563326471
5,8,40,-8.45292275465409,40,-8.59339566956931
10,8,40,-8.40169093650131,40,-8.54216385141653
15,8,40,-8.35635232433721,40,-8.49682523925243
20,8,40,-8.31695035282834,40,-8.45742326774357
25,8,40,-8.28354910411072,40,-8.42402201902594
30,8,40,-8.25598070787977,40,-8.39645362279499
35,8,40,-8.23364713322329,40,-8.37412004813851
40,8,40,-8.2154151387007,40,-8.35588805361592
45,8,40,-8.1997019302218,40,-8.34017484513702
50,8,40,-8.18483934584017,40,-8.32531226075539
55,8,40,-8.16968727770839,40,-8.31016019262362
60,8,40,-8.15429677960006,40,-8.29476969451529
65,8,40,-8.14032004368363,40,-8.28079295859885
70,8,40,-8.13092664648698,40,-8.2713995614022
75,8,40,-8.13020297592853,40,-8.27067589084375
80,8,40,-8.14225958471746,40,-8.28273249963268
85,8,40,-8.17040128047903,40,-8.31087419539425
90,8,40,-8.21666047493037,40,-8.35713338984559
0,8,45,-8.94091155304601,45,-9.08138446796123
5,8,45,-8.87139219909752,45,-9.01186511401274
10,8,45,-8.81280834869977,45,-8.953281263615
15,8,45,-8.76600594325741,45,-8.90647885817263
20,8,45,-8.73138000752295,45,-8.87185292243818
25,8,45,-8.70846708817725,45,-8.84894000309247
30,8,45,-8.69582397355138,45,-8.83629688846661
35,8,45,-8.69101431904015,45,-8.83148723395537
40,8,45,-8.69065589155633,45,-8.83112880647155
45,8,45,-8.69069648836862,45,-8.83116940328384
50,8,45,-8.68714521172658,45,-8.8276181266418
55,8,45,-8.67726302003809,45,-8.81773593495331
60,8,45,-8.66082881106788,45,-8.8013017259831
65,8,45,-8.64084890289498,45,-8.78132181781021
70,8,45,-8.62322562645106,45,-8.76369854136628
75,8,45,-8.61540378997737,45,-8.75587670489259
80,8,45,-8.6245353215038,45,-8.76500823641902
85,8,45,-8.65590690935019,45,-8.79637982426541
90,8,45,-8.71219283829917,45,-8.85266575321439
0,8,50,-9.39991911921041,50,-9.54039203412563
5,8,50,-9.31118458879802,50,-9.45165750371324
10,8,50,-9.24137509882049,50,-9.38184801373571
15,8,50,-9.193199274498,50,-9.33367218941323
20,8,50,-9.16731818333361,50,-9.30779109824883
25,8,50,-9.16202911139423,50,-9.30250202630945
30,8,50,-9.17357702869121,50,-9.31404994360643
35,8,50,-9.19654498402747,50,-9.33701789894269
40,8,50,-9.22411773425577,50,-9.36459064917099
45,8,50,-9.24854882570487,50,-9.38902174062009
50,8,50,-9.26237179253962,50,-9.40284470745484
55,8,50,-9.26047528656148,50,-9.40094820147671
60,8,50,-9.24233542220409,50,-9.38280833711931
65,8,50,-9.21316158260234,50,-9.35363449751756
70,8,50,-9.18306322821651,50,-9.32353614313173
75,8,50,-9.16442560555793,50,-9.30489852047315
80,8,50,-9.16864725223025,50,-9.30912016714547
85,8,50,-9.2035804973407,50,-9.34405341225592
90,8,50,-9.27251123353368,50,-9.4129841484489
0,8,55,-9.871980922306,55,-10.0124538372212
5,8,55,-9.75587716860589,55,-9.89635008352112
10,8,55,-9.67054968651658,55,-9.8110226014318
15,8,55,-9.62107120024021,55,-9.76154411515543
20,8,55,-9.60799162900812,55,-9.74846454392334
25,8,55,-9.62745491023756,55,-9.76792782515278
30,8,55,-9.67230904867879,55,-9.81278196359401
35,8,55,-9.73309535237054,55,-9.87356826728576
40,8,55,-9.79849669542706,55,-9.93896961034228
45,8,55,-9.85588540208607,55,-9.99635831700129
50,8,55,-9.89309740387674,55,-10.033570318792
55,8,55,-9.90180082951373,55,-10.042273744429
60,8,55,-9.88119654414908,55,-10.0216694590643
65,8,55,-9.83973887582753,55,-9.98021179074275
70,8,55,-9.79337622608578,55,-9.933849141001
75,8,55,-9.76097436031387,55,-9.9014472752291
80,8,55,-9.75916199332891,55,-9.89963490824414
85,8,55,-9.79871993366472,55,-9.93919284857995
90,8,55,-9.883477769377,55,-10.0239506842922
0,8,60,-10.3399115172679,60,-10.4803844321832
5,8,60,-10.1885244160058,60,-10.328997330921
10,8,60,-10.0837634942283,60,-10.2242364091435
15,8,60,-10.0331167693535,60,-10.1735896842687
20,8,60,-10.0363734298828,60,-10.176846344798
25,8,60,-10.0865789819434,60,-10.2270518968586
30,8,60,-10.1722679463219,60,-10.3127408612372
35,8,60,-10.2791684428444,60,-10.4196413577597
40,8,60,-10.3906959029338,60,-10.531168817849
45,8,60,-10.488355430147,60,-10.6288283450623
50,8,60,-10.5541251519929,60,-10.6945980669081
55,8,60,-10.5756306548226,60,-10.7161035697379
60,8,60,-10.5519463184035,60,-10.6924192333187
65,8,60,-10.4959794081779,60,-10.6364523230931
70,8,60,-10.4311375953789,60,-10.5716105102941
75,8,60,-10.383989770247,60,-10.5244626851622
80,8,60,-10.3768852421528,60,-10.5173581570681
85,8,60,-10.4235003964942,60,-10.5639733114094
90,8,60,-10.5280600741782,60,-10.6685329890934
0,8,65,-10.7864162425095,65,-10.9268891574247
5,8,65,-10.5934958439414,65,-10.7339687588566
10,8,65,-10.4665857732182,65,-10.6070586881334
15,8,65,-10.4151000008107,65,-10.555572915726
20,8,65,-10.43725976468,65,-10.5777326795952
25,8,65,-10.5222111909748,65,-10.66268410589
30,8,65,-10.6535694410475,65,-10.7940423559627
35,8,65,-10.8118697769927,65,-10.9523426919079
40,8,65,-10.974905066712,65,-11.1153779816273
45,8,65,-11.1176763046489,65,-11.2581492195641
50,8,65,-11.2153840093899,65,-11.3558569243052
55,8,65,-11.2509741193516,65,-11.3914470342668
60,8,65,-11.2237345699066,65,-11.3642074848218
65,8,65,-11.1523236105408,65,-11.2927965254561
70,8,65,-11.0690194343066,65,-11.2094923492218
75,8,65,-11.0088018645639,65,-11.1492747794791
80,8,65,-10.9996394975511,65,-11.1401124124663
85,8,65,-11.0576590062299,65,-11.1981319211451
90,8,65,-11.1872426991935,65,-11.3277156141087
0,8,70,-11.1957569209625,70,-11.3362298358777
5,8,70,-10.958030786977,70,-11.0985037018922
10,8,70,-10.808170699637,70,-10.9486436145522
15,8,70,-10.7565580238013,70,-10.8970309387165
20,8,70,-10.7990420694468,70,-10.939514984362
25,8,70,-10.9203351297252,70,-11.0608080446405
30,8,70,-11.0988784840037,70,-11.2393513989189
35,8,70,-11.3100162382602,70,-11.4504891531754
40,8,70,-11.5259953277146,70,-11.6664682426298
45,8,70,-11.7151558277172,70,-11.8556287426324
50,8,70,-11.8454728933261,70,-11.9859458082413
