"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-9.17098114656985,0,-9.22673061468039
5,8,0,-9.17098114656985,0,-9.22673061468039
10,8,0,-9.17098114656983,0,-9.22673061468037
15,8,0,-9.17098114656984,0,-9.22673061468038
20,8,0,-9.17098114656985,0,-9.22673061468039
25,8,0,-9.17098114656985,0,-9.22673061468039
30,8,0,-9.17098114656985,0,-9.22673061468039
35,8,0,-9.17098114656986,0,-9.22673061468039
40,8,0,-9.17098114656986,0,-9.2267306146804
45,8,0,-9.17098114656987,0,-9.2267306146804
50,8,0,-9.17098114656986,0,-9.22673061468039
55,8,0,-9.17098114656985,0,-9.22673061468039
60,8,0,-9.17098114656984,0,-9.22673061468038
65,8,0,-9.17098114656984,0,-9.22673061468038
70,8,0,-9.17098114656984,0,-9.22673061468038
75,8,0,-9.17098114656984,0,-9.22673061468037
80,8,0,-9.17098114656983,0,-9.22673061468037
85,8,0,-9.17098114656984,0,-9.22673061468038
90,8,0,-9.17098114656984,0,-9.22673061468038
0,8,5,-7.58242726918874,5,-7.63817673729927
5,8,5,-7.54742377133593,5,-7.60317323944647
10,8,5,-7.52553141026627,5,-7.5812808783768
15,8,5,-7.51698734910598,5,-7.57273681721652
20,8,5,-7.52190620780627,5,-7.5776556759168
25,8,5,-7.54027075530882,5,-7.59602022341936
30,8,5,-7.57191963648935,5,-7.62766910459989
35,8,5,-7.61653241937239,5,-7.67228188748293
40,8,5,-7.67361265513176,5,-7.72936212324229
45,8,5,-7.74247013590586,5,-7.7982196040164
50,8,5,-7.82220409634429,5,-7.87795356445482
55,8,5,-7.91168969878718,5,-7.96743916689772
60,8,5,-8.00957070746756,5,-8.0653201755781
65,8,5,-8.11426169783723,5,-8.17001116594777
70,8,5,-8.22396332757474,5,-8.27971279568528
75,8,5,-8.3366939473433,5,-8.39244341545383
80,8,5,-8.45033997483552,5,-8.50608944294606
85,8,5,-8.56272585987835,5,-8.61847532798888
90,8,5,-8.67170211258025,5,-8.72745158069079
0,8,10,-5.71431099523361,10,-5.77006046334415
5,8,10,-5.63906615612011,10,-5.69481562423065
10,8,10,-5.5879299506744,10,-5.64367941878494
15,8,10,-5.56153048461449,10,-5.61727995272503
20,8,10,-5.56048134998125,10,-5.61623081809179
25,8,10,-5.58538577279559,10,-5.64113524090613
30,8,10,-5.63681664733151,10,-5.69256611544204
35,8,10,-5.71526671307646,10,-5.771016181187
40,8,10,-5.82106418673929,10,-5.87681365484983
45,8,10,-5.95425061955562,10,-6.01000008766616
50,8,10,-6.11441976214357,10,-6.17016923025411
