"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-12.1275907749734,0,-12.1473932428864
5,8,0,-12.1275907749734,0,-12.1473932428864
10,8,0,-12.1275907749734,0,-12.1473932428864
15,8,0,-12.1275907749734,0,-12.1473932428864
20,8,0,-12.1275907749734,0,-12.1473932428864
25,8,0,-12.1275907749734,0,-12.1473932428864
30,8,0,-12.1275907749734,0,-12.1473932428864
35,8,0,-12.1275907749734,0,-12.1473932428864
40,8,0,-12.1275907749733,0,-12.1473932428864
45,8,0,-12.1275907749733,0,-12.1473932428864
50,8,0,-12.1275907749734,0,-12.1473932428864
55,8,0,-12.1275907749734,0,-12.1473932428864
60,8,0,-12.1275907749734,0,-12.1473932428864
65,8,0,-12.1275907749734,0,-12.1473932428864
70,8,0,-12.1275907749734,0,-12.1473932428864
75,8,0,-12.1275907749734,0,-12.1473932428864
80,8,0,-12.1275907749734,0,-12.1473932428864
85,8,0,-12.1275907749734,0,-12.1473932428864
90,8,0,-12.1275907749734,0,-12.1473932428864
0,8,5,-12.0384491751203,5,-12.0582516430333
5,8,5,-12.0473101765641,5,-12.0671126444771
10,8,5,-12.0568335714076,5,-12.0766360393207
15,8,5,-12.0669704065398,5,-12.0867728744528
20,8,5,-12.0776678254411,5,-12.0974702933541
25,8,5,-12.0888685016478,5,-12.1086709695609
30,8,5,-12.1005103433559,5,-12.1203128112689
35,8,5,-12.112526491704,5,-12.132328959617
40,8,5,-12.1248456164245,5,-12.1446480843375
45,8,5,-12.1373924937208,5,-12.1571949616338
50,8,5,-12.1500888326017,5,-12.1698913005147
55,8,5,-12.1628542979073,5,-12.1826567658204
60,8,5,-12.1756076617551,5,-12.1954101296682
65,8,5,-12.1882680014221,5,-12.2080704693351
70,8,5,-12.200755852426,5,-12.2205583203391
75,8,5,-12.2129942225661,5,-12.2327966904792
80,8,5,-12.2249093775373,5,-12.2447118454503
85,8,5,-12.2364313224874,5,-12.2562337904004
90,8,5,-12.2474939267009,5,-12.2672963946139
0,8,10,-12.0330951510435,10,-12.0528976189566
5,8,10,-12.0475659246163,10,-12.0673683925293
10,8,10,-12.0631737661572,10,-12.0829762340703
15,8,10,-12.0799331505781,10,-12.0997356184911
20,8,10,-12.0978324456696,10,-12.1176349135826
25,8,10,-12.11683025436,10,-12.1366327222731
30,8,10,-12.1368533743761,10,-12.1566558422891
35,8,10,-12.1577963365122,10,-12.1775988044253
40,8,10,-12.1795225497165,10,-12.1993250176295
45,8,10,-12.2018671405733,10,-12.2216696084863
50,8,10,-12.2246415917817,10,-12.2444440596948
55,8,10,-12.2476402307947,10,-12.2674426987077
60,8,10,-12.2706484812113,10,-12.2904509491243
65,8,10,-12.2934525704203,10,-12.3132550383334
70,8,10,-12.315850114338,10,-12.335652582251
75,8,10,-12.3376607215765,10,-12.3574631894895
80,8,10,-12.3587355361217,10,-12.3785380040347
85,8,10,-12.3789645316194,10,-12.3987669995324
90,8,10,-12.3982804295387,10,-12.4180828974517
0,8,15,-12.1084897564655,15,-12.1282922243785
5,8,15,-12.1229478196697,15,-12.1427502875827
10,8,15,-12.139221895986,15,-12.1590243638991
15,8,15,-12.1575117982608,15,-12.1773142661739
20,8,15,-12.1779388965294,15,-12.1977413644425
25,8,15,-12.2005434269023,15,-12.2203458948154
30,8,15,-12.2252828593283,15,-12.2450853272413
35,8,15,-12.252030483798,15,-12.2718329517111
40,8,15,-12.2805743234518,15,-12.3003767913649
45,8,15,-12.3106174827601,15,-12.3304199506731
50,8,15,-12.3417818962608,15,-12.3615843641739
55,8,15,-12.3736179202766,15,-12.3934203881896
60,8,15,-12.4056220732697,15,-12.4254245411827
65,8,15,-12.4372643280943,15,-12.4570667960073
70,8,15,-12.46802470236,15,-12.4878271702731
75,8,15,-12.4974367116477,15,-12.5172391795607
80,8,15,-12.5251329931936,15,-12.5449354611067
85,8,15,-12.550886662066,15,-12.5706891299791
90,8,15,-12.5746412956907,15,-12.5944437636038
0,8,20,-12.2591288307644,20,-12.2789312986775
5,8,20,-12.2667122870802,20,-12.2865147549933
10,8,20,-12.2772232659183,20,-12.2970257338313
15,8,20,-12.2910937263834,20,-12.3108961942965
20,8,20,-12.3086083441642,20,-12.3284108120772
25,8,20,-12.3299184070144,20,-12.3497208749274
30,8,20,-12.3550504154991,20,-12.3748528834121
35,8,20,-12.3839057032373,20,-12.4037081711504
40,8,20,-12.4162497011899,20,-12.4360521691029
45,8,20,-12.45169285586,20,-12.4714953237731
50,8,20,-12.4896693201792,20,-12.5094717880922
55,8,20,-12.5294233945479,20,-12.549225862461
60,8,20,-12.5700159436126,20,-12.5898184115256
65,8,20,-12.6103623029934,20,-12.6301647709065
70,8,20,-12.6493086541,20,-12.669111122013
75,8,20,-12.6857455809894,20,-12.7055480489024
80,8,20,-12.7187469561829,20,-12.7385494240959
85,8,20,-12.7477122027946,20,-12.7675146707076
90,8,20,-12.7724838451151,20,-12.7922863130281
0,8,25,-12.4799682298696,25,-12.4997706977827
5,8,25,-12.4735819599812,25,-12.4933844278943
10,8,25,-12.4717779071711,25,-12.4915803750842
15,8,25,-12.4751761824994,25,-12.4949786504125
20,8,25,-12.4841710742433,25,-12.5039735421563
25,8,25,-12.4989820452594,25,-12.5187845131724
30,8,25,-12.5196953943458,25,-12.5394978622588
35,8,25,-12.5462846538303,25,-12.5660871217433
40,8,25,-12.5785977849535,25,-12.5984002528666
45,8,25,-12.6163055965563,25,-12.6361080644693
50,8,25,-12.6588181292302,25,-12.6786205971433
55,8,25,-12.705190818946,25,-12.7249932868591
60,8,25,-12.7540553263242,25,-12.7738577942372
65,8,25,-12.8036159724784,25,-12.8234184403915
70,8,25,-12.8517474638904,25,-12.8715499318035
75,8,25,-12.8962105213478,25,-12.9160129892608
80,8,25,-12.9349702763096,25,-12.9547727442227
85,8,25,-12.9665648109455,25,-12.9863672788586
90,8,25,-12.9904411719776,25,-13.0102436398907
0,8,30,-12.7681371121501,30,-12.7879395800632
5,8,30,-12.7411254398296,30,-12.7609279077426
10,8,30,-12.7210137124008,30,-12.7408161803138
15,8,30,-12.708544417689,30,-12.7283468856021
20,8,30,-12.7040973513304,30,-12.7238998192434
25,8,30,-12.7077908376478,30,-12.7275933055608
30,8,30,-12.7196040070543,30,-12.7394064749673
35,8,30,-12.7394848288727,30,-12.7592872967858
40,8,30,-12.7673947164344,30,-12.7871971843475
45,8,30,-12.8032499510382,30,-12.8230524189512
