candidate_index,candidate,case,active_pol,freq_ghz,theta_deg,phi_deg,coverage_gain_total_dbi,coverage_gain_total_source,coverage_realized_gain_total_dbi,coverage_realized_gain_total_source
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,1.518249,P2L,1.433334,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,5.000000,1.675245,P4L,1.619495,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,10.000000,1.803989,P4L,1.748239,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,15.000000,1.876839,P4L,1.821090,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,20.000000,1.903423,P4L,1.847673,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,25.000000,1.899092,P4L,1.843343,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,30.000000,1.879728,P4L,1.823979,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,35.000000,1.854759,P4L,1.799009,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,40.000000,1.820631,P4L,1.764882,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,1.930593,P3L,1.831345,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,50.000000,2.031530,P3L,1.932281,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,55.000000,2.104993,P3L,2.005744,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,60.000000,2.167453,P3L,2.068205,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,65.000000,2.220680,P3L,2.121431,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,70.000000,2.256124,P3L,2.156876,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,75.000000,2.260284,P3L,2.161035,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,80.000000,2.219731,P3L,2.120482,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,85.000000,2.124554,P3L,2.025305,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,90.000000,1.969477,P3L,1.870229,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,50.000000,0.000000,1.852858,P4L,1.797108,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,50.000000,5.000000,2.054989,P4L,1.999240,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,50.000000,10.000000,2.191294,P4L,2.135544,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,50.000000,15.000000,2.255460,P4L,2.199711,P4L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,50.000000,20.000000,2.255002,P4L,2.199253,P4L
