fov_sample_count,fov_gain_total_min_dbi,fov_gain_total_min_theta_deg,fov_gain_total_min_phi_deg,fov_realized_gain_total_min_dbi,fov_realized_gain_total_min_theta_deg,fov_realized_gain_total_min_phi_deg,fov_gain_total_max_dbi,fov_gain_total_max_theta_deg,fov_gain_total_max_phi_deg,fov_realized_gain_total_max_dbi,fov_realized_gain_total_max_theta_deg,fov_realized_gain_total_max_phi_deg,candidate_index,candidate,case,active_pol,source,freq_ghz,selected_return_expr,selected_return_db,elapsed_s,single_source_s_csv,single_source_ff_csv,single_source_export_log
190,-12.521590,90.000000,40.000000,-12.724690,90.000000,40.000000,-7.554789,45.000000,5.000000,-7.757890,45.000000,5.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P1A,8.000000,"dB(S(P1A,P1A))",-13.401885,0.005013,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P1A_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P1A_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P1A_single_source_native_export.log
190,-1.893200,45.000000,5.000000,-2.083304,45.000000,5.000000,2.285910,85.000000,60.000000,2.095806,85.000000,60.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P1L,8.000000,"dB(S(P1L,P1L))",-13.682641,0.004010,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P1L_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P1L_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P1L_single_source_native_export.log
190,-14.374059,90.000000,0.000000,-14.627944,90.000000,0.000000,-6.218536,45.000000,70.000000,-6.472421,45.000000,70.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P2A,8.000000,"dB(S(P2A,P2A))",-12.457797,128.804275,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P2A_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P2A_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P2A_single_source_native_export.log
190,-1.573047,45.000000,90.000000,-1.669357,45.000000,90.000000,2.377301,85.000000,30.000000,2.280991,85.000000,30.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P2L,8.000000,"dB(S(P2L,P2L))",-16.589214,128.581188,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P2L_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P2L_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P2L_single_source_native_export.log
190,-20.176283,90.000000,40.000000,-20.386065,90.000000,40.000000,-8.320793,45.000000,90.000000,-8.530575,45.000000,90.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P3A,8.000000,"dB(S(P3A,P3A))",-13.264634,128.500051,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P3A_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P3A_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P3A_single_source_native_export.log
190,-12.201973,50.000000,0.000000,-12.301222,50.000000,0.000000,3.301146,75.000000,75.000000,3.201898,75.000000,75.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P3L,8.000000,"dB(S(P3L,P3L))",-16.460130,128.369720,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P3L_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P3L_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P3L_single_source_native_export.log
190,-20.163360,90.000000,70.000000,-20.487253,90.000000,70.000000,-9.728237,45.000000,60.000000,-10.052129,45.000000,60.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P4A,8.000000,"dB(S(P4A,P4A))",-11.434777,129.167038,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P4A_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P4A_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P4A_single_source_native_export.log
190,-13.122802,50.000000,90.000000,-13.178551,50.000000,90.000000,3.076872,75.000000,15.000000,3.021122,75.000000,15.000000,37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,P4L,8.000000,"dB(S(P4L,P4L))",-18.943281,130.577939,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P4L_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P4L_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\A_ON_absorptive_50ohm_c0p08pf_P4L_single_source_native_export.log
190,-13.893635,90.000000,90.000000,-14.016049,90.000000,90.000000,-7.526123,45.000000,20.000000,-7.648538,45.000000,20.000000,37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,P1B,8.000000,"dB(S(P1B,P1B))",-15.560577,128.892073,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_P1B_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_P1B_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_P1B_single_source_native_export.log
190,-1.893200,45.000000,5.000000,-2.083304,45.000000,5.000000,2.285910,85.000000,60.000000,2.095806,85.000000,60.000000,37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,P1L,8.000000,"dB(S(P1L,P1L))",-13.682641,0.005089,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_P1L_single_source_native_s_parameters.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_P1L_single_source_native_farfield_default.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_dualpol_truefed_l_fov_gain_check\B_ON_absorptive_50ohm_c0p08pf_P1L_single_source_native_export.log
