case,active_pol,freq_ghz,theta_deg,phi_deg,linear_pol_deg,baseline,left_source,right_source,left_mag,right_mag,pdoa_deg,left_mag_rel_db,right_mag_rel_db,valid,phase_error_vs_pol0_deg,reference_phase_slope_deg_per_az_deg,azimuth_error_equiv_deg,pdoa_unwrapped_deg
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,0.000000,E1-E3,P1A,P3A,3404.861770,1887.790945,-132.623002,-0.145218,-5.268129,True,0.000000,3.429610,0.000000,-132.623002
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,5.000000,0.000000,E1-E3,P1A,P3A,3446.428334,1920.108999,-115.474950,-0.039822,-5.120690,True,0.000000,3.298822,0.000000,-115.474950
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,10.000000,0.000000,E1-E3,P1A,P3A,3462.265465,1935.533464,-99.634779,0.000000,-5.051194,True,0.000000,3.047538,0.000000,-99.634779
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,15.000000,0.000000,E1-E3,P1A,P3A,3449.700030,1922.181421,-84.999569,-0.031581,-5.111320,True,0.000000,2.830585,0.000000,-84.999569
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,20.000000,0.000000,E1-E3,P1A,P3A,3408.007011,1873.849031,-71.328926,-0.137198,-5.332515,True,0.000000,2.664139,0.000000,-71.328926
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,25.000000,0.000000,E1-E3,P1A,P3A,3338.496841,1789.868806,-58.358181,-0.316188,-5.730783,True,0.000000,2.545912,0.000000,-58.358181
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,30.000000,0.000000,E1-E3,P1A,P3A,3243.691159,1674.087550,-45.869803,-0.566417,-6.311644,True,0.000000,2.464372,0.000000,-45.869803
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,35.000000,0.000000,E1-E3,P1A,P3A,3126.441162,1533.841275,-33.714462,-0.886202,-7.071599,True,0.000000,2.407500,0.000000,-33.714462
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,40.000000,0.000000,E1-E3,P1A,P3A,2989.788002,1379.106875,-21.794801,-1.274399,-7.995249,True,0.000000,2.367038,0.000000,-21.794801
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,0.000000,E1-E3,P1A,P3A,2837.610921,1221.507208,-10.044085,-1.728150,-9.049287,True,0.000000,2.335757,0.000000,-10.044085
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,50.000000,0.000000,E1-E3,P1A,P3A,2675.384977,1072.808460,1.562770,-2.239482,-10.176763,True,0.000000,2.299029,0.000000,1.562770
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,55.000000,0.000000,E1-E3,P1A,P3A,2510.282029,942.915098,12.946206,-2.792757,-11.297755,True,0.000000,2.227272,0.000000,12.946206
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,60.000000,0.000000,E1-E3,P1A,P3A,2350.376730,837.863630,23.835492,-3.364458,-12.323740,True,0.000000,2.080052,0.000000,23.835492
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,65.000000,0.000000,E1-E3,P1A,P3A,2203.338430,758.675841,33.746723,-3.925583,-13.186082,True,0.000000,1.826417,0.000000,33.746723
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,70.000000,0.000000,E1-E3,P1A,P3A,2075.235141,701.834386,42.099658,-4.445861,-13.862514,True,0.000000,1.466282,0.000000,42.099658
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,75.000000,0.000000,E1-E3,P1A,P3A,1969.895282,661.292223,48.409539,-4.898344,-14.379339,True,0.000000,1.029357,0.000000,48.409539
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,80.000000,0.000000,E1-E3,P1A,P3A,1888.915983,630.899980,52.393228,-5.262954,-14.787997,True,0.000000,0.551890,0.000000,52.393228
