case,active_pol,freq_ghz,theta_deg,linear_pol_deg,baseline,valid_count,total_count,valid_percent,pdoa_span_unwrapped_deg,phase_error_rms_deg,phase_error_mean_abs_deg,phase_error_p95_abs_deg,phase_error_max_abs_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,E1-E3,73,73,100.000000,359.183197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,E1-E3,73,73,100.000000,388.077578,80.417999,66.357988,145.986535,150.471443,42.051072,78.471958,123.269746,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,90.000000,E1-E3,73,73,100.000000,541.853329,102.760077,96.961044,157.429926,179.948260,71.501274,144.924276,271.549387,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,135.000000,E1-E3,72,73,98.630137,516.046070,94.406719,80.193639,173.555438,177.548980,49.073726,74.314600,119.228536,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,E2-E4,73,73,100.000000,355.246411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,E2-E4,73,73,100.000000,460.409058,86.996478,80.072839,138.757804,141.436204,46.314272,82.058457,119.556044,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,90.000000,E2-E4,73,73,100.000000,632.025464,145.366910,141.961770,177.681275,179.940416,93.366934,170.415842,313.259628,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,135.000000,E2-E4,73,73,100.000000,631.371446,79.013779,73.208406,110.485977,177.302644,53.487296,110.480803,180.857176,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,E1-E2,73,73,100.000000,53.241719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,E1-E2,73,73,100.000000,112.135326,19.924237,15.525150,49.189248,53.548519,22.186738,65.712801,65.712801,18
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,90.000000,E1-E2,73,73,100.000000,341.735434,70.069111,50.812004,157.201067,172.124793,114.424081,327.605700,327.605700,18
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,135.000000,E1-E2,73,73,100.000000,45.640026,18.137426,14.153158,44.197764,48.139829,22.099990,50.307145,50.307145,18
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,E2-E3,73,73,100.000000,395.126153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,E2-E3,73,73,100.000000,477.756780,88.983073,73.150235,159.937328,163.555302,38.116491,60.850738,86.528929,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,90.000000,E2-E3,73,73,100.000000,353.318284,119.969156,115.527866,169.383024,174.417797,74.806830,151.563999,340.516500,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,135.000000,E2-E3,72,73,98.630137,514.623288,87.698470,75.726839,159.767091,163.611295,42.892389,74.577821,135.100873,68
