level,case,active_pol,source,freq_ghz,theta_min_deg,theta_max_deg,co_pol_deg,cross_pol_deg,xpd_sample_count,xpd_min_db,xpd_p5_db,xpd_median_db,xpd_avg_db,xpd_max_db,xpd_target_db,xpd_margin_to_target_db,xpd_target_pass,xpd_worst_theta_deg,xpd_worst_phi_deg
source,A_ON_absorptive_50ohm_c0p08pf,A,P1A,8.000000,45.000000,90.000000,0.000000,90.000000,730,-5.268925,-2.940009,3.331655,4.763741,32.448273,25.000000,-30.268925,False,90.000000,165.000000
source,A_ON_absorptive_50ohm_c0p08pf,A,P2A,8.000000,45.000000,90.000000,0.000000,90.000000,730,-27.560106,-7.826500,2.067012,1.793565,28.165595,25.000000,-52.560106,False,90.000000,220.000000
source,A_ON_absorptive_50ohm_c0p08pf,A,P3A,8.000000,45.000000,90.000000,0.000000,90.000000,730,-39.340066,-15.023844,-4.456545,-3.857126,35.081238,25.000000,-64.340066,False,85.000000,295.000000
source,A_ON_absorptive_50ohm_c0p08pf,A,P4A,8.000000,45.000000,90.000000,0.000000,90.000000,730,-15.186578,-7.590203,0.190981,1.277654,30.071916,25.000000,-40.186578,False,70.000000,120.000000
source,B_ON_absorptive_50ohm_c0p08pf,B,P1B,8.000000,45.000000,90.000000,0.000000,90.000000,730,-0.953515,0.924214,6.631093,7.047077,30.504792,25.000000,-25.953515,False,90.000000,215.000000
source,B_ON_absorptive_50ohm_c0p08pf,B,P2B,8.000000,45.000000,90.000000,0.000000,90.000000,730,0.077601,1.259037,7.188789,7.866761,39.676822,25.000000,-24.922399,False,80.000000,240.000000
source,B_ON_absorptive_50ohm_c0p08pf,B,P3B,8.000000,45.000000,90.000000,0.000000,90.000000,730,-10.176997,-8.294582,-1.929867,-0.556607,28.616293,25.000000,-35.176997,False,70.000000,205.000000
source,B_ON_absorptive_50ohm_c0p08pf,B,P4B,8.000000,45.000000,90.000000,0.000000,90.000000,730,-6.650279,-3.692328,3.909656,3.927630,34.408736,25.000000,-31.650279,False,45.000000,115.000000
aggregate,ALL_CASES,A/B,ALL,8.000000,45.000000,90.000000,0.000000,90.000000,5840,-39.340066,-8.177351,2.756720,2.782837,39.676822,25.000000,-64.340066,False,85.000000,295.000000
aggregate,A_ON_absorptive_50ohm_c0p08pf,A,ALL,8.000000,45.000000,90.000000,0.000000,90.000000,2920,-39.340066,-10.947334,0.694092,0.994458,35.081238,25.000000,-64.340066,False,85.000000,295.000000
aggregate,B_ON_absorptive_50ohm_c0p08pf,B,ALL,8.000000,45.000000,90.000000,0.000000,90.000000,2920,-10.176997,-5.279190,4.745816,4.571215,39.676822,25.000000,-35.176997,False,70.000000,205.000000
