"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,3063.4311328809,0,1487.07994861001,0,-90.2427345309494,0,2348.7252217325
0,8,5,3043.90867998952,5,1686.12605165409,5,-356.894949423568,5,2210.18005571802
0,8,10,3001.22024408111,10,1872.33971733434,10,-620.830978252011,10,2054.81408493633
0,8,15,2935.6907099289,15,2044.30374721604,15,-880.042108467962,15,1883.8097382376
0,8,20,2847.81879685562,20,2200.70939119708,20,-1132.55558685452,20,1698.46846195546
0,8,25,2738.27326317827,25,2340.36630788644,25,-1376.44963336935,25,1500.20081511454
0,8,30,2607.88781655353,30,2462.21162382098,30,-1609.86806705123,30,1290.51573422458
0,8,35,2457.6547689591,35,2565.31802257421,35,-1831.03443267793,35,1071.00904936247
0,8,40,2288.71748460037,40,2648.90080219427,40,-2038.26552066314,40,843.351338941764
0,8,45,2102.36167821842,45,2712.32384725961,45,-2229.98417729773,45,609.27521560225
0,8,50,1900.00563002455,50,2755.10447010138,50,-2404.73130784182,50,370.562139981569
0,8,55,1683.18939173142,55,2776.91708434812,55,-2561.17698111677,55,129.028862724091
0,8,60,1453.56306582967,60,2777.59568283459,60,-2698.13055108448,60,-113.486402088474
0,8,65,1212.87424731159,65,2757.13510101656,65,-2814.54971838267,65,-355.137966856183
0,8,70,962.954723417968,70,2715.6910562761,70,-2909.54846285237,70,-594.08671725795
0,8,75,705.706532631177,75,2653.57896281829,75,-2982.40378668639,75,-828.514109022016
0,8,80,443.087489013807,80,2571.27153117865,80,-3032.56121687906,80,-1056.63600814593
0,8,85,177.096282061502,85,2469.39517061053,85,-3059.63902510077,85,-1276.71626923358
0,8,90,-90.2427345309494,90,2348.7252217325,90,-3063.4311328809,90,-1487.07994861001
5,8,0,2983.03204568881,0,1478.57948822214,0,-62.8131733400653,0,2428.4086297012
5,8,5,2950.83253687727,5,1733.4180753486,5,-364.647130592387,5,2288.45823613432
5,8,10,2888.7837619164,10,1974.01695057984,10,-660.804946603766,10,2121.3252541231
5,8,15,2797.91189577191,15,2197.12334553497,15,-948.060106087249,15,1928.63609843554
5,8,20,2679.63916125594,20,2399.71086570732,20,-1223.38415969201,20,1712.46750643098
5,8,25,2535.74241184673,25,2579.04896189767,25,-1484.00204237002,25,1475.30753903046
5,8,30,2368.3032288447,30,2732.76440321605,30,-1727.43815566348,30,1220.00490032696
5,8,35,2179.65165824234,35,2858.89269821125,35,-1951.55186678805,35,949.708401192266
5,8,40,1972.30591477658,40,2955.91785715272,40,-2154.561576042,40,667.798762679347
5,8,45,1748.9104666803,45,3022.79940081096,45,-2335.05702655652,45,377.815210737616
5,8,50,1512.17488435802,50,3058.98606862297,50,-2492.00005028931,50,83.3794436454802
5,8,55,1264.8156949951,55,3064.41622974257,55,-2624.71443616837,55,-211.880445000335
5,8,60,1009.50324358121,60,3039.50552293686,60,-2732.86604739684,60,-504.403625975888
5,8,65,748.815234083211,65,2985.12271764697,65,-2816.43468534075,65,-790.765544788442
5,8,70,485.198231284887,70,2902.55517615309,70,-2875.67948135097,70,-1067.74036870704
5,8,75,220.937965558143,75,2793.4655898992,75,-2911.09978411984,75,-1332.35533767625
5,8,80,-41.8611773368269,80,2659.84185362937,80,-2923.39359253141,80,-1581.93590322475
5,8,85,-301.287557674917,85,2503.94202894793,85,-2913.41556141052,85,-1814.1409645751
5,8,90,-555.625083931949,90,2328.23634143329,90,-2882.13648428828,90,-2026.98791924372
10,8,0,2871.92724763119,0,1442.54361310363,0,-25.8419060813578,0,2482.63548393031
10,8,5,2825.41513425796,5,1748.95737662467,5,-361.984132732429,5,2345.10487687332
10,8,10,2741.24589974364,10,2039.74972415819,10,-688.712888167286,10,2169.2975872558
10,8,15,2621.45242005809,15,2309.57141040921,15,-1001.21826136212,15,1957.36786564888
10,8,20,2468.7734253695,20,2553.46756146013,20,-1295.15320108107,20,1712.34210732803
10,8,25,2286.54489096932,25,2767.03101909764,25,-1566.74781706185,25,1438.03217020975
10,8,30,2078.57259859488,30,2946.53399230964,30,-1812.8972372903,30,1138.91945489784
10,8,35,1848.99219826592,35,3089.03228968109,35,-2031.22012094057,35,820.015497103453
10,8,40,1602.12343937055,40,3192.4380108777,40,-2220.08642344147,40,486.7060062521
10,8,45,1342.32524450628,45,3255.55841988396,45,-2378.61450335912,45,144.586007828841
10,8,50,1073.85799123278,50,3278.10066855994,50,-2506.63908253555,50,-200.706042412941
10,8,55,800.758776895146,55,3260.64393795151,55,-2604.65286234951,55,-543.647617546855
10,8,60,526.734609430586,60,3204.58227234914,60,-2673.72571086333,60,-878.978199695072
10,8,65,255.077437812323,65,3112.04277125151,65,-2715.40622854765,65,-1201.8265436748
10,8,70,-11.3962408706445,70,2985.78478164103,70,-2731.6111445374,70,-1507.81509903932
10,8,75,-270.379731841141,75,2829.08624168562,75,-2724.50837102863,75,-1793.13923774775
10,8,80,-520.084295163302,80,2645.62335650489,80,-2696.3996403238,80,-2054.62061709236
10,8,85,-759.22223842495,85,2439.34937171019,85,-2649.6084667494,85,-2289.73555522433
10,8,90,-986.967307917819,90,2214.37742674096,90,-2586.37872328153,90,-2496.62058463328
15,8,0,2731.66457094844,0,1388.88552097532,0,15.6701537534951,0,2502.7136216557
15,8,5,2670.05156264148,5,1740.2175546079,5,-351.064466609324,5,2371.83297722062
15,8,10,2562.71972764098,10,2074.62892875749,10,-704.068236420902,10,2191.38610813761
15,8,15,2412.93380958555,15,2384.49348860773,15,-1036.78110969196,15,1964.09332514691
15,8,20,2225.00830585915,20,2662.79278344424,20,-1343.45240592018,20,1694.05275884909
15,8,25,2004.10933272521,25,2903.3780525099,25,-1619.31839126008,25,1386.58886347405
15,8,30,1756.02812916343,30,3101.1897105085,30,-1860.73021092705,30,1048.04620449667
15,8,35,1486.93807445435,35,3252.42279985905,35,-2065.22856031732,35,685.540489680977
15,8,40,1203.14714912045,40,3354.63056945279,40,-2231.56418896628,40,306.681503358721
15,8,45,910.857279584279,45,3406.76260823224,45,-2359.6658537218,45,-80.715777710348
15,8,50,615.941079076108,50,3409.13843124196,50,-2450.55959682564,50,-468.915234511655
15,8,55,323.745224954396,55,3363.36169087528,55,-2506.2451742158,55,-850.523091578235
15,8,60,38.9281688273415,60,3272.18389465446,60,-2529.53707080058,60,-1218.7172541854
15,8,65,-234.661885428479,65,3139.32934259315,65,-2523.87879053719,65,-1567.43208813377
15,8,70,-494.064734701871,70,2969.29473396584,70,-2493.13997846287,70,-1891.49213526208
15,8,75,-737.239718350601,75,2767.13742821968,75,-2441.40640088209,75,-2186.69250611182
15,8,80,-963.051229600928,80,2538.26568720065,80,-2372.77287008526,80,-2449.82786998983
15,8,85,-1171.21049362353,85,2288.24249465537,85,-2291.14885860848,85,-2678.67566696518
15,8,90,-1362.1779396363,90,2022.61195720648,90,-2200.08582844754,90,-2871.94204525935
20,8,0,2567.41717253239,0,1328.26815912451,0,55.6968737682061,0,2482.36566629343
20,8,5,2490.34967344704,5,1716.13233881118,5,-335.222367063654,5,2362.15543296242
20,8,10,2360.05614189746,10,2085.85240524388,10,-707.7534913961,10,2181.51654526463
20,8,15,2181.18189895575,15,2427.45028200432,15,-1053.62740126626,15,1943.72381656182
20,8,20,1959.75098570588,20,2731.80986101708,20,-1365.7873162704,20,1653.99848865521
20,8,25,1702.86165267135,25,2991.06972053262,25,-1638.62010728858,25,1319.27873727806
20,8,30,1418.3486957796,30,3198.94398696754,30,-1868.11076633727,30,947.902342449522
20,8,35,1114.43108677483,35,3350.95191398058,35,-2051.91779780777,35,549.221878523114
20,8,40,799.362064864549,40,3444.54411298542,40,-2189.37123087476,40,133.177639361769
20,8,45,481.096934929751,45,3479.12162973546,45,-2281.39813135792,45,-290.143603728234
20,8,50,166.991656253326,50,3455.95233225996,50,-2330.38297161616,50,-710.93528563767
20,8,55,-136.456827203444,55,3377.99653277254,55,-2339.97214653713,55,-1120.05618514717
20,8,60,-423.819586197833,60,3249.65975014827,60,-2314.83346150509,60,-1509.35105251965
20,8,65,-690.887101236623,65,3076.49459386299,65,-2260.38264779589,65,-1871.88976022609
