"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,842.887579673191,0,2153.31279371509,0,1872.03548019247,0,1713.88711361434
0,8,5,1002.83878068396,5,2294.4938928048,5,1791.44932694818,5,1519.6916798061
0,8,10,1155.15777304311,10,2418.21250791697,10,1697.22916261914,10,1313.93047469961
0,8,15,1298.68531724608,15,2523.52706568725,15,1590.09205954758,15,1098.16946530774
0,8,20,1432.32908201716,20,2609.63605874036,20,1470.85339577902,20,874.050723192024
0,8,25,1555.07195761015,25,2675.88414564511,25,1340.42064954302,25,643.279927306563
0,8,30,1665.9797966276,30,2721.76713845848,30,1199.78649279589,30,407.61338275126
0,8,35,1764.20852344661,35,2746.93583990025,35,1050.02123638768,35,168.844654229529
0,8,40,1849.01055814396,40,2751.19870095517,40,892.264684350408,40,-71.2090840620772
0,8,45,1919.74050603074,45,2734.52327867663,45,727.717459301082,45,-310.720878226752
0,8,50,1975.86006949561,50,2697.03648309706,50,557.63186497866,50,-547.867898889724
0,8,55,2016.9421447747,55,2639.02361136597,55,383.302355456423,55,-780.845314030464
0,8,60,2042.67407246908,60,2560.92617646635,60,206.055683564873,60,-1007.88002484414
0,8,65,2052.86001707164,65,2463.33854703433,65,27.2408035015707,65,-1227.24416009415
0,8,70,2047.42245739352,70,2347.00342385489,70,-151.781395524825,70,-1437.26822625557
0,8,75,2026.40277654716,75,2212.8061874605,75,-329.648446483165,75,-1636.35381336889
0,8,80,1989.96094699582,80,2061.76815985063,80,-505.006673716593,80,-1822.98575990504
0,8,85,1938.37431306657,85,1895.03883161465,85,-676.521495231673,85,-1995.7436840594
0,8,90,1872.03548019247,90,1713.88711361434,90,-842.887579673191,90,-2153.31279371509
5,8,0,775.044446608806,0,2211.76524229266,0,1827.05012201762,0,1721.62414286337
5,8,5,898.721712207323,5,2372.97297596251,5,1724.91634563174,5,1552.30546240384
5,8,10,1011.12757846189,10,2520.01831028703,10,1615.3194578357,10,1367.2676869865
5,8,15,1112.22792820688,15,2651.1997413436,15,1499.58050066343,15,1167.65359388256
5,8,20,1202.16038418173,20,2764.91769459062,20,1378.91774946255,20,954.816122209177
5,8,25,1281.20560835444,25,2859.70218625667,25,1254.42139479794,25,730.305702577956
5,8,30,1349.7543863216,30,2934.2378480217,30,1127.0344595504,30,495.854074980946
5,8,35,1408.27178584211,35,2987.38598509141,35,997.540725856202,35,253.355249934871
5,8,40,1457.25982425814,40,3018.20350189172,40,866.560180861432,40,4.8442562075337
5,8,45,1497.22017008059,45,3025.95867506246,45,734.552198071281,45,-247.525731570149
5,8,50,1528.61843540084,50,3010.14387162418,50,601.826363607405,50,-501.507373475406
5,8,55,1551.85158620768,55,2970.48539446576,55,468.560545473056,55,-754.783844987906
5,8,60,1567.21990729622,60,2906.95068335943,60,334.825500443379,60,-1004.99392582023
5,8,65,1574.90480924208,65,2819.7531059924,65,200.615028648748,65,-1249.75732200779
5,8,70,1574.95356056052,70,2709.35454141913,70,65.8804310859605,70,-1486.70015317096
5,8,75,1567.27177400075,75,2576.46589232543,75,-69.4321895565627,75,-1713.48062254184
5,8,80,1551.62417893,80,2422.04556990302,80,-205.343409595266,80,-1927.81494248686
5,8,85,1527.64388069365,85,2247.29588587376,85,-341.802478166509,85,-2127.50360555725
5,8,90,1494.84995332905,90,2053.65717220697,90,-478.651596335557,90,-2310.45806610056
10,8,0,718.924340105768,0,2258.98969714818,0,1781.04599518058,0,1689.30308111525
10,8,5,805.909098127196,5,2434.5612400778,5,1656.85555327104,5,1542.88474333808
10,8,10,877.169508492702,10,2597.60944314012,10,1530.63355421709,10,1377.1092660424
10,8,15,933.703052239751,15,2745.80290498735,15,1404.56595498713,15,1193.09653258255
10,8,20,976.850449993182,20,2876.98156603736,20,1280.54890157415,20,992.27404743168
10,8,25,1008.22886646338,25,2989.19484856506,25,1160.12825794446,25,776.340257667032
10,8,30,1029.65417445796,30,3080.73019925273,30,1044.45333032874,30,547.224489509176
10,8,35,1043.05534781192,35,3150.13218252349,35,934.246788441898,35,307.045816586116
10,8,40,1050.38434985058,40,3196.21282321493,40,829.792126327388,40,58.072988164056
10,8,45,1053.52503771057,45,3218.0543894216,45,730.939320976007,45,-197.31276898063
10,8,50,1054.20462462551,50,3215.00620840442,50,637.12866802826,50,-456.650689130474
10,8,55,1053.91115061804,55,3186.67739034198,55,547.432123590366,55,-717.428278467253
10,8,60,1053.82022729355,60,3132.92747242172,60,460.610871839575,60,-977.103705446521
10,8,65,1054.73406145671,65,3053.85697431555,65,375.187272251617,65,-1233.12307228192
10,8,70,1057.03543415676,70,2949.79967095372,70,289.528814188674,70,-1482.93344026753
10,8,75,1060.65891596646,75,2821.31804606725,75,201.941215426805,75,-1723.99298748983
10,8,80,1065.08112674823,80,2669.20290698471,80,110.767344888767,80,-1953.78007811693
10,8,85,1069.33128510069,85,2494.47754413039,85,14.4882377549101,85,-2169.80328209801
10,8,90,1072.02262624918,90,2298.40614328476,90,-88.1778753813913,90,-2369.61447245603
15,8,0,676.63133504778,0,2296.34174505355,0,1731.7204863789,0,1617.54248549673
15,8,5,727.209042234779,5,2480.17703526147,5,1586.8780856506,5,1492.26697259135
15,8,10,757.386808876249,10,2651.6689565879,10,1444.6719296027,10,1344.76800701184
15,8,15,769.130319079786,15,2808.00955946861,15,1308.27809671662,15,1176.41912462632
15,8,20,764.943305048965,20,2946.70370108465,20,1180.40181732624,20,988.962903047073
15,8,25,747.758021614962,25,3065.61038473506,25,1063.17740326106,25,784.437800122606
15,8,30,720.808752394427,30,3162.96497719652,30,958.092056714583,30,565.102994631624
15,8,35,687.493945240161,35,3237.38287343239,35,865.936344310349,35,333.365679546581
15,8,40,651.232700270486,40,3287.84627614042,40,786.7828029862,40,91.7150261690962
15,8,45,615.321112065322,45,3313.67682223875,45,719.992912043019,45,-157.333515471526
15,8,50,582.79349567008,50,3314.49770898609,50,664.251640189814,50,-411.280776559208
15,8,55,556.29294353579,55,3290.18964924253,55,617.628024101722,55,-667.671592386974
15,8,60,537.95511343742,60,3240.84534942623,60,577.659747374522,60,-924.107239924926
15,8,65,529.308745344427,65,3166.72722593916,65,541.459383329689,65,-1178.24342251506
15,8,70,531.196187503433,70,3068.23276384452,70,505.839710441907,70,-1427.77584858977
15,8,75,543.717135421529,75,2945.87130682915,75,467.455165763132,75,-1670.41652957535
15,8,80,566.198740016292,80,2800.25518859465,80,422.955964922789,80,-1903.86482281028
15,8,85,597.195076153924,85,2632.10700548433,85,369.150647595592,85,-2125.77794242739
15,8,90,634.51853949682,90,2442.28351205893,90,303.171840283681,90,-2333.74612394806
20,8,0,647.631708073366,0,2324.23995872716,0,1674.09235789434,0,1510.9798830141
20,8,5,662.326224732495,5,2510.40232926887,5,1511.71507265695,5,1405.28991812446
20,8,10,652.276571011414,10,2683.23425591108,10,1355.93313480483,10,1275.44118067485
20,8,15,620.400304529036,15,2839.60688593176,15,1210.90780910235,15,1123.20972111934
20,8,20,570.330940988179,20,2976.88505064605,20,1080.14632574766,20,950.773067249532
