level,case,active_pol,source,freq_ghz,theta_min_deg,theta_max_deg,co_pol_deg,cross_pol_deg,xpd_sample_count,xpd_min_db,xpd_p5_db,xpd_median_db,xpd_avg_db,xpd_max_db,xpd_target_db,xpd_margin_to_target_db,xpd_target_pass,xpd_worst_theta_deg,xpd_worst_phi_deg,candidate_index,candidate,source_group
source,A_ON_absorptive_50ohm_c0p08pf,A,P1L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-33.423713,-14.677053,1.518944,-0.170530,10.571379,25.000000,-58.423713,False,80.000000,195.000000,37,fold0p6_neck1p6_stub2p6,l
source,A_ON_absorptive_50ohm_c0p08pf,A,P2L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-25.700472,-10.198022,5.011224,4.967035,41.943907,25.000000,-50.700472,False,45.000000,235.000000,37,fold0p6_neck1p6_stub2p6,l
source,A_ON_absorptive_50ohm_c0p08pf,A,P3L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-31.383040,-14.682125,2.370015,1.589679,24.574755,25.000000,-56.383040,False,65.000000,155.000000,37,fold0p6_neck1p6_stub2p6,l
source,A_ON_absorptive_50ohm_c0p08pf,A,P4L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-19.035859,-7.580458,4.968428,4.760184,38.625499,25.000000,-44.035859,False,90.000000,5.000000,37,fold0p6_neck1p6_stub2p6,l
source,B_ON_absorptive_50ohm_c0p08pf,B,P1L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-33.423713,-14.677053,1.518944,-0.170530,10.571379,25.000000,-58.423713,False,80.000000,195.000000,37,fold0p6_neck1p6_stub2p6,l
source,B_ON_absorptive_50ohm_c0p08pf,B,P2L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-25.700472,-10.198022,5.011224,4.967035,41.943907,25.000000,-50.700472,False,45.000000,235.000000,37,fold0p6_neck1p6_stub2p6,l
source,B_ON_absorptive_50ohm_c0p08pf,B,P3L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-31.383040,-14.682125,2.370015,1.589679,24.574755,25.000000,-56.383040,False,65.000000,155.000000,37,fold0p6_neck1p6_stub2p6,l
source,B_ON_absorptive_50ohm_c0p08pf,B,P4L,8.000000,45.000000,90.000000,0.000000,90.000000,730,-19.035859,-7.580458,4.968428,4.760184,38.625499,25.000000,-44.035859,False,90.000000,5.000000,37,fold0p6_neck1p6_stub2p6,l
aggregate,ALL_CASES,A/B,ALL,8.000000,45.000000,90.000000,0.000000,90.000000,5840,-33.423713,-12.014464,3.050444,2.786592,41.943907,25.000000,-58.423713,False,80.000000,195.000000,37,fold0p6_neck1p6_stub2p6,l
aggregate,A_ON_absorptive_50ohm_c0p08pf,A,ALL,8.000000,45.000000,90.000000,0.000000,90.000000,2920,-33.423713,-12.014464,3.050444,2.786592,41.943907,25.000000,-58.423713,False,80.000000,195.000000,37,fold0p6_neck1p6_stub2p6,l
aggregate,B_ON_absorptive_50ohm_c0p08pf,B,ALL,8.000000,45.000000,90.000000,0.000000,90.000000,2920,-33.423713,-12.014464,3.050444,2.786592,41.943907,25.000000,-58.423713,False,80.000000,195.000000,37,fold0p6_neck1p6_stub2p6,l
