"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-126.626117336012,0,-562.719083471859,0,3056.04214574974,0,-1187.59658798796
0,8,5,140.207356350889,5,-664.083630180389,5,3055.44917604848,5,-1134.03322474719
0,8,10,405.973767396442,10,-760.394099478587,10,3031.60239318684,10,-1071.8391839181
0,8,15,668.650472938444,15,-850.917510541243,15,2984.68328558148,15,-1001.4877997052
0,8,20,926.23834463919,20,-934.964925550637,20,2915.0489359718,20,-923.51448862168
0,8,25,1176.77698325923,25,-1011.89669292933,25,2823.2293038047,25,-838.512674646452
0,8,30,1418.35963847929,30,-1081.12731547491,30,2709.92319192318,30,-747.129272909369
0,8,35,1649.14772042157,35,-1142.1299063472,35,2575.99292825477,35,-650.059766276456
0,8,40,1867.38479242881,40,-1194.4401989953,40,2422.45780297529,40,-548.042912305363
0,8,45,2071.40993860791,45,-1237.66008050633,45,2250.48631109514,45,-441.855120854266
0,8,50,2259.67040440268,50,-1271.46062148512,50,2061.38725950678,50,-332.304545134052
0,8,55,2430.73341399366,55,-1295.58457940549,55,1856.59980617391,55,-220.224931174397
0,8,60,2583.29707458717,60,-1309.84835638123,60,1637.68250727044,60,-106.469272513056
0,8,65,2716.20028460566,65,-1314.14339645685,65,1406.30145562692,65,8.09668160001364
0,8,70,2828.43157037173,70,-1308.43701178395,70,1164.21760075803,70,122.601015077196
0,8,75,2919.13678403359,75,-1292.77263139551,75,913.27334697357,75,236.172280801126
0,8,80,2987.62560414597,80,-1267.26947068469,80,655.378531569116,80,347.946132863437
0,8,85,3033.37678943314,85,-1232.12162410373,85,392.495889811043,85,457.071904759037
0,8,90,3056.04214574974,90,-1187.59658798797,90,126.626117336013,90,562.719083471859
5,8,0,-86.1432845798698,0,-146.089032295505,0,2879.8425899398,0,-1718.13837600139
5,8,5,179.905941377984,5,-297.127293551224,5,2966.99717109864,5,-1624.59579533688
5,8,10,460.814115527474,10,-436.376307453312,10,3029.0641673064,10,-1513.90169661621
5,8,15,753.786095911176,15,-561.539319432667,15,3062.87889457857,15,-1387.47248238101
5,8,20,1055.38221402472,20,-670.466675777318,20,3065.69538162334,20,-1247.1108125541
5,8,25,1361.60491022565,25,-761.239088628363,25,3035.32361347442,25,-1095.00383463518
5,8,30,1668.01462829609,30,-832.255335751437,30,2970.24485835788,30,-933.699157454869
5,8,35,1969.8689348528,35,-882.317723252332,35,2869.69878686665,35,-766.056761452178
5,8,40,2262.27748852187,40,-910.70820150717,40,2733.73781113391,40,-595.177155068036
5,8,45,2540.36463636633,45,-917.248265764509,45,2563.24606621548,45,-424.308259901324
5,8,50,2799.4311139382,50,-902.336675130842,50,2359.92258339578,50,-256.735520178409
5,8,55,3035.10658229162,55,-866.960501431825,55,2126.23031454992,55,-95.6613874216342
5,8,60,3243.48552038956,60,-812.676930451464,60,1865.31461073759,60,55.9185290005167
5,8,65,3421.24023579623,65,-741.565399753149,65,1580.89640488635,65,195.334833728437
5,8,70,3565.70635881074,70,-656.151867088285,70,1277.14659117095,70,320.351565386361
5,8,75,3674.9380195412,75,-559.30906013685,75,958.548859262899,75,429.25436076301
5,8,80,3747.73183443768,80,-454.138282654558,80,629.758495154451,80,520.913977176615
5,8,85,3783.62070688988,85,-343.839603650994,85,295.46440712006,85,594.821318460934
5,8,90,3782.84014334628,90,-231.577945815904,90,-39.7390803919788,90,651.092088458301
10,8,0,133.177790723953,0,372.074832725465,0,2561.47157038104,0,-2142.28436904208
10,8,5,387.967276617819,5,176.910602096688,5,2766.00746960275,5,-2051.2873196995
10,8,10,680.58143736062,10,-9.15071793985266,10,2943.66885391809,10,-1933.44190254062
10,8,15,1006.90394337005,15,-181.274703118076,15,3085.45657257131,15,-1788.17461854296
10,8,20,1360.8542708763,20,-334.126261619068,20,3183.30148323693,20,-1616.09098689106
10,8,25,1734.64603175363,25,-462.219275184027,25,3230.51507667879,25,-1419.18848594645
10,8,30,2119.14840572041,30,-560.327847113336,30,3222.16190911362,30,-1200.95301651727
10,8,35,2504.32722016289,35,-623.919564774159,35,3155.33015164224,35,-966.323135139513
10,8,40,2879.73680053062,40,-649.568287099606,40,3029.28387802659,40,-721.519906961441
10,8,45,3235.03048191429,45,-635.305605540973,45,2845.48918562238,45,-473.753885463462
10,8,50,3560.45686513316,50,-580.876001515484,50,2607.51518594827,50,-230.832954696485
10,8,55,3847.31054734064,55,-487.870079665092,55,2320.81959687087,55,-0.704311031601901
10,8,60,4088.30998912507,60,-359.721995443281,60,1992.43644464739,60,209.03018720183
10,8,65,4277.8810540577,65,-201.570016916763,65,1630.58965987569,65,391.584185069537
10,8,70,4412.33208623067,70,-19.9917121084902,70,1244.2606755787,70,541.403590171198
10,8,75,4489.91458364189,75,177.363726129215,75,842.740214751232,75,654.496883483352
10,8,80,4510.77192210523,80,382.215062567051,80,435.194172295861,80,728.654742508926
