"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,2338.58854587194,0,-668.117388398552,0,-1076.38590844175,0,102.212655770348
0,8,5,2235.87629708236,5,-656.666580093664,5,-1276.11135678697,5,160.053972984798
0,8,10,2116.14767961296,10,-640.218142608144,10,-1466.12482716994,10,216.677182821603
0,8,15,1980.3139005368,15,-618.89725848309,15,-1644.98020234778,15,271.651348463876
0,8,20,1829.40873693133,20,-592.8661925206,20,-1811.31628491954,20,324.558083316769
0,8,25,1664.58066821062,25,-562.323056850631,25,-1963.86715686039,25,374.994735182094
0,8,30,1487.08413550354,30,-527.500303178085,30,-2101.47181392212,30,422.577450684671
0,8,35,1298.26999459932,35,-488.662953684963,35,-2223.08300157653,35,466.944096628296
0,8,40,1099.57523511935,40,-446.106584051539,40,-2327.77518525472,40,507.757016048026
0,8,45,892.512044158435,45,-400.155073946962,45,-2414.75159422404,45,544.705597983562
0,8,50,678.65629762797,50,-351.158142109409,50,-2483.35028549444,50,577.508641416209
0,8,55,459.635566888679,55,-299.488684775321,55,-2533.04918160433,55,605.916495378427
0,8,60,237.116731949823,60,-245.53993771388,60,-2563.47004394529,60,629.712958948434
0,8,65,12.7932955058322,65,-189.722483465368,65,-2574.38135138629,65,648.716926669761
0,8,70,-211.627505641762,70,-132.461126560117,70,-2565.70006228929,70,662.783766873143
0,8,75,-434.437693687241,75,-74.1916604995296,75,-2537.49224650621,75,671.806422410838
0,8,80,-653.941548563106,80,-15.3575511043906,80,-2489.97258254751,80,675.716225426179
0,8,85,-868.468513393706,85,43.5934385277961,85,-2423.50272374907,85,674.483419957415
0,8,90,-1076.38590844175,90,102.212655770348,90,-2338.58854587194,90,668.11738839855
5,8,0,3100.36916732544,0,235.438215875167,0,-1149.5576882835,0,200.285225442632
5,8,5,2965.05734964811,5,314.070454078087,5,-1410.82401566902,5,200.50807066396
5,8,10,2801.95225905678,10,385.883439661298,10,-1656.56555745123,10,186.822797326206
5,8,15,2613.61315914505,15,448.467731177848,15,-1883.62107087178,15,161.245634736448
5,8,20,2402.96082774077,20,499.924898851455,20,-2089.29982770221,20,126.228816777224
5,8,25,2173.17712900684,25,538.941888558417,25,-2271.41447540336,25,84.5389685398573
5,8,30,1927.6055328885,30,564.835607259085,30,-2428.29210880066,30,39.1242094456769
5,8,35,1669.65727898011,35,577.566881235055,35,-2558.76541705921,35,-7.02284270728459
5,8,40,1402.7270974661,40,577.724653030396,40,-2662.14672880818,40,-50.9993052054324
5,8,45,1130.12143979391,45,566.482758047525,45,-2738.18848002105,45,-90.1173416291909
5,8,50,855.001112096817,50,545.532785800321,50,-2787.03405040874,50,-122.015367663487
5,8,55,580.339121148024,55,516.997350548301,55,-2809.16305107273,55,-144.751108166315
5,8,60,308.893506502131,60,483.328574053264,60,-2805.33501440125,60,-156.873658448591
5,8,65,43.1940043990563,65,447.196752221936,65,-2776.53506791468,65,-157.472864023687
5,8,70,-214.459382965248,70,411.374091720699,70,-2723.92460997443,70,-146.205390445836
5,8,75,-461.988421401585,75,378.61812825917,75,-2648.79929723921,75,-123.297765644307
5,8,80,-697.522163756931,80,351.559042783838,80,-2552.5558546902,80,-89.5274252778631
5,8,85,-919.378994109095,85,332.594635586808,85,-2436.66838141095,85,-46.1833844424953
5,8,90,-1126.04818566095,90,323.796247209871,90,-2302.67399815726,90,4.991378331644
10,8,0,3763.78320123872,0,1166.25071533132,0,-1328.52895875645,0,391.392808060012
10,8,5,3541.55223475565,5,1329.54106375661,5,-1638.27348719356,5,319.761865127164
10,8,10,3283.03269369359,10,1467.56609747471,10,-1918.97292996773,10,215.736476197531
