freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,2.287342,2.287342,-2.300618,-1.926285,True
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,22.925571,22.925571,-2.200550,-1.737388,True
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,42.055293,42.055293,-1.975029,-1.408918,True
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,58.770704,58.770704,-1.736944,-1.004647,True
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,72.885279,72.885279,-1.586196,-0.604002,True
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,84.650516,84.650516,-1.586493,-0.274714,True
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,94.477722,94.477722,-1.766874,-0.063871,True
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,102.786408,102.786408,-2.130856,0.000000,True
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,109.951397,109.951397,-2.664866,-0.097933,True
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,116.296859,116.296859,-3.344371,-0.363033,True
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,122.105542,122.105542,-4.138179,-0.794330,True
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,127.629786,127.629786,-5.011564,-1.386932,True
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,133.100283,133.100283,-5.928741,-2.133995,True
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,138.733275,138.733275,-6.855180,-3.028291,True
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,144.740610,144.740610,-7.760294,-4.063135,True
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,151.350370,151.350370,-8.620747,-5.231878,True
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,158.845362,158.845362,-9.424005,-6.524181,True
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,167.615608,167.615608,-10.171261,-7.915068,True
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,178.179986,178.179986,-10.878755,-9.339613,True
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,-168.979087,191.020913,-11.577230,-10.648773,True
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,-154.060775,205.939225,-12.309851,-11.580603,True
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,-138.912725,221.087275,-13.128471,-11.867282,True
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,-126.777027,233.222973,-14.084906,-11.487589,True
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,-120.503481,239.496519,-15.203443,-10.704195,True
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,-121.938926,238.061074,-16.393633,-9.818763,True
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,-132.086864,227.913136,-17.251842,-9.024823,True
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,-148.500982,211.499018,-17.046618,-8.422423,True
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,-164.059862,195.940138,-15.610966,-8.066996,True
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,-174.473694,185.526306,-13.681774,-8.002547,True
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,179.648906,179.648906,-11.895591,-8.280828,True
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,176.763565,176.763565,-10.507362,-8.975956,True
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,175.973194,175.973194,-9.600804,-10.204308,True
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,177.192363,177.192363,-9.220525,-12.166308,True
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,-178.318646,181.681354,-9.425146,-15.253712,True
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,-163.914118,196.085882,-10.322159,-20.297479,True
7.738000,45.000000,175.000000,0.000000,x_only_a_port,E1-E3,-105.270791,254.729209,-12.126891,-25.469798,True
7.738000,45.000000,180.000000,0.000000,x_only_a_port,E1-E3,-56.848216,303.151784,-15.325864,-20.262148,True
7.738000,45.000000,185.000000,0.000000,x_only_a_port,E1-E3,-60.847853,299.152147,-21.161790,-16.202270,True
7.738000,45.000000,190.000000,0.000000,x_only_a_port,E1-E3,-136.478032,223.521968,-24.700925,-14.047187,True
7.738000,45.000000,195.000000,0.000000,x_only_a_port,E1-E3,-171.630380,188.369620,-17.536171,-13.062561,True
7.738000,45.000000,200.000000,0.000000,x_only_a_port,E1-E3,-177.145512,182.854488,-13.408727,-12.920918,True
7.738000,45.000000,205.000000,0.000000,x_only_a_port,E1-E3,-177.374731,182.625269,-11.013382,-13.464036,True
7.738000,45.000000,210.000000,0.000000,x_only_a_port,E1-E3,-175.696079,184.303921,-9.584181,-14.607355,True
7.738000,45.000000,215.000000,0.000000,x_only_a_port,E1-E3,-173.016700,186.983300,-8.789913,-16.304725,True
7.738000,45.000000,220.000000,0.000000,x_only_a_port,E1-E3,-169.939924,190.060076,-8.459849,-18.537332,True
7.738000,45.000000,225.000000,0.000000,x_only_a_port,E1-E3,-167.502001,192.497999,-8.495813,-21.311609,True
7.738000,45.000000,230.000000,0.000000,x_only_a_port,E1-E3,-168.173075,191.826925,-8.838029,-24.624613,True
7.738000,45.000000,235.000000,0.000000,x_only_a_port,E1-E3,-177.721691,182.278309,-9.447794,-28.117124,True
7.738000,45.000000,240.000000,0.000000,x_only_a_port,E1-E3,159.660299,159.660299,-10.293308,-29.716227,True
7.738000,45.000000,245.000000,0.000000,x_only_a_port,E1-E3,143.382525,143.382525,-11.328897,-27.809382,True
7.738000,45.000000,250.000000,0.000000,x_only_a_port,E1-E3,144.377233,144.377233,-12.454123,-24.921455,True
7.738000,45.000000,255.000000,0.000000,x_only_a_port,E1-E3,156.305314,156.305314,-13.442810,-22.289199,True
7.738000,45.000000,260.000000,0.000000,x_only_a_port,E1-E3,174.383376,174.383376,-13.907150,-19.985956,True
7.738000,45.000000,265.000000,0.000000,x_only_a_port,E1-E3,-165.767127,194.232873,-13.514976,-17.932150,True
7.738000,45.000000,270.000000,0.000000,x_only_a_port,E1-E3,-148.339559,211.660441,-12.354055,-16.061480,True
7.738000,45.000000,275.000000,0.000000,x_only_a_port,E1-E3,-135.097539,224.902461,-10.808316,-14.329684,True
7.738000,45.000000,280.000000,0.000000,x_only_a_port,E1-E3,-125.659043,234.340957,-9.187398,-12.708639,True
7.738000,45.000000,285.000000,0.000000,x_only_a_port,E1-E3,-119.027674,240.972326,-7.640830,-11.181976,True
7.738000,45.000000,290.000000,0.000000,x_only_a_port,E1-E3,-114.303218,245.696782,-6.225544,-9.742378,True
7.738000,45.000000,295.000000,0.000000,x_only_a_port,E1-E3,-110.793127,249.206873,-4.961549,-8.389636,True
7.738000,45.000000,300.000000,0.000000,x_only_a_port,E1-E3,-107.967167,252.032833,-3.857021,-7.129036,True
7.738000,45.000000,305.000000,0.000000,x_only_a_port,E1-E3,-105.402423,254.597577,-2.917216,-5.969983,True
7.738000,45.000000,310.000000,0.000000,x_only_a_port,E1-E3,-102.742579,257.257421,-2.146912,-4.924888,True
7.738000,45.000000,315.000000,0.000000,x_only_a_port,E1-E3,-99.668032,260.331968,-1.550623,-4.008208,True
7.738000,45.000000,320.000000,0.000000,x_only_a_port,E1-E3,-95.870870,264.129130,-1.132141,-3.235361,True
7.738000,45.000000,325.000000,0.000000,x_only_a_port,E1-E3,-91.030564,268.969436,-0.893655,-2.621028,True
7.738000,45.000000,330.000000,0.000000,x_only_a_port,E1-E3,-84.789051,275.210949,-0.833878,-2.176310,True
7.738000,45.000000,335.000000,0.000000,x_only_a_port,E1-E3,-76.730069,283.269931,-0.944081,-1.904256,True
7.738000,45.000000,340.000000,0.000000,x_only_a_port,E1-E3,-66.381059,293.618941,-1.200784,-1.793530,True
7.738000,45.000000,345.000000,0.000000,x_only_a_port,E1-E3,-53.279236,306.720764,-1.555250,-1.810870,True
7.738000,45.000000,350.000000,0.000000,x_only_a_port,E1-E3,-37.161905,322.838095,-1.925169,-1.895432,True
7.738000,45.000000,355.000000,0.000000,x_only_a_port,E1-E3,-18.290634,341.709366,-2.203541,-1.962548,True
7.738000,45.000000,360.000000,0.000000,x_only_a_port,E1-E3,2.287342,362.287342,-2.300618,-1.926285,True
7.738000,45.000000,0.000000,45.000000,x_only_a_port,E1-E3,11.447309,11.447309,-16.440376,-12.115321,True
7.738000,45.000000,5.000000,45.000000,x_only_a_port,E1-E3,42.327927,42.327927,-14.064414,-11.333445,True
7.738000,45.000000,10.000000,45.000000,x_only_a_port,E1-E3,66.341490,66.341490,-12.572964,-9.766507,True
7.738000,45.000000,15.000000,45.000000,x_only_a_port,E1-E3,82.827241,82.827241,-11.796803,-7.711875,True
7.738000,45.000000,20.000000,45.000000,x_only_a_port,E1-E3,92.746104,92.746104,-11.557320,-5.684698,True
7.738000,45.000000,25.000000,45.000000,x_only_a_port,E1-E3,98.186141,98.186141,-11.722729,-3.939190,True
7.738000,45.000000,30.000000,45.000000,x_only_a_port,E1-E3,100.922705,100.922705,-12.193842,-2.536069,True
7.738000,45.000000,35.000000,45.000000,x_only_a_port,E1-E3,102.264101,102.264101,-12.887721,-1.466387,True
7.738000,45.000000,40.000000,45.000000,x_only_a_port,E1-E3,103.250003,103.250003,-13.721916,-0.704592,True
7.738000,45.000000,45.000000,45.000000,x_only_a_port,E1-E3,104.796983,104.796983,-14.598973,-0.224010,True
7.738000,45.000000,50.000000,45.000000,x_only_a_port,E1-E3,107.686876,107.686876,-15.392937,0.000000,True
7.738000,45.000000,55.000000,45.000000,x_only_a_port,E1-E3,112.341581,112.341581,-15.948194,-0.010403,True
7.738000,45.000000,60.000000,45.000000,x_only_a_port,E1-E3,118.480784,118.480784,-16.116462,-0.236114,True
7.738000,45.000000,65.000000,45.000000,x_only_a_port,E1-E3,125.083015,125.083015,-15.838096,-0.662282,True
7.738000,45.000000,70.000000,45.000000,x_only_a_port,E1-E3,130.953796,130.953796,-15.191855,-1.280098,True
7.738000,45.000000,75.000000,45.000000,x_only_a_port,E1-E3,135.364675,135.364675,-14.341592,-2.089208,True
7.738000,45.000000,80.000000,45.000000,x_only_a_port,E1-E3,138.132275,138.132275,-13.445076,-3.101133,True
7.738000,45.000000,85.000000,45.000000,x_only_a_port,E1-E3,139.323688,139.323688,-12.611105,-4.344730,True
7.738000,45.000000,90.000000,45.000000,x_only_a_port,E1-E3,138.979647,138.979647,-11.902855,-5.875981,True
7.738000,45.000000,95.000000,45.000000,x_only_a_port,E1-E3,136.930324,136.930324,-11.354499,-7.797802,True
7.738000,45.000000,100.000000,45.000000,x_only_a_port,E1-E3,132.556313,132.556313,-10.984220,-10.305904,True
