freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,x_only_a_port,E1-E3,100.000000,360.000000,2.287342,362.287342,76.388889,-29.716227,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E3,100.000000,305.415057,11.447309,11.447309,52.777778,-30.369364,76.544933,58.768743,173.921980
7.738000,45.000000,90.000000,x_only_a_port,E1-E3,100.000000,392.254167,6.721566,366.721566,76.388889,-28.322152,90.619203,68.777879,178.725691
7.738000,45.000000,135.000000,x_only_a_port,E1-E3,97.260274,360.000000,4.419936,364.419936,85.714286,-38.024170,34.517140,24.991977,121.707074
7.738000,45.000000,0.000000,x_only_a_port,E2-E4,100.000000,682.058843,9.783039,-350.216961,54.166667,-30.868931,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E4,100.000000,223.909398,-50.574192,-50.574192,58.333333,-13.371747,121.596397,110.520352,179.464048
7.738000,45.000000,90.000000,x_only_a_port,E2-E4,100.000000,206.142824,-2.092078,-2.092078,50.000000,-20.041633,75.813847,61.975258,163.813684
7.738000,45.000000,135.000000,x_only_a_port,E2-E4,100.000000,618.370620,4.084615,-355.915385,58.333333,-34.439741,60.947218,45.304193,169.882433
7.738000,45.000000,0.000000,x_only_a_port,E1-E2,100.000000,414.642079,12.292265,372.292265,62.500000,-31.695219,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E2,100.000000,241.469361,22.323666,22.323666,59.722222,-23.012140,96.360188,81.226722,177.485118
7.738000,45.000000,90.000000,x_only_a_port,E1-E2,100.000000,202.250755,21.132124,21.132124,54.166667,-27.332581,62.849516,49.151540,160.266071
7.738000,45.000000,135.000000,x_only_a_port,E1-E2,100.000000,257.729961,16.577665,16.577665,70.833333,-29.637692,47.869254,28.781270,173.424871
7.738000,45.000000,0.000000,x_only_a_port,E2-E3,100.000000,355.644285,-10.004923,-10.004923,58.333333,-32.529096,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E3,100.000000,356.269208,-10.876357,-10.876357,56.944444,-30.369364,75.479708,57.011405,165.224727
7.738000,45.000000,90.000000,x_only_a_port,E2-E3,100.000000,360.000000,-14.410558,345.589442,66.666667,-29.014368,53.139637,33.795415,178.884980
7.738000,45.000000,135.000000,x_only_a_port,E2-E3,97.260274,466.887626,-12.157728,347.842272,67.142857,-38.134999,39.894289,21.891768,150.218315
7.738000,45.000000,0.000000,x_only_a_port,E3-E4,100.000000,527.488690,19.787962,-340.212038,59.722222,-31.884979,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E3-E4,100.000000,288.552530,-39.697835,-39.697835,58.333333,-30.369364,119.394552,104.872969,179.778440
7.738000,45.000000,90.000000,x_only_a_port,E3-E4,100.000000,360.000000,12.318480,-347.681520,79.166667,-29.499896,74.540787,59.858398,169.144813
7.738000,45.000000,135.000000,x_only_a_port,E3-E4,97.260274,789.000822,16.242343,-703.757657,84.285714,-38.178477,47.551459,35.087901,171.135558
7.738000,45.000000,0.000000,x_only_a_port,E4-E1,100.000000,492.307684,-22.075304,-22.075304,63.888889,-31.051101,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E4-E1,100.000000,243.385551,28.250526,28.250526,65.277778,-23.012140,94.581548,81.442273,179.702657
7.738000,45.000000,90.000000,x_only_a_port,E4-E1,100.000000,340.674050,-19.040046,-19.040046,54.166667,-27.818109,77.026488,56.199849,176.492254
7.738000,45.000000,135.000000,x_only_a_port,E4-E1,100.000000,672.747317,-20.662280,339.337720,51.388889,-34.439741,47.886694,29.946136,169.564246
7.738000,60.000000,0.000000,x_only_a_port,E1-E3,100.000000,360.000000,0.879758,360.879758,69.444444,-25.424650,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E1-E3,100.000000,347.331370,13.048929,13.048929,52.777778,-27.886122,64.900436,52.820356,165.872801
