valid_count,total_count,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,freq_ghz,phi_deg,linear_pol_deg,strategy,strategy_note,baseline
73,73,100.0,360.0,-2.782219635059988,357.21778036494004,75.0,-28.675502129919753,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,607.8229349935414,16.354430981704553,-343.6455690182953,59.72222222222222,-32.202550882410044,74.94529802281453,56.93771332748253,176.97159369466078,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,403.5648918011549,7.016771721620501,367.01677172162056,75.0,-29.67450952675363,90.57629903595843,68.11198551410985,174.89118619504114,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
71,73,97.26027397260275,360.0,1.8436661711263298,361.8436661711263,80.0,-57.26275390715945,33.99401100450967,24.882992385466586,141.77860226626984,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,321.54275230636205,8.1703835486245,8.170383548624528,52.77777777777778,-33.169605212495256,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,242.4852059654869,-43.85198806452968,-43.851988064529735,61.111111111111114,-12.73422135038131,119.54504820904198,106.75683520452657,178.88856431589215,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,205.69735800511506,-2.195990201162857,-2.1959902011628287,50.0,-18.777613787887045,74.19474979457465,59.97034663153091,152.40605926273534,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
72,73,98.63013698630137,616.892591513709,3.3261673557682343,-356.67383264423177,60.563380281690144,-40.02542001787239,59.79356115249742,43.72593536481173,173.06224211271706,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,329.69858336922175,11.523588015827102,11.523588015827102,51.388888888888886,-34.10733475974045,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,603.9692475006082,25.023794502543694,-334.9762054974562,62.5,-21.37773195213299,92.80166073577638,76.9929214271216,179.003929064536,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,203.15181448884346,22.179303629550304,22.179303629550304,54.166666666666664,-25.717637846863248,54.415774866643495,43.373411609577936,137.83672957819243,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,254.21083857986378,16.697042033893865,16.697042033893837,70.83333333333333,-28.112738994408858,46.794386357351755,27.91374588436584,177.18079246427186,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,531.5190268084085,-14.30580765088709,345.6941923491129,66.66666666666667,-34.74462583113781,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,374.9362803078456,-8.669363520839141,-8.669363520839113,55.55555555555556,-32.202550882410044,79.88413239980919,62.536600337837825,174.82456321271354,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
