index,candidate,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,feed_offset_u_mm,feed_offset_a_mm,feed_offset_b_mm,feed_pad_radius_mm,port_width_mm,weak_coupling_open_line_enabled,weak_coupling_open_line_length_mm,weak_coupling_open_line_gap_mm,via_fence_enabled,via_fence_count,via_fence_radius_mm,via_fence_edge_offset_mm,score
1,dualpol_baseline,109.2,双极化 XY 初版，作为本轮幅相/隔离优化基线。,-8.590707593461804,12.491353986471163,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-9.240089078316288,-8.590707593461804,0.6493814848544837,12.491353986471163,16.179824627867617,3.4,,,0.32,0.5,0.0,,,0.0,,,,46.03395736533616
2,feed3p30,108.8,整体内移 X/Y 馈点，观察 Y 路匹配和同阵元隔离变化。,-8.655736012834588,13.113961908337796,"dB(S(P1A:1,P1A:1))","dB(S(P1B:1,P1A:1))",-8.655736012834588,-9.434174269114463,0.7784382562798751,13.113961908337796,16.109113975754394,3.3,,,0.32,0.5,0.0,,,0.0,,,,40.398809527394555
3,feed3p50,95.7,整体外移 X/Y 馈点，尝试改善 Y 路回波并保持同阵元隔离。,-8.439208302369645,12.449431004289181,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-8.825918648497318,-8.439208302369645,0.3867103461276731,12.449431004289181,16.424997000812024,3.5,,,0.32,0.5,0.0,,,0.0,,,,48.49880252303295
4,feed3p60,89.8,继续外移馈点，验证较强边缘耦合下的匹配上限。,-8.190468956366205,12.026102839399513,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-8.618853587493131,-8.190468956366205,0.42838463112692615,12.026102839399513,16.49372133733777,3.6,,,0.32,0.5,0.0,,,0.0,,,,56.36273607021221
5,pad0p30_port0p50_feed3p40,90.9,减小焊盘半径，降低 A/B 近场耦合。,-8.86176505565897,12.232881780591853,"dB(S(P4B:1,P4B:1))","dB(S(P2A:1,P2B:1))",-9.26170472615426,-8.86176505565897,0.39993967049528933,12.232881780591853,16.332182624510455,3.4,,,0.3,0.5,0.0,,,0.0,,,,42.6251747534037
6,pad0p28_port0p50_feed3p40,105.4,进一步减小焊盘半径，测试隔离收益与匹配损失。,-8.868228342452191,12.76031072694651,"dB(S(P1B:1,P1B:1))","dB(S(P1B:1,P1A:1))",-9.015843315258431,-8.868228342452191,0.14761497280623992,12.76031072694651,16.32431548022406,3.4,,,0.28,0.5,0.0,,,0.0,,,,38.28940402028847
7,port0p55_feed3p40,91.6,加宽端口片改善 Y 路回波，同时观察 X/Y 回波平衡。,-8.492817016278552,12.850606150212666,"dB(S(P1B:1,P1B:1))","dB(S(P3A:1,P3B:1))",-9.011259869137538,-8.492817016278552,0.5184428528589855,12.850606150212666,16.59401493725859,3.4,,,0.32,0.55,0.0,,,0.0,,,,44.39821591672067
8,port0p60_feed3p40,96.9,进一步加宽端口片，追求 Y 路匹配改善。,-8.462593941012292,12.683891373768816,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-9.195488878256198,-8.462593941012292,0.7328949372439055,12.683891373768816,16.512243089890575,3.4,,,0.32,0.6,0.0,,,0.0,,,,47.13375782060383
9,asym_a3p40_b3p50,99.0,仅外移 B/Y 馈点，用几何不对称补偿 Y 路回波偏弱。,-8.722940011829397,12.435294043167438,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-9.33195195873774,-8.722940011829397,0.6090119469083426,12.435294043167438,16.237591124584224,3.4,3.4,3.5,0.32,0.5,0.0,,,0.0,,,,43.94077522936471
10,asym_a3p35_b3p50,96.8,A 路略内移、B 路外移，直接优化 X/Y 回波均衡。,-8.581575527019796,12.880143535012095,"dB(S(P1B:1,P1B:1))","dB(S(P4B:1,P4A:1))",-9.273417733711787,-8.581575527019796,0.6918422066919909,12.880143535012095,16.34037344099176,3.4,3.35,3.5,0.32,0.5,0.0,,,0.0,,,,43.25786106031488
11,openline_l2p40,90.8,加入悬浮弱耦合开路线，尝试提升同阵元 X/Y 隔离。,-9.173148853412876,12.338501092003774,"dB(S(P2B:1,P2B:1))","dB(S(P1A:1,P1B:1))",-9.275879187545305,-9.173148853412876,0.10273033413242949,12.338501092003774,16.38127070154592,3.4,,,0.32,0.5,1.0,2.4,0.1,0.0,,,,36.17531190253804
12,openline_l2p80,93.5,加长弱耦合开路线，增强 A/B 反向耦合调节能力。,-9.053105632981195,12.67819420616895,"dB(S(P1B:1,P1B:1))","dB(S(P2A:1,P2B:1))",-9.36693101310838,-9.053105632981195,0.3138253801271844,12.67819420616895,16.315572658275965,3.4,,,0.32,0.5,1.0,2.8,0.1,0.0,,,,35.618544956986895
