source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,min_theta_deg,min_phi_deg,max_theta_deg,max_phi_deg,meets_min_gain_ge_minus5
P1_only,7.738000,-2.804917,2.763943,5.568859,355.000000,45.000000,310.000000,70.000000,True
P2_only,7.738000,-6.745535,2.878875,9.624411,240.000000,90.000000,300.000000,45.000000,False
P3_only,7.738000,-2.868652,2.700041,5.568693,10.000000,45.000000,60.000000,50.000000,True
P4_only,7.738000,-6.864468,2.632346,9.496814,120.000000,90.000000,60.000000,45.000000,False
equal_phase_all_ports,7.738000,-27.563253,2.490228,30.053481,0.000000,45.000000,315.000000,90.000000,False
coverage_envelope_best_port,7.738000,-2.067366,2.878875,4.946242,0.000000,55.000000,300.000000,45.000000,True
P1_only,7.985500,-2.921541,3.057064,5.978605,355.000000,45.000000,305.000000,60.000000,True
P2_only,7.985500,-6.926897,3.317127,10.244024,235.000000,90.000000,300.000000,45.000000,False
P3_only,7.985500,-2.988069,3.100951,6.089021,5.000000,45.000000,60.000000,45.000000,True
P4_only,7.985500,-7.018433,3.045351,10.063784,125.000000,90.000000,60.000000,45.000000,False
equal_phase_all_ports,7.985500,-27.052403,2.794406,29.846809,360.000000,50.000000,315.000000,90.000000,False
coverage_envelope_best_port,7.985500,-2.215566,3.317127,5.532692,360.000000,65.000000,300.000000,45.000000,True
P1_only,8.233000,-2.979221,3.328265,6.307485,355.000000,45.000000,300.000000,45.000000,True
P2_only,8.233000,-7.484255,3.674709,11.158964,235.000000,90.000000,300.000000,45.000000,False
P3_only,8.233000,-3.051859,3.443959,6.495818,5.000000,45.000000,55.000000,45.000000,True
P4_only,8.233000,-7.644094,3.381716,11.025810,130.000000,90.000000,55.000000,45.000000,False
equal_phase_all_ports,8.233000,-26.501993,3.095862,29.597855,0.000000,55.000000,315.000000,90.000000,False
coverage_envelope_best_port,8.233000,-2.311708,3.674709,5.986417,360.000000,80.000000,300.000000,45.000000,True
