freq_ghz,phi_deg,theta_deg,linear_pol_deg,amp_b,phase_b_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,177.869177,177.869177,-1.646884,-1.718010,True
7.738000,45.000000,5.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-161.664952,198.335048,-1.496402,-1.798116,True
7.738000,45.000000,10.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-142.545871,217.454129,-1.186460,-1.762518,True
7.738000,45.000000,15.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-125.862735,234.137265,-0.791505,-1.677452,True
7.738000,45.000000,20.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-111.981499,248.018501,-0.411545,-1.614032,True
7.738000,45.000000,25.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-100.701731,259.298269,-0.130495,-1.627630,True
7.738000,45.000000,30.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-91.550327,268.449673,0.000000,-1.754568,True
7.738000,45.000000,35.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-83.997976,276.002024,-0.042833,-2.016324,True
7.738000,45.000000,40.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-77.562765,282.437235,-0.262515,-2.423266,True
7.738000,45.000000,45.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-71.838205,288.161795,-0.651887,-2.975519,True
7.738000,45.000000,50.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-66.484715,293.515285,-1.198746,-3.661709,True
7.738000,45.000000,55.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-61.211367,298.788633,-1.888911,-4.457109,True
7.738000,45.000000,60.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-55.765718,304.234282,-2.707690,-5.322339,True
7.738000,45.000000,65.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-49.943929,310.056071,-3.640689,-6.203534,True
7.738000,45.000000,70.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-43.627064,316.372936,-4.674628,-7.035272,True
7.738000,45.000000,75.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-36.837141,323.162859,-5.798478,-7.748165,True
7.738000,45.000000,80.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-29.786360,330.213640,-7.004880,-8.282226,True
7.738000,45.000000,85.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-22.880846,337.119154,-8.291390,-8.603087,True
7.738000,45.000000,90.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-16.665905,343.334095,-9.660552,-8.712988,True
7.738000,45.000000,95.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-11.758705,348.241295,-11.116683,-8.649300,True
7.738000,45.000000,100.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-8.839820,351.160180,-12.654701,-8.472185,True
7.738000,45.000000,105.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-8.711029,351.288971,-14.230730,-8.249999,True
7.738000,45.000000,110.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-12.245937,347.754063,-15.699049,-8.049249,True
7.738000,45.000000,115.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-19.725300,340.274700,-16.736663,-7.930131,True
7.738000,45.000000,120.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-29.339777,330.660223,-16.941066,-7.945401,True
7.738000,45.000000,125.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-37.285063,322.714937,-16.236816,-8.140432,True
7.738000,45.000000,130.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-40.926685,319.073315,-14.987739,-8.553378,True
7.738000,45.000000,135.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-40.019402,319.980598,-13.601510,-9.215329,True
7.738000,45.000000,140.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-35.190404,324.809596,-12.322814,-10.150572,True
7.738000,45.000000,145.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-26.809760,333.190240,-11.278993,-11.376813,True
7.738000,45.000000,150.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-14.667610,345.332390,-10.545058,-12.903510,True
7.738000,45.000000,155.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,2.140274,362.140274,-10.173542,-14.719193,True
7.738000,45.000000,160.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,25.431573,385.431573,-10.205561,-16.728563,True
7.738000,45.000000,165.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,57.813414,417.813414,-10.677528,-18.524080,True
7.738000,45.000000,170.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,99.099226,459.099226,-11.629972,-19.095141,True
