source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,axial_ratio_min_db,axial_ratio_max_db,cp_coverage_percent,gain_min_theta_deg,gain_min_phi_deg,ar_max_theta_deg,ar_max_phi_deg,meets_gain,meets_cp
P1_only,7.738000,-12.651843,6.383229,19.035072,1.055830,2414.456847,29.726,190.000000,45.000000,60.000000,45.000000,False,False
P2_only,7.738000,-22.173967,7.144246,29.318213,1.158757,7873.184962,10.685,190.000000,75.000000,155.000000,90.000000,False,False
P3_only,7.738000,-13.626900,6.229842,19.856742,1.267013,817.384518,18.219,235.000000,60.000000,330.000000,45.000000,False,False
P4_only,7.738000,-20.458966,7.173473,27.632439,1.157254,6326.842750,9.589,170.000000,90.000000,100.000000,50.000000,False,False
sequential_quadrature_all_ports,7.738000,-17.892087,6.668336,24.560423,1.044953,484.880784,64.932,220.000000,80.000000,60.000000,50.000000,False,False
coverage_envelope_best_port,7.738000,-7.992349,7.173473,15.165822,1.602338,7873.184962,13.151,180.000000,50.000000,155.000000,90.000000,False,False
cp_qualified_envelope,7.738000,-20.458966,6.861647,27.320613,1.055830,14.538237,48.082,170.000000,90.000000,200.000000,70.000000,False,False
P1_only,7.985500,-11.450416,7.373066,18.823482,1.004535,15126.795278,20.411,190.000000,45.000000,50.000000,55.000000,False,False
P2_only,7.985500,-22.884268,7.713906,30.598175,1.294413,4161.535095,3.836,190.000000,75.000000,200.000000,50.000000,False,False
P3_only,7.985500,-13.391899,7.236158,20.628057,1.180547,1744.623006,16.575,235.000000,60.000000,325.000000,70.000000,False,False
P4_only,7.985500,-20.815272,7.731425,28.546697,1.406231,49885.107048,5.068,165.000000,85.000000,55.000000,85.000000,False,False
sequential_quadrature_all_ports,7.985500,-19.769838,9.138535,28.908374,1.044308,339.024369,63.562,270.000000,45.000000,145.000000,60.000000,False,False
coverage_envelope_best_port,7.985500,-6.929670,7.731425,14.661095,2.130351,12146.501341,5.616,180.000000,65.000000,250.000000,85.000000,False,False
cp_qualified_envelope,7.985500,-22.884268,7.287204,30.171472,1.004535,23.981944,33.425,190.000000,75.000000,155.000000,85.000000,False,False
P1_only,8.233000,-11.071552,7.550740,18.622292,1.035815,28806.321599,22.740,250.000000,70.000000,265.000000,85.000000,False,False
P2_only,8.233000,-25.416115,7.638250,33.054365,1.555597,11133.315974,8.082,195.000000,70.000000,20.000000,80.000000,False,False
P3_only,8.233000,-12.426671,7.373961,19.800632,1.048611,1990.699181,21.233,235.000000,65.000000,355.000000,80.000000,False,False
P4_only,8.233000,-24.774042,7.633084,32.407126,1.681193,3993.864222,10.137,165.000000,85.000000,50.000000,80.000000,False,False
sequential_quadrature_all_ports,8.233000,-21.242940,10.015171,31.258111,1.159031,9531.471161,60.000,45.000000,50.000000,70.000000,65.000000,False,False
coverage_envelope_best_port,8.233000,-6.198015,7.638250,13.836265,1.555597,11133.315974,11.781,110.000000,45.000000,20.000000,80.000000,False,False
cp_qualified_envelope,8.233000,-25.416115,7.550740,32.966855,1.035815,32.093545,38.904,195.000000,70.000000,315.000000,70.000000,False,False
