stage,index,candidate,score,elapsed_s,rationale,air_frequency_ghz,board_diameter_mm,copper_t_mm,corner_cut_mm,cp_axial_ratio_target_db,element_spacing_mm,epsr,feed_offset_u_mm,feed_offset_v_mm,feed_pad_radius_mm,fov_min_gain_target_dbi,freq_center_ghz,freq_start_ghz,freq_step_ghz,freq_stop_ghz,ground_radius_mm,isolation_slot_enabled,isolation_slot_inner_mm,isolation_slot_length_mm,isolation_slot_width_mm,patch_side_mm,port_width_mm,substrate_h_mm,tan_delta,target_start_ghz,target_stop_ghz,total_height_limit_mm,via_antipad_radius_mm,worst_return_db,worst_return_expr,worst_coupling_db,worst_coupling_expr,isolation_db
sparam,1,baseline_branch_best,10.800151447872683,71.3,Existing branch best quick-sweep point.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.68,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.91,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.889801863113291,"dB(S(P3:1,P3:1))",-17.012199473296025,"dB(S(P4:1,P2:1))",17.012199473296025
sparam,2,feed_inward_match,13.291828243033647,71.3,Move feed inward to reduce over-coupled edge behavior while keeping resonance nearly fixed.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.56,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.92,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.638694889066905,"dB(S(P1:1,P1:1))",-17.141485775315374,"dB(S(P1:1,P3:1))",17.141485775315374
sparam,3,feed_outward_match,22.303440980388814,71.2,Move feed outward and slightly shrink patch to test input-resistance matching.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.86,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.88,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-7.734254036002046,"dB(S(P4:1,P4:1))",-17.360124397271534,"dB(S(P3:1,P1:1))",17.360124397271534
sparam,4,slightly_larger_patch,26.313848205575173,73.1,Lower the resonant point and retune feed for CH9 edge return loss.,7.0,44.0,0.035,0.64,3.0,17.0,3.48,2.78,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,9.05,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-7.336467947502462,"dB(S(P4:1,P4:1))",-17.143148796001366,"dB(S(P2:1,P4:1))",17.143148796001366
sparam,5,slightly_smaller_patch,26.638026297358365,69.5,Raise the resonant point and reduce corner perturbation.,7.0,44.0,0.035,0.58,3.0,17.0,3.48,2.72,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.78,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-7.301300101645274,"dB(S(P3:1,P3:1))",-17.32648457459262,"dB(S(P4:1,P2:1))",17.32648457459262
sparam,6,larger_corner_split,7.753315349062071,67.3,Increase modal split for axial-ratio tuning near the band center.,7.0,44.0,0.035,0.78,3.0,17.0,3.48,2.7,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.95,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.188680539009852,"dB(S(P3:1,P3:1))",-17.399195072262753,"dB(S(P4:1,P2:1))",17.399195072262753
sparam,7,smaller_corner_split,19.721083497259162,69.5,Reduce modal split in case the current AR modes are over-separated.,7.0,44.0,0.035,0.46,3.0,17.0,3.48,2.7,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.95,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-7.998010317370696,"dB(S(P2:1,P2:1))",-16.99208886022586,"dB(S(P4:1,P2:1))",16.99208886022586
sparam,8,wider_port_pad,14.459853992216077,70.0,Increase local feed capacitance to improve the residual return-loss miss.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.68,0.0,0.55,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.91,1.1,2.0,0.0037,7.738,8.233,8.0,0.9,-8.521129881221029,"dB(S(P3:1,P3:1))",-17.192314637157573,"dB(S(P1:1,P3:1))",17.192314637157573
sparam,9,narrower_port_pad,8.503411355302553,69.1,Reduce local feed capacitance and port-sheet perturbation.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.68,0.0,0.35,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.91,0.45,2.0,0.0037,7.738,8.233,8.0,0.9,-9.118102147985859,"dB(S(P2:1,P2:1))",-17.10378109892574,"dB(S(P2:1,P4:1))",17.10378109892574
sparam,10,ground_slot_longer,5.038568561142553,69.5,Increase decoupling slot length for isolation and FOV ripple control.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.68,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,10.0,0.45,8.91,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.465885916036944,"dB(S(P2:1,P2:1))",-17.01714852325337,"dB(S(P3:1,P1:1))",17.01714852325337
