source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,axial_ratio_min_db,axial_ratio_max_db,cp_coverage_percent,gain_min_theta_deg,gain_min_phi_deg,ar_max_theta_deg,ar_max_phi_deg,meets_gain,meets_cp
P1A_only,7.738000,-14.273476,6.047343,20.320819,1.037063,4859.293633,11.096,120.000000,60.000000,210.000000,70.000000,False,False
P1B_only,7.738000,-11.413809,4.991499,16.405307,1.038519,4616.919270,22.466,205.000000,45.000000,185.000000,55.000000,False,False
P2A_only,7.738000,-23.605567,6.143029,29.748595,1.584653,1236.153317,9.178,195.000000,90.000000,150.000000,75.000000,False,False
P2B_only,7.738000,-11.974128,5.070014,17.044142,1.076782,526.120623,16.849,235.000000,65.000000,175.000000,65.000000,False,False
P3A_only,7.738000,-14.777644,5.946055,20.723699,1.046730,4845.171060,11.644,240.000000,60.000000,285.000000,50.000000,False,False
P3B_only,7.738000,-12.253724,4.735687,16.989411,1.041044,3824.692036,20.685,155.000000,45.000000,205.000000,55.000000,False,False
P4A_only,7.738000,-24.139165,6.191025,30.330190,1.890289,7697.349646,8.082,165.000000,90.000000,5.000000,45.000000,False,False
P4B_only,7.738000,-13.053824,5.039277,18.093101,1.019161,15749.442762,19.178,135.000000,70.000000,190.000000,80.000000,False,False
sequential_quadrature_all_ports,7.738000,-16.142738,6.552506,22.695244,1.080828,6086.938659,48.767,335.000000,45.000000,355.000000,90.000000,False,False
E1_dualfeed_quadrature,7.738000,-12.841290,5.572995,18.414285,1.032659,235.887702,81.233,200.000000,45.000000,235.000000,75.000000,False,False
E2_dualfeed_quadrature,7.738000,-11.420337,5.462744,16.883082,1.093432,1010.195884,65.753,190.000000,90.000000,100.000000,60.000000,False,False
E3_dualfeed_quadrature,7.738000,-13.268530,5.430431,18.698960,1.029450,1188.704022,81.096,165.000000,45.000000,160.000000,50.000000,False,False
E4_dualfeed_quadrature,7.738000,-11.017342,5.509049,16.526391,1.020527,850.523669,64.247,170.000000,90.000000,265.000000,50.000000,False,False
ideal_hybrid_array_quadrature,7.738000,-17.011882,10.107691,27.119573,1.015792,1199.341692,72.192,120.000000,55.000000,145.000000,80.000000,False,False
coverage_envelope_best_port,7.738000,-6.874947,6.191025,13.065972,2.031010,2704.638808,24.384,180.000000,80.000000,70.000000,90.000000,False,False
cp_qualified_envelope,7.738000,-12.489773,6.140235,18.630009,1.019161,15.679141,47.534,145.000000,75.000000,10.000000,70.000000,False,False
P1A_only,7.985500,-11.510072,6.452101,17.962173,1.050497,17982.881956,18.219,125.000000,65.000000,210.000000,85.000000,False,False
P1B_only,7.985500,-11.393720,5.928687,17.322407,1.122571,2672.295387,25.068,215.000000,45.000000,220.000000,80.000000,False,False
P2A_only,7.985500,-20.137918,6.475303,26.613220,1.683901,1900.008434,2.877,195.000000,90.000000,105.000000,85.000000,False,False
P2B_only,7.985500,-11.727536,6.114102,17.841638,1.033608,481.014568,28.219,215.000000,90.000000,95.000000,45.000000,False,False
