candidate,active_source,expected_basis,project,params_json,field_csv,ff_csv,name,rationale,b_radiator,substrate_h_mm,pifa_length_mm,pifa_width_mm,pifa_short_wall_width_mm,pifa_side_fence_length_mm,pifa_feed_from_short_mm,pifa_pair_offset_mm,monopole_cap_radius_mm,loop_side_mm,loop_trace_width_mm,loop_gap_mm,loop_air_gap_mm,ground_radius_mm,board_diameter_mm,total_height_limit_mm,feed_pad_radius_mm,port_width_mm,epsr,tan_delta,s_csv,s11_expr,s11_worst_freq_ghz,s11_worst_db,s11_pass,best_window_start_phi_deg,best_window_stop_phi_deg,best_sample_count,best_gain_total_min_dbi,best_gain_total_min_theta_deg,best_gain_total_min_phi_deg,best_xpd_min_db,best_xpd_p5_db,best_xpd_median_db,source_pass,candidate_index
me_h3p5_loop10p4_gap0p55,P1A,H,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop10p4_gap0p55_P1A.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop10p4_gap0p55_P1A_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop10p4_gap0p55_P1A_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop10p4_gap0p55_P1A_native_farfield_default.csv,me_h3p5_loop10p4_gap0p55,同相位中心电-磁双模式首版：B端口沿用已达标厚板PIFA作为垂直电偶极近似，A端口增加水平环作为z向磁偶极近似。,pifa,3.5,8.8,8.0,4.0,6.0,8.4,0.0,4.2,10.4,0.35,0.55,0.45,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop10p4_gap0p55_P1A_native_s_parameters.csv,"dB(S(P1A,P1A)) []",8.0,-0.704035950336241,False,255.0,165.0,550,-18.4252875400179,90.0,160.0,-52.38098367972991,-17.27284999712626,-8.492789798867479,False,1
me_h3p5_loop10p4_gap0p55,P1B,V,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop10p4_gap0p55_P1B.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop10p4_gap0p55_P1B_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop10p4_gap0p55_P1B_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop10p4_gap0p55_P1B_native_farfield_default.csv,me_h3p5_loop10p4_gap0p55,同相位中心电-磁双模式首版：B端口沿用已达标厚板PIFA作为垂直电偶极近似，A端口增加水平环作为z向磁偶极近似。,pifa,3.5,8.8,8.0,4.0,6.0,8.4,0.0,4.2,10.4,0.35,0.55,0.45,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop10p4_gap0p55_P1B_native_s_parameters.csv,"dB(S(P1B,P1B)) []",8.0,-10.2403527856445,True,35.0,305.0,550,-12.6957598557439,45.0,180.0,-29.317162544874154,4.547350709549094,11.460156403162083,False,1
me_h3p5_loop12p0_gap0p55,P1A,H,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop12p0_gap0p55_P1A.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop12p0_gap0p55_P1A_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop12p0_gap0p55_P1A_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop12p0_gap0p55_P1A_native_farfield_default.csv,me_h3p5_loop12p0_gap0p55,加大水平磁环周长以提高H=Ephi通道辐射电阻和低仰角增益。,pifa,3.5,8.8,8.0,4.0,6.0,8.4,0.0,4.2,12.0,0.35,0.55,0.45,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop12p0_gap0p55_P1A_native_s_parameters.csv,"dB(S(P1A,P1A)) []",8.0,-0.331577411718488,False,255.0,165.0,550,-22.0901347232347,75.0,155.0,-40.83164632893695,-12.259602654187846,-3.2914916499947138,False,2
me_h3p5_loop12p0_gap0p55,P1B,V,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop12p0_gap0p55_P1B.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h3p5_loop12p0_gap0p55_P1B_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop12p0_gap0p55_P1B_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop12p0_gap0p55_P1B_native_farfield_default.csv,me_h3p5_loop12p0_gap0p55,加大水平磁环周长以提高H=Ephi通道辐射电阻和低仰角增益。,pifa,3.5,8.8,8.0,4.0,6.0,8.4,0.0,4.2,12.0,0.35,0.55,0.45,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h3p5_loop12p0_gap0p55_P1B_native_s_parameters.csv,"dB(S(P1B,P1B)) []",8.0,-10.3188440794034,True,35.0,305.0,550,-13.2175432771316,45.0,180.0,-27.983996229501948,4.6940487357155565,11.666555860868268,False,2
me_h4p0_loop10p8_gap0p55,P1A,H,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h4p0_loop10p8_gap0p55_P1A.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h4p0_loop10p8_gap0p55_P1A_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h4p0_loop10p8_gap0p55_P1A_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h4p0_loop10p8_gap0p55_P1A_native_farfield_default.csv,me_h4p0_loop10p8_gap0p55,略增板厚和环-贴片间距，降低磁环与PIFA的近场耦合。,pifa,4.0,8.8,8.0,4.0,6.0,8.2,0.0,4.2,10.8,0.35,0.55,0.6,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h4p0_loop10p8_gap0p55_P1A_native_s_parameters.csv,"dB(S(P1A,P1A)) []",8.0,-0.850084731175863,False,255.0,165.0,550,-17.9993789522242,90.0,160.0,-45.635019478248,-15.383210293419163,-7.4236038500136505,False,3
me_h4p0_loop10p8_gap0p55,P1B,V,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h4p0_loop10p8_gap0p55_P1B.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_h4p0_loop10p8_gap0p55_P1B_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h4p0_loop10p8_gap0p55_P1B_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h4p0_loop10p8_gap0p55_P1B_native_farfield_default.csv,me_h4p0_loop10p8_gap0p55,略增板厚和环-贴片间距，降低磁环与PIFA的近场耦合。,pifa,4.0,8.8,8.0,4.0,6.0,8.2,0.0,4.2,10.8,0.35,0.55,0.6,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_h4p0_loop10p8_gap0p55_P1B_native_s_parameters.csv,"dB(S(P1B,P1B)) []",8.0,-8.60061334707486,False,30.0,300.0,550,-13.5495557180538,45.0,180.0,-30.580130407905553,4.5084755201026825,11.379095581345302,False,3
me_sym_h5p5_cap3p8_loop8p8_air1p4,P1A,H,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h5p5_cap3p8_loop8p8_air1p4_P1A.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h5p5_cap3p8_loop8p8_air1p4_P1A_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h5p5_cap3p8_loop8p8_air1p4_P1A_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h5p5_cap3p8_loop8p8_air1p4_P1A_native_farfield_default.csv,me_sym_h5p5_cap3p8_loop8p8_air1p4,将B通道改为中心顶加载单极子以提高V极化方位对称性，同时抬高并缩小A环以接近z向磁偶极。,tophat,5.5,8.8,8.0,4.0,6.0,8.4,0.0,3.8,8.8,0.22,0.35,1.4,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h5p5_cap3p8_loop8p8_air1p4_P1A_native_s_parameters.csv,"dB(S(P1A,P1A)) []",8.0,-1.20747875420235,False,255.0,165.0,550,-19.7754643981307,90.0,155.0,-33.017353856891894,-18.136949239862442,-8.7572365420516,False,4
me_sym_h5p5_cap3p8_loop8p8_air1p4,P1B,V,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h5p5_cap3p8_loop8p8_air1p4_P1B.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h5p5_cap3p8_loop8p8_air1p4_P1B_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h5p5_cap3p8_loop8p8_air1p4_P1B_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h5p5_cap3p8_loop8p8_air1p4_P1B_native_farfield_default.csv,me_sym_h5p5_cap3p8_loop8p8_air1p4,将B通道改为中心顶加载单极子以提高V极化方位对称性，同时抬高并缩小A环以接近z向磁偶极。,tophat,5.5,8.8,8.0,4.0,6.0,8.4,0.0,3.8,8.8,0.22,0.35,1.4,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h5p5_cap3p8_loop8p8_air1p4_P1B_native_s_parameters.csv,"dB(S(P1B,P1B)) []",8.0,-0.751951580653504,False,135.0,45.0,550,-35.9560201255634,45.0,180.0,1.9181243398512544,25.900702438322803,36.019740043020796,False,4
me_sym_h6p5_cap4p2_loop9p4_air1p0,P1A,H,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h6p5_cap4p2_loop9p4_air1p0_P1A.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h6p5_cap4p2_loop9p4_air1p0_P1A_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h6p5_cap4p2_loop9p4_air1p0_P1A_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h6p5_cap4p2_loop9p4_air1p0_P1A_native_farfield_default.csv,me_sym_h6p5_cap4p2_loop9p4_air1p0,进一步提高中心顶加载单极子高度和电容帽尺寸，并把环周长调到接近8GHz一波长附近。,tophat,6.5,8.8,8.0,4.0,6.0,8.4,0.0,4.2,9.4,0.24,0.35,1.0,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h6p5_cap4p2_loop9p4_air1p0_P1A_native_s_parameters.csv,"dB(S(P1A,P1A)) []",8.0,-2.42126847185903,False,265.0,175.0,550,-19.5713760689877,90.0,160.0,-32.086731631804014,-16.807099656569086,-6.081810831784478,False,5
me_sym_h6p5_cap4p2_loop9p4_air1p0,P1B,V,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h6p5_cap4p2_loop9p4_air1p0_P1B.aedt,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\UWB_CH9_D44_ME_DUALPOL_SINGLE_ELEMENT_me_sym_h6p5_cap4p2_loop9p4_air1p0_P1B_params.json,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h6p5_cap4p2_loop9p4_air1p0_P1B_native_field_components.csv,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h6p5_cap4p2_loop9p4_air1p0_P1B_native_farfield_default.csv,me_sym_h6p5_cap4p2_loop9p4_air1p0,进一步提高中心顶加载单极子高度和电容帽尺寸，并把环周长调到接近8GHz一波长附近。,tophat,6.5,8.8,8.0,4.0,6.0,8.4,0.0,4.2,9.4,0.24,0.35,1.0,21.4,44.0,8.0,0.3,0.55,3.48,0.0037,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_me_dualpol_single_element\me_sym_h6p5_cap4p2_loop9p4_air1p0_P1B_native_s_parameters.csv,"dB(S(P1B,P1B)) []",8.0,-0.719873403104849,False,10.0,280.0,550,-30.689309984393,50.0,180.0,-28.235891845783353,20.46364755316582,30.732485000969007,False,5
