window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,xpd_min_db,xpd_p5_db,xpd_median_db,candidate,active_source,candidate_index
0.0,270.0,550,-18.4252875400179,90.0,160.0,-52.38098367972991,-21.049355090488003,-9.254353472859542,me_h3p5_loop10p4_gap0p55,P1A,1
5.0,275.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-21.016043716365953,-9.297862132859796,me_h3p5_loop10p4_gap0p55,P1A,1
10.0,280.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.677022533441367,-9.51351325819653,me_h3p5_loop10p4_gap0p55,P1A,1
15.0,285.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.672099837022525,-9.553737233643593,me_h3p5_loop10p4_gap0p55,P1A,1
20.0,290.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
25.0,295.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
30.0,300.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
35.0,305.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
40.0,310.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
45.0,315.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
50.0,320.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
55.0,325.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.578109243767061,me_h3p5_loop10p4_gap0p55,P1A,1
60.0,330.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.604721987816665,me_h3p5_loop10p4_gap0p55,P1A,1
65.0,335.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.612412757544872,me_h3p5_loop10p4_gap0p55,P1A,1
70.0,340.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.65806421950579,-9.619154814859593,me_h3p5_loop10p4_gap0p55,P1A,1
75.0,345.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.672099837022525,-9.624273142159478,me_h3p5_loop10p4_gap0p55,P1A,1
80.0,350.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.677022533441367,-9.644968376557522,me_h3p5_loop10p4_gap0p55,P1A,1
85.0,355.0,550,-18.4252875400179,90.0,160.0,-42.08990672204494,-20.85276560890014,-9.766946902574428,me_h3p5_loop10p4_gap0p55,P1A,1
