"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-29.5446925609695,0,-40.0348529038298,0,-64.9195321393543,0,70.3097956200351
0,8,5,-35.0903761284243,5,-33.754605741978,5,-62.0975040954189,5,73.5315129612198
0,8,10,-40.3690007453934,10,-27.2174656488415,10,-58.8028765498193,10,76.1936110892281
0,8,15,-45.340392891221,15,-20.4731842077622,15,-55.0607236075279,15,78.2758298298871
0,8,20,-49.9667172698686,20,-13.5730894728153,20,-50.8995253120093,20,79.7623222413024
0,8,25,-54.2127647593638,25,-6.56969533132469,25,-46.3509508948926,25,80.6417752186544
0,8,30,-58.0462203744778,30,0.483698158527786,30,-41.4496177539965,30,80.9074955937572
0,8,35,-61.437909203276,35,7.53341041332889,35,-36.2328279940289,35,80.55746107411
0,8,40,-64.3620184458133,40,14.525788866087,40,-30.740284535047,40,79.5943356337639
0,8,45,-66.7962938651287,45,21.4076172946631,45,-25.0137889492622,45,78.0254492388711
0,8,50,-68.7222091554255,50,28.126520829354,50,-19.0969233258348,50,75.862742062216
0,8,55,-70.1251069384451,55,34.631364557276,55,-13.0347185848602,55,73.1226736112914
0,8,60,-70.9943103149659,60,40.8726426899274,60,-6.8733117648765,60,69.8260974615074
0,8,65,-71.3232041224532,65,46.802855332132,65,-0.659594892143008,65,65.9981025478909
0,8,70,-71.1092852804404,70,52.3768699849225,70,5.55914189599398,70,61.6678222231411
0,8,75,-70.3541818404832,75,57.5522650311089,75,11.7355702576008,75,56.868212535224
0,8,80,-69.0636405957034,80,62.2896525894008,80,17.8226838434162,80,51.6358014119483
0,8,85,-67.247483344224,85,66.5529782799667,85,23.7741560435525,85,46.0104106613784
0,8,90,-64.9195321393543,90,70.3097956200352,90,29.5446925609694,90,40.0348529038298
5,8,0,-53.1550355233151,0,-43.7947848255209,0,-71.3226427890568,0,46.6429525850806
5,8,5,-58.5770167001383,5,-37.6853480021018,5,-68.560418377273,5,49.8483719667336
5,8,10,-63.7682995903753,10,-31.3146580461246,10,-65.3491829309564,10,52.5165789878451
5,8,15,-68.692703043608,15,-24.7287562363524,15,-61.7097086290323,15,54.6240777403161
5,8,20,-73.3152034415286,20,-17.9760872547355,20,-57.6653588695773,20,56.1511839204984
5,8,25,-77.6020649447517,25,-11.1072061008987,25,-53.2421282513009,25,57.0823740025592
5,8,30,-81.5210171273376,30,-4.17441651677657,30,-48.4686903153251,30,57.4066104035637
5,8,35,-85.0414839293672,35,2.76865472342962,35,-43.3764368935446,35,57.11762587634
5,8,40,-88.1348629422005,40,9.6675390111661,40,-37.9994920683087,40,56.2141523482873
5,8,45,-90.7748490643317,45,16.4674505714969,45,-32.3746844167344,45,54.7000825169514
5,8,50,-92.9377920005946,50,23.1138403966286,50,-26.5414633493248,50,52.5845563125832
5,8,55,-94.6030733584494,55,29.5529643376748,55,-20.5417487556046,55,49.881968386463
5,8,60,-95.7534865644108,60,35.7324505594529,60,-14.4197075008484,60,46.6118966366187
5,8,65,-96.3756016881368,65,41.6018528746195,65,-8.2214551436783,65,42.798955069989
5,8,70,-96.4600975683059,70,47.1131784665065,70,-1.99468609054014,70,38.4725767755629
5,8,75,-96.0020452691302,75,52.2213808229581,75,4.21176018229933,75,33.6667343486787
5,8,80,-95.0011296063615,80,56.8848109928396,80,10.3483855988189,80,28.4196058121531
5,8,85,-93.4617989173531,85,61.0656222715718,85,16.3655588509284,85,22.773194096206
5,8,90,-91.3933370189755,90,64.7301249599727,90,22.2140644764743,90,16.7729077132188
10,8,0,-71.2800174741653,0,-43.6815044145209,0,-76.6972488299433,0,22.3093141743144
10,8,5,-76.502405221551,5,-37.97553841076,5,-73.9322574792502,5,25.3488597957278
10,8,10,-81.5684308664041,10,-32.0158920406393,10,-70.7628835630035,10,27.9034095757742
10,8,15,-86.4500453411741,15,-25.8400743061938,15,-67.203276982633,15,29.9424439982781
10,8,20,-91.1178734506549,20,-19.490246461891,20,-63.2681281821394,20,31.4379658884907
10,8,25,-95.5408926219271,25,-13.0130702979838,25,-58.9733375441505,25,32.3656386725834
10,8,30,-99.6863584986202,30,-6.45925348702288,30,-54.3368163763094,30,32.7058713802361
10,8,35,-103.520009807197,35,0.11717385411065,35,-49.3793364578538,35,32.4447570491935
10,8,40,-107.006557218062,40,6.65979003538615,40,-44.1253354750965,40,31.574790246115
10,8,45,-110.110431168142,45,13.1108405654125,45,-38.6035864510405,45,30.0953173293804
10,8,50,-112.796735666218,50,19.4123387069266,50,-32.8476510908141,50,28.0127056011334
10,8,55,-115.032332907038,55,25.5071273615426,55,-26.8960587723492,55,25.3402494955858
