"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-6.23514269589047,0,-36.4978925089093
5,8,0,-6.23514269589047,0,-36.4978925089093
10,8,0,-6.23514269589046,0,-36.4978925089093
15,8,0,-6.23514269589046,0,-36.4978925089093
20,8,0,-6.23514269589046,0,-36.4978925089093
25,8,0,-6.23514269589047,0,-36.4978925089093
30,8,0,-6.23514269589047,0,-36.4978925089093
35,8,0,-6.23514269589047,0,-36.4978925089093
40,8,0,-6.23514269589047,0,-36.4978925089093
45,8,0,-6.23514269589046,0,-36.4978925089093
50,8,0,-6.23514269589047,0,-36.4978925089093
55,8,0,-6.23514269589047,0,-36.4978925089093
60,8,0,-6.23514269589047,0,-36.4978925089093
65,8,0,-6.23514269589047,0,-36.4978925089093
70,8,0,-6.23514269589047,0,-36.4978925089093
75,8,0,-6.23514269589047,0,-36.4978925089093
80,8,0,-6.23514269589047,0,-36.4978925089093
85,8,0,-6.23514269589047,0,-36.4978925089093
90,8,0,-6.23514269589047,0,-36.4978925089093
0,8,5,-5.51710611050575,5,-35.7798559235245
5,8,5,-5.53575833388827,5,-35.7985081469071
10,8,5,-5.55784792016863,5,-35.8205977331874
15,8,5,-5.58308418486105,5,-35.8458339978798
20,8,5,-5.61113710677803,5,-35.8738869197968
25,8,5,-5.64164219078865,5,-35.9043920038074
30,8,5,-5.67420619817239,5,-35.9369560111912
35,8,5,-5.70841374403815,5,-35.9711635570569
40,8,5,-5.74383471397736,5,-36.0065845269961
45,8,5,-5.78003239341679,5,-36.0427822064356
50,8,5,-5.81657213729132,5,-36.0793219503101
55,8,5,-5.85303034069716,5,-36.115780153716
60,8,5,-5.88900341037759,5,-36.1517532233964
65,8,5,-5.92411638988725,5,-36.186866202906
70,8,5,-5.9580308650518,5,-36.2207806780706
75,8,5,-5.99045177607021,5,-36.253201589089
80,8,5,-6.02113279076928,5,-36.2838826037881
85,8,5,-6.04987994935259,5,-36.3126297623714
90,8,5,-6.07655337051376,5,-36.3393031835326
0,8,10,-4.3770450597524,10,-34.6397948727712
5,8,10,-4.42832455980874,10,-34.6910743728275
10,8,10,-4.48674680356851,10,-34.7494966165873
15,8,10,-4.55162765890939,10,-34.8143774719282
20,8,10,-4.62217639385024,10,-34.884926206869
25,8,10,-4.69749776152881,10,-34.9602475745476
30,8,10,-4.77659735765955,10,-35.0393471706783
35,8,10,-4.8583915301595,10,-35.1211413431783
40,8,10,-4.94172297189381,10,-35.2044727849126
45,8,10,-5.02538275214676,10,-35.2881325651655
50,8,10,-5.10813893558305,10,-35.3708887486018
55,8,10,-5.18877114164305,10,-35.4515209546618
60,8,10,-5.26610950901038,10,-35.5288593220292
65,8,10,-5.33907569229738,10,-35.6018255053162
70,8,10,-5.40672289718247,10,-35.6694727102013
75,8,10,-5.46827170495073,10,-35.7310215179695
80,8,10,-5.52313863560483,10,-35.7858884486236
85,8,10,-5.57095504274501,10,-35.8337048557638
90,8,10,-5.61157491114269,10,-35.8743247241615
0,8,15,-3.18827061332533,15,-33.4510204263441
5,8,15,-3.27852859366578,15,-33.5412784066846
10,8,15,-3.37905143583982,15,-33.6418012488586
15,8,15,-3.48889053974181,15,-33.7516403527606
20,8,15,-3.60692544901071,15,-33.8696752620295
25,8,15,-3.73184336738303,15,-33.9945931804018
30,8,15,-3.86212212640528,15,-34.1248719394241
35,8,15,-3.99602229741464,15,-34.2587721104334
40,8,15,-4.13159477137685,15,-34.3943445843956
45,8,15,-4.26670968010888,15,-34.5294594931277
50,8,15,-4.39911065548622,15,-34.661860468505
55,8,15,-4.52649502627031,15,-34.7892448392891
60,8,15,-4.64661596263152,15,-34.9093657756503
65,8,15,-4.75739763530185,15,-35.0201474483206
70,8,15,-4.8570504201462,15,-35.119800233165
75,8,15,-4.94417139813193,15,-35.2069212111507
80,8,15,-5.01781679355844,15,-35.2805666065772
85,8,15,-5.07753755977261,15,-35.3402873727914
90,8,15,-5.12337596561496,15,-35.3861257786338
0,8,20,-2.16512206585323,20,-32.427871878872
5,8,20,-2.2954890220436,20,-32.5582388350624
10,8,20,-2.4384895615754,20,-32.7012393745942
15,8,20,-2.59303769941495,20,-32.8557875124337
20,8,20,-2.7578439278904,20,-33.0205937409092
25,8,20,-2.93135068258075,20,-33.1941004955995
30,8,20,-3.11166244664853,20,-33.3744122596673
35,8,20,-3.296485142348,20,-33.5592349553668
40,8,20,-3.48309394954543,20,-33.7458437625642
45,8,20,-3.66835026398054,20,-33.9311000769993
50,8,20,-3.84878521476526,20,-34.1115350277841
55,8,20,-4.02075761234491,20,-34.2835074253637
60,8,20,-4.1806786215955,20,-34.4434284346143
65,8,20,-4.32527673243522,20,-34.588026545454
70,8,20,-4.4518604330759,20,-34.7146102460947
75,8,20,-4.55852930231373,20,-34.8212791153325
80,8,20,-4.64429187956189,20,-34.9070416925807
85,8,20,-4.70907009665773,20,-34.9718199096765
