"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-83.5547877991781,0,107.957476925254,0,-51.9155319320668,0,-0.0287471305989719
0,8,5,-87.7615733514013,5,107.54416065478,5,-44.4356980685774,5,-9.43775182567165
0,8,10,-91.3004403385334,10,106.312368384785,10,-36.617681711778,10,-18.7749295306806
0,8,15,-94.144455845976,15,104.271474798218,15,-28.5209826867912,15,-27.9692186853487
0,8,20,-96.2719751984541,20,101.437012327598,20,-20.2072217621177,20,-36.9506451975454
0,8,25,-97.666806689064,25,97.8305529438231,25,-11.7396716783804,25,-45.6508549883791
0,8,30,-98.3183348079399,30,93.4795439804426,30,-3.18277560456306,30,-54.0036342080114
0,8,35,-98.2216010326937,35,88.4170992428789,35,5.39834331341749,35,-61.9454131630348
0,8,40,-97.3773415657644,40,82.6817469923729,40,13.9383775791741,40,-69.4157501202244
0,8,45,-95.7919817314732,45,76.317136722651,45,22.3723323753307,45,-76.3577913046233
0,8,50,-93.4775870754255,50,69.3717069609226,50,30.6360202133274,50,-82.7187035910989
0,8,55,-90.4517715384235,55,61.8983166214398,55,38.6665494389659,55,-88.4500765963274
0,8,60,-86.7375634037413,60,53.9538427172423,60,46.402802875873,60,-93.5082911110415
0,8,65,-82.3632300379838,65,45.5987474917456,65,53.7859029641162,65,-97.8548510685506
0,8,70,-77.3620627593592,70,36.8966182645603,70,60.7596598539864,70,-101.456676523054
0,8,75,-71.7721234706453,75,27.9136834935944,75,67.270999044682,75,-104.286355408
0,8,80,-65.6359549851267,80,18.7183087364993,80,73.2703653133078,80,-106.322352158468
0,8,85,-59.0002572500981,85,9.38047634749564,85,78.7120998600432,85,-107.549171609819
0,8,90,-51.9155319320669,90,-0.0287471305989009,90,83.5547877991782,90,-107.957476925254
5,8,0,-122.384447850465,0,104.988614394073,0,-46.5656678288756,0,21.2897581990128
5,8,5,-126.576603499477,5,104.402569833043,5,-38.9781084488079,5,11.9443261235936
5,8,10,-130.075409803084,10,103.004277607432,10,-31.0185000566739,10,2.71853655530283
5,8,15,-132.85091399745,15,100.811567417136,15,-22.7515637745753,15,-6.31670815220093
5,8,20,-134.879481175283,20,97.8484875860388,20,-14.2448214512099,20,-15.0932756173795
5,8,25,-136.14402465821,25,94.1448758609719,25,-5.5679236434585,25,-23.5463690368117
5,8,30,-136.634156552074,30,89.7358749550502,30,3.20804099958479,30,-31.6150183768384
5,8,35,-136.346258482249,35,84.6614064184346,35,12.0112439201508,35,-39.2424911112566
5,8,40,-135.283474205606,40,78.9656170057063,40,20.7698119013359,40,-46.3766190560225
5,8,45,-133.455627279194,45,72.6963118507286,45,29.4125097156696,45,-52.9700404434566
5,8,50,-130.879068171878,50,65.9043884912945,50,37.8694015661982,50,-58.9803589234114
5,8,55,-127.576456102318,55,58.6432851295555,55,46.0724839064239,55,-64.3702236425671
5,8,60,-123.576481474185,60,50.9684554784028,60,53.956283456552,60,-69.1073369029686
5,8,65,-118.913535086061,65,42.9368811249092,65,61.4584154201147,65,-73.1643980964564
5,8,70,-113.627330368143,70,34.6066305309983,70,68.5200979848176,70,-76.5189945960225
5,8,75,-107.762484801621,75,26.0364715852366,75,75.0866201270695,75,-79.1534519811761
5,8,80,-101.368066470702,80,17.2855420315522,80,81.1077605186075,80,-81.0546572849536
5,8,85,-94.4971114360166,85,8.41307917268365,85,86.5381559638908,85,-82.2138697634928
5,8,90,-87.206117342756,90,-0.521792942216437,90,91.3376183000998,90,-82.6265338889006
10,8,0,-158.79322538796,0,100.010765563704,0,-42.2239303943374,0,43.2469752266464
10,8,5,-162.58212116506,5,99.5390752613564,5,-34.5725118043148,5,34.068164467412
10,8,10,-165.652399654567,10,98.2633478997551,10,-26.5076783024448,10,25.0434004107802
10,8,15,-167.974640140358,15,96.2080579769684,15,-18.1000315101285,15,16.2459326141184
10,8,20,-169.52692751531,20,93.4045258339947,20,-9.42355438803665,20,7.74431135921466
10,8,25,-170.29507201133,25,89.8900925328777,25,-0.554663381853171,25,-0.398317118847386
10,8,30,-170.272693438277,30,85.7072334361697,30,8.42874837202899,30,-8.12475421002307
10,8,35,-169.461174789929,35,80.9026383608811,35,17.4482493901291,35,-15.3841301811184
10,8,40,-167.869496699295,40,75.5262826014657,40,26.4257661071343,40,-22.1321252546696
10,8,45,-165.513969212484,45,69.6305102291886,45,35.2844192910702,45,-28.3310346616812
10,8,50,-162.417879971793,50,63.2691492857474,50,43.9492897254394,50,-33.9496831428986
10,8,55,-158.611077983214,55,56.496677872594,55,52.3481089824405,55,-38.9631956797471
