"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-4.04743463189696,0,-32.0608135301071
5,8,0,-4.04743463189696,0,-32.0608135301071
10,8,0,-4.04743463189695,0,-32.0608135301071
15,8,0,-4.04743463189696,0,-32.0608135301071
20,8,0,-4.04743463189696,0,-32.0608135301071
25,8,0,-4.04743463189696,0,-32.0608135301071
30,8,0,-4.04743463189695,0,-32.0608135301071
35,8,0,-4.04743463189696,0,-32.0608135301071
40,8,0,-4.04743463189696,0,-32.0608135301071
45,8,0,-4.04743463189695,0,-32.0608135301071
50,8,0,-4.04743463189696,0,-32.0608135301071
55,8,0,-4.04743463189695,0,-32.0608135301071
60,8,0,-4.04743463189696,0,-32.0608135301071
65,8,0,-4.04743463189696,0,-32.0608135301071
70,8,0,-4.04743463189695,0,-32.0608135301071
75,8,0,-4.04743463189695,0,-32.0608135301071
80,8,0,-4.04743463189696,0,-32.0608135301071
85,8,0,-4.04743463189695,0,-32.0608135301071
90,8,0,-4.04743463189696,0,-32.0608135301071
0,8,5,-3.46096867547348,5,-31.4743475736836
5,8,5,-3.41598969315598,5,-31.4293685913661
10,8,5,-3.3733072226624,5,-31.3866861208725
15,8,5,-3.33313929152032,5,-31.3465181897304
20,8,5,-3.29571836142521,5,-31.3090972596353
25,8,5,-3.26128979592696,5,-31.2746686941371
30,8,5,-3.23010946663128,5,-31.2434883648414
35,8,5,-3.20244063342406,5,-31.2158195316342
40,8,5,-3.17855023873213,5,-31.1919291369422
45,8,5,-3.15870475049716,5,-31.1720836487073
50,8,5,-3.1431656756344,5,-31.1565445738445
55,8,5,-3.13218484801237,5,-31.1455637462225
60,8,5,-3.12599957524196,5,-31.1393784734521
65,8,5,-3.12482770936841,5,-31.1382066075785
70,8,5,-3.1288626899856,5,-31.1422415881957
75,8,5,-3.1382685957966,5,-31.1516474940067
80,8,5,-3.153175233075,5,-31.1665541312851
85,8,5,-3.17367328716909,5,-31.1870521853792
90,8,5,-3.19980956610186,5,-31.213188464312
0,8,10,-2.83326963508859,10,-30.8466485332987
5,8,10,-2.76168617863673,10,-30.7750650768468
10,8,10,-2.69117725510007,10,-30.7045561533102
15,8,10,-2.62209710698718,10,-30.6354760051973
20,8,10,-2.55489335137638,10,-30.5682722495865
25,8,10,-2.49009447921772,10,-30.5034733774278
30,8,10,-2.42829492877445,10,-30.4416738269846
35,8,10,-2.37013902046547,10,-30.3835179186756
40,8,10,-2.31630486879941,10,-30.3296837670095
45,8,10,-2.26748911122732,10,-30.2808680094374
50,8,10,-2.22439296926973,10,-30.2377718674798
55,8,10,-2.18770983964172,10,-30.2010887378518
60,8,10,-2.15811434743317,10,-30.1714932456433
65,8,10,-2.13625260779311,10,-30.1496315060032
70,8,10,-2.12273334554374,10,-30.1361122437538
75,8,10,-2.11811950438959,10,-30.1314984025997
80,8,10,-2.12292001690936,10,-30.1362989151195
85,8,10,-2.13758147597174,10,-30.1509603741819
90,8,10,-2.16247952240427,10,-30.1758584206144
0,8,15,-2.32053120255114,15,-30.3339101007613
5,8,15,-2.23440231198324,15,-30.2477812101934
10,8,15,-2.14572752223643,15,-30.1591064204465
15,8,15,-2.05508636114699,15,-30.0684652593571
20,8,15,-1.96327178869875,15,-29.9766506869089
25,8,15,-1.87124667001506,15,-29.8846255682252
30,8,15,-1.78009632571417,15,-29.7934752239243
35,8,15,-1.69098243139862,15,-29.7043613296087
40,8,15,-1.60510237092536,15,-29.6184812691355
45,8,15,-1.52365651885974,15,-29.5370354170698
50,8,15,-1.4478241844788,15,-29.4612030826889
55,8,15,-1.37874741615793,15,-29.392126314368
60,8,15,-1.31752078733488,15,-29.330899685545
65,8,15,-1.26518479449376,15,-29.2785636927039
70,8,15,-1.22272058896304,15,-29.2360994871732
75,8,15,-1.191044303979,15,-29.2044232021891
80,8,15,-1.17100000284,15,-29.1843789010501
85,8,15,-1.16335101468224,15,-29.1767299128924
90,8,15,-1.16876993963913,15,-29.1821488378492
0,8,20,-1.9825051555122,20,-29.9958840537223
5,8,20,-1.88955155573033,20,-29.9029304539404
10,8,20,-1.78921049536209,20,-29.8025893935722
15,8,20,-1.6823373347537,20,-29.6957162329638
20,8,20,-1.57016805204138,20,-29.5835469502515
25,8,20,-1.45422029014275,20,-29.4675991883529
30,8,20,-1.33618756574998,20,-29.3495664639601
35,8,20,-1.21784087498855,20,-29.2312197731987
40,8,20,-1.10094859230517,20,-29.1143274905153
45,8,20,-0.987220795665058,20,-29.0005996938752
50,8,20,-0.878278873721195,20,-28.8916577719313
55,8,20,-0.775646450858535,20,-28.7890253490686
60,8,20,-0.680754251629776,20,-28.6941331498399
65,8,20,-0.594950225969678,20,-28.6083291241798
70,8,20,-0.519507265184866,20,-28.532886163395
75,8,20,-0.455623679063951,20,-28.4690025772741
80,8,20,-0.404415237453509,20,-28.4177941356636
85,8,20,-0.366900772892471,20,-28.3802796711026
90,8,20,-0.343985126942025,20,-28.3573640251521
0,8,25,-1.82467491283952,25,-29.8380538110496
5,8,25,-1.7311339521382,25,-29.7445128503483
10,8,25,-1.62502768387153,25,-29.6384065820816
15,8,25,-1.50736317752353,25,-29.5207420757336
20,8,25,-1.379761538456,25,-29.3931404366661
25,8,25,-1.24429294110991,25,-29.25767183932
30,8,25,-1.10329140991672,25,-29.1166703081268
35,8,25,-0.959177433239866,25,-28.97255633145
40,8,25,-0.814312969227359,25,-28.8276918674375
45,8,25,-0.670905921623009,25,-28.6842848198331
50,8,25,-0.530970145523827,25,-28.5443490437339
55,8,25,-0.396334295376047,25,-28.4097131935862
60,8,25,-0.26868174116777,25,-28.2820606393779
65,8,25,-0.149598147800897,25,-28.162977046011
70,8,25,-0.0406053429910419,25,-28.0539842412012
75,8,25,0.0568310529738654,25,-27.9565478452362
80,8,25,0.141320816509452,25,-27.8720580817007
85,8,25,0.211585472925431,25,-27.8017934252847
90,8,25,0.26649725236456,25,-27.7468816458456
0,8,30,-1.82877545310225,30,-29.8421543513124
5,8,30,-1.74097181825208,30,-29.7543507164622
10,8,30,-1.63580689265986,30,-29.64918579087
15,8,30,-1.51403963173533,30,-29.5274185299454
20,8,30,-1.37735931343241,30,-29.3907382116425
25,8,30,-1.2281896747596,30,-29.2415685729697
30,8,30,-1.0694287775314,30,-29.0828076757415
35,8,30,-0.904163816745608,30,-28.9175427149557
40,8,30,-0.735409593253182,30,-28.7487884914633
45,8,30,-0.565919477071555,30,-28.5792983752817
50,8,30,-0.398101910029958,30,-28.4114808082401
55,8,30,-0.234044966412138,30,-28.2474238646222
60,8,30,-0.0756169906596015,30,-28.0889958888697
65,8,30,0.0754116189219281,30,-27.9379672792882
70,8,30,0.217280690186112,30,-27.796098208024
75,8,30,0.348219763791609,30,-27.6651591344185
80,8,30,0.466495105233427,30,-27.5468837929767
85,8,30,0.570496644686151,30,-27.442882253524
90,8,30,0.658825260981138,30,-27.354553637229
0,8,35,-1.96949956075361,35,-29.9828784589637
5,8,35,-1.89397671992122,35,-29.9073556181313
10,8,35,-1.79734036500038,35,-29.8107192632105
15,8,35,-1.67941775396437,35,-29.6927966521745
20,8,35,-1.54134117224064,35,-29.5547200704508
25,8,35,-1.38543663018173,35,-29.3988155283918
30,8,35,-1.21495460165964,35,-29.2283334998698
35,8,35,-1.03366399930455,35,-29.0470428975147
40,8,35,-0.845387986586127,35,-28.8587668847962
45,8,35,-0.653603290289335,35,-28.6669821884994
50,8,35,-0.461218238114164,35,-28.4745971363243
55,8,35,-0.270580345573905,35,-28.283959243784
60,8,35,-0.0836704826965433,35,-28.0970493809067
65,8,35,0.0976330850642966,35,-27.9157458131458
70,8,35,0.271352347077579,35,-27.7420265511325
75,8,35,0.435352701206815,35,-27.5780261970033
80,8,35,0.587436388705697,35,-27.4259425095044
85,8,35,0.725523899237173,35,-27.2878549989729
90,8,35,0.847834112481385,35,-27.1655447857287
0,8,40,-2.22286021317556,40,-30.2362391113857
5,8,40,-2.16533624784733,40,-30.1787151460574
10,8,40,-2.08462290439089,40,-30.098001802601
15,8,40,-1.97880208378664,40,-29.9921809819968
20,8,40,-1.84756979327793,40,-29.860948691488
25,8,40,-1.69242019189037,40,-29.7057990901005
30,8,40,-1.51654517707701,40,-29.5299240752871
35,8,40,-1.32436301702749,40,-29.3377419152376
40,8,40,-1.12075463947569,40,-29.1341335376858
45,8,40,-0.910256443023781,40,-28.9236353412339
50,8,40,-0.696512409419399,40,-28.7098913076295
55,8,40,-0.482175116707795,40,-28.4955540149179
60,8,40,-0.269226949424484,40,-28.2826058476346
65,8,40,-0.0594990512643461,40,-28.0728779494745
70,8,40,0.144895880145902,40,-27.8684830180642
75,8,40,0.341411300317267,40,-27.6719675978928
80,8,40,0.527220486448606,40,-27.4861584117615
85,8,40,0.699555959670506,40,-27.3138229385396
90,8,40,0.856056565446708,40,-27.1573223327634
0,8,45,-2.56958733075499,45,-30.5829662289651
5,8,45,-2.53333308471029,45,-30.5467119829204
10,8,45,-2.47403361172799,45,-30.4874125099381
15,8,45,-2.38738771530207,45,-30.4007666135122
20,8,45,-2.27070262363305,45,-30.2840815218432
25,8,45,-2.12364181601324,45,-30.1370207142233
30,8,45,-1.94862470753288,45,-29.962003605743
35,8,45,-1.75050154435702,45,-29.7638804425671
40,8,45,-1.53545759527054,45,-29.5488364934806
45,8,45,-1.30955172515238,45,-29.3229306233625
50,8,45,-1.07753892730824,45,-29.0909178255184
55,8,45,-0.842477466002283,45,-28.8558563642124
60,8,45,-0.606184116274465,45,-28.6195630144846
65,8,45,-0.37016582479057,45,-28.3835447230007
70,8,45,-0.136476013043532,45,-28.1498549112536
75,8,45,0.0919178769636577,45,-27.9214610212465
80,8,45,0.311346264034402,45,-27.7020326341757
85,8,45,0.518025008965551,45,-27.4953538892446
90,8,45,0.708690268121978,45,-27.3046886300881
0,8,50,-2.99526686442358,50,-31.0086457626337
5,8,50,-2.97977187911456,50,-30.9931507773247
10,8,50,-2.94391274090523,50,-30.9572916391153
15,8,50,-2.88088304472555,50,-30.8942619429357
20,8,50,-2.78485877099538,50,-30.7982376692055
25,8,50,-2.65252361904917,50,-30.6659025172593
30,8,50,-2.48442778898165,50,-30.4978066871918
35,8,50,-2.28525837026147,50,-30.2986372684716
40,8,50,-2.06256680971774,50,-30.0759457079279
45,8,50,-1.82443219682268,50,-29.8378110950328
50,8,50,-1.577235015119,50,-29.5906139133291
55,8,50,-1.32463212141043,50,-29.3380110196205
60,8,50,-1.06806955954717,50,-29.0814484577573
65,8,50,-0.808309449656635,50,-28.8216883478667
70,8,50,-0.547002048811307,50,-28.5603809470214
75,8,50,-0.28748480012785,50,-28.300863698338
80,8,50,-0.0345460416953869,50,-28.0479249399055
85,8,50,0.206539558797211,50,-27.8068393394129
90,8,50,0.431124521624803,50,-27.5822543765853
0,8,55,-3.48847553533215,55,-31.5018544335423
5,8,55,-3.48914239379024,55,-31.5025212920004
10,8,55,-3.47460840279929,55,-31.4879873010094
15,8,55,-3.43615769943707,55,-31.4495365976472
20,8,55,-3.36460079380894,55,-31.377979692019
25,8,55,-3.25258193221577,55,-31.2659608304259
30,8,55,-3.09734472496026,55,-31.1107236231704
35,8,55,-2.90228489417715,55,-30.9156637923873
40,8,55,-2.67597769901354,55,-30.6893565972237
45,8,55,-2.42891431976909,55,-30.4422932179792
50,8,55,-2.16974014881702,55,-30.1831190470271
55,8,55,-1.90305735814937,55,-29.9164362563595
60,8,55,-1.62975174246472,55,-29.6431306406748
65,8,55,-1.34927822660891,55,-29.362657124819
70,8,55,-1.06236011490593,55,-29.075739013116
75,8,55,-0.772577913310116,55,-28.7859568115202
80,8,55,-0.486192441894087,55,-28.4995713401042
85,8,55,-0.210616730703982,55,-28.2239956289141
90,8,55,0.0474630398383091,55,-27.9659158583718
0,8,60,-4.03806262643451,60,-32.0514415246446
5,8,60,-4.047148005598,60,-32.0605269038081
10,8,60,-4.04819886794208,60,-32.0615777661522
15,8,60,-4.03186463388965,60,-32.0452435320998
20,8,60,-3.98605691354451,60,-31.9994358117546
25,8,60,-3.89872994958979,60,-31.9121088477999
30,8,60,-3.76226507300456,60,-31.7756439712147
35,8,60,-3.57708685319114,60,-31.5904657514012
40,8,60,-3.35185764267635,60,-31.3652365408865
45,8,60,-3.09958942298082,60,-31.1129683211909
50,8,60,-2.8319074533919,60,-30.845286351602
55,8,60,-2.55491722812836,60,-30.5682961263385
60,8,60,-2.26884360968436,60,-30.2822225078945
65,8,60,-1.97115580082034,60,-29.9845346990305
70,8,60,-1.66093295862432,60,-29.6743118568344
75,8,60,-1.34178636036519,60,-29.3551652585753
80,8,60,-1.0218911028794,60,-29.0352700010895
85,8,60,-0.711629172286302,60,-28.7250080704964
90,8,60,-0.420543848262218,60,-28.4339227464723
0,8,65,-4.63043675231301,65,-32.6438156505231
5,8,65,-4.63889449582615,65,-32.6522733940363
10,8,65,-4.64764958340082,65,-32.6610284816109
15,8,65,-4.64843878210985,65,-32.66181768032
20,8,65,-4.6274580421187,65,-32.6408369403288
25,8,65,-4.56801734128505,65,-32.5813962394952
30,8,65,-4.45632261046081,65,-32.4697015086709
35,8,65,-4.28775933226471,65,-32.3011382304748
40,8,65,-4.06944253396938,65,-32.0828214321795
45,8,65,-3.81653021862524,65,-31.8299091168354
50,8,65,-3.54430410679185,65,-31.557683005002
55,8,65,-3.26115540569659,65,-31.2745343039067
60,8,65,-2.96670985891975,65,-30.9800887571299
65,8,65,-2.65571622415247,65,-30.6690951223626
70,8,65,-2.32472262389837,65,-30.3381015221085
75,8,65,-1.97707822887993,65,-29.99045712709
80,8,65,-1.62339654492012,65,-29.6367754431302
85,8,65,-1.27801707063654,65,-29.2913959688467
90,8,65,-0.954282696467863,65,-28.967661594678
0,8,70,-5.24727638182304,70,-33.2606552800331
5,8,70,-5.24691297614164,70,-33.2602918743518
10,8,70,-5.25527701349867,70,-33.2686559117088
15,8,70,-5.26709100296355,70,-33.2804699011737
20,8,70,-5.26860378695719,70,-33.2819826851673
25,8,70,-5.23937018999587,70,-33.252749088206
30,8,70,-5.15872419781558,70,-33.1721030960257
35,8,70,-5.0148663325577,70,-33.0282452307678
40,8,70,-4.8110461851546,70,-32.8244250833647
45,8,70,-4.56350465570166,70,-32.5768835539118
50,8,70,-4.29162076986667,70,-32.3049996680768
55,8,70,-4.00701377956734,70,-32.0203926777775
60,8,70,-3.70899500503243,70,-31.7223739032425
65,8,70,-3.38891322482336,70,-31.4022921230335
70,8,70,-3.03981600385397,70,-31.0531949020641
75,8,70,-2.66444517992991,70,-30.67782407814
80,8,70,-2.27642964409023,70,-30.2898085423003
85,8,70,-1.89514708758919,70,-29.9085259857993
90,8,70,-1.53874248163774,70,-29.5521213798478
0,8,75,-5.86385007559107,75,-33.8772289738012
5,8,75,-5.84933454327344,75,-33.8627134414836
10,8,75,-5.8509220621619,75,-33.864300960372
15,8,75,-5.86819721320883,75,-33.8815761114189
20,8,75,-5.88961065318319,75,-33.9029895513933
25,8,75,-5.8926556297276,75,-33.9060345279377
30,8,75,-5.84997442291416,75,-33.8633533211243
35,8,75,-5.7407416483427,75,-33.7541205465528
40,8,75,-5.5614902465544,75,-33.5748691447645
45,8,75,-5.32761954915675,75,-33.3409984473669
50,8,75,-5.06253418847976,75,-33.0759130866899
55,8,75,-4.78202545241917,75,-32.7954043506293
60,8,75,-4.48563345641278,75,-32.4990123546229
65,8,75,-4.16085066241854,75,-32.1742295606286
70,8,75,-3.79633558706261,75,-31.8097144852727
75,8,75,-3.39388393600176,75,-31.4072628342119
80,8,75,-2.97071807007255,75,-30.9840969682827
85,8,75,-2.55232390183708,75,-30.5657028000472
90,8,75,-2.16262644410758,75,-30.1760053423177
0,8,80,-6.44841811981583,80,-34.4617970180259
5,8,80,-6.41894550773249,80,-34.4323244059426
10,8,80,-6.41084995205144,80,-34.4242288502615
15,8,80,-6.4302658355499,80,-34.44364473376
20,8,80,-6.47011246668714,80,-34.4834913648973
