"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,8.65984999175046,0,0.410691701732887
5,8,0,8.65984999175047,0,0.410691701732891
10,8,0,8.65984999175047,0,0.410691701732892
15,8,0,8.65984999175047,0,0.410691701732891
20,8,0,8.65984999175047,0,0.410691701732892
25,8,0,8.65984999175047,0,0.410691701732891
30,8,0,8.65984999175047,0,0.410691701732891
35,8,0,8.65984999175047,0,0.410691701732891
40,8,0,8.65984999175046,0,0.410691701732889
45,8,0,8.65984999175047,0,0.410691701732891
50,8,0,8.65984999175046,0,0.410691701732889
55,8,0,8.65984999175047,0,0.410691701732891
60,8,0,8.65984999175046,0,0.410691701732889
65,8,0,8.65984999175047,0,0.410691701732891
70,8,0,8.65984999175046,0,0.410691701732889
75,8,0,8.65984999175047,0,0.410691701732892
80,8,0,8.65984999175046,0,0.410691701732889
85,8,0,8.65984999175047,0,0.410691701732892
90,8,0,8.65984999175047,0,0.410691701732891
0,8,5,8.55777591085064,5,0.308617620833063
5,8,5,8.55657019652324,5,0.307411906505667
10,8,5,8.55569236071659,5,0.306534070699015
15,8,5,8.55514227935141,5,0.305983989333833
20,8,5,8.55491404398597,5,0.305755753968395
25,8,5,8.55499641907881,5,0.305838129061233
30,8,5,8.55537346220994,5,0.306215172192365
35,8,5,8.55602527273039,5,0.30686698271282
40,8,5,8.55692882766865,5,0.30777053765108
45,8,5,8.55805886046936,5,0.30890057045178
50,8,5,8.55938873848881,5,0.310230448471238
55,8,5,8.56089129890206,5,0.311733008884485
60,8,5,8.56253960918251,5,0.31338131916493
65,8,5,8.56430762671896,5,0.31514933670139
70,8,5,8.56617074142492,5,0.317012451407343
75,8,5,8.56810619437731,5,0.318947904359738
80,8,5,8.57009337374448,5,0.320935083726904
85,8,5,8.57211399590435,5,0.322955705886775
90,8,5,8.57415218436234,5,0.324993894344764
0,8,10,8.30240706995105,10,0.0532487799334763
5,8,10,8.30025413743202,10,0.0510958474144409
10,8,10,8.29910324627059,10,0.0499449562530171
