"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,5466.91469748257,0,4163.97484939155,0,14.9495950997484,0,-23.1049977101848
0,8,5,5447.41437961667,5,4146.11593471462,5,-461.580303620195,5,-385.931396999597
0,8,10,5386.45594908315,10,4096.70257428127,10,-934.597297519781,10,-745.82062532609
0,8,15,5284.50333634609,15,4016.11083360099,15,-1400.50144165997,15,-1100.03370835505
0,8,20,5142.33246234907,20,3904.95406448298,20,-1855.74692418322,20,-1445.87487064491
0,8,25,4961.02533328835,25,3764.07823705852,25,-2296.86905208282,25,-1780.71205212605
0,8,30,4741.9618058923,30,3594.55550143747,30,-2720.51061960861,30,-2101.99693966717
0,8,35,4486.80908587858,35,3397.67602799853,35,-3123.44745862996,35,-2407.28436127698
0,8,40,4197.50903951194,40,3174.93818841364,40,-3502.61297650199,40,-2694.25089533942
0,8,45,3876.26341482935,45,2928.03715213483,45,-3855.1214946873,45,-2960.71255325517
0,8,50,3525.51708500807,50,2658.8519851311,50,-4178.29021051204,50,-3204.64140091352
0,8,55,3147.93944140446,55,2369.4313490618,55,-4469.65961491418,55,-3424.18099249554
0,8,60,2746.40407787396,60,2061.97790972437,60,-4727.01221079255,60,-3617.66049914765
0,8,65,2323.96692098671,65,1738.83157343765,65,-4948.38938949878,65,-3783.60742499812
0,8,70,1883.84297258116,70,1402.45167894185,70,-5132.10633703172,70,-3920.75881373973
0,8,75,1429.38184165878,75,1055.39828034582,75,-5276.76485648932,75,-4028.07086048988
0,8,80,964.042251837031,80,700.312663569455,80,-5381.26400919129,80,-4104.72685577601
0,8,85,491.365718374169,85,339.89724456298,85,-5444.80849348728,85,-4150.14340118785
0,8,90,14.9495950997473,90,-23.1049977101834,90,-5466.91469748257,90,-4163.97484939155
5,8,0,5507.72873805374,0,6680.16843791931,0,15.6117424905339,0,-35.0699382235018
5,8,5,5489.98142230282,5,6658.1975270941,5,-435.840722369832,5,-428.072899154697
5,8,10,5434.79397220561,10,6599.37413538675,10,-884.457477867166,10,-816.931376577274
5,8,15,5342.45247507557,15,6504.34911862573,15,-1327.26182879148,15,-1198.03473934595
5,8,20,5213.45689343873,20,6374.1551718875,20,-1761.28937750554,20,-1567.87147938679
5,8,25,5048.5239184052,25,6210.19206110377,25,-2183.60072206387,25,-1923.07314535255
5,8,30,4848.58930728643,30,6014.20637337788,30,-2591.29524483929,30,-2260.45631158156
5,8,35,4614.80950009073,35,5788.26593551111,35,-2981.52591794625,35,-2577.06182281599
5,8,40,4348.56235586048,40,5534.72916927311,40,-3351.51503446326,40,-2870.19051723353
5,8,45,4051.44688596601,45,5256.20979919599,45,-3698.57077780606,45,-3137.43461884451
5,8,50,3725.28188045458,50,4955.53749624908,50,-4020.10455841397,50,-3376.70401660892
5,8,55,3372.10332203992,55,4635.7152167461,55,-4313.64906796893,55,-3586.24672013526
5,8,60,2994.1604610942,60,4299.87416544414,60,-4576.87701694118,60,-3764.66290466888
5,8,65,2593.91038878196,65,3951.22745886139,65,-4807.62052270341,65,-3910.91213032301
5,8,70,2174.01090209335,70,3593.02367364331,70,-5003.89109662524,70,-4024.313535882
5,8,75,1737.3114136699,75,3228.50152185513,75,-5163.90013680037,75,-4104.5390547915
5,8,80,1286.84163092376,80,2860.84689071322,80,-5286.07976964801,80,-4151.59996493231
5,8,85,825.797721676995,85,2493.15341384718,85,-5369.1038035871,85,-4165.82734670225
5,8,90,357.525703388197,90,2128.38760570307,90,-5411.9084692718,90,-4147.84726725549
10,8,0,5448.41053529662,0,9064.91239709275,0,20.4978218130773,0,-37.8125594987813
10,8,5,5433.4184073781,5,9040.7251440536,5,-400.675214310474,5,-457.02900747495
10,8,10,5385.23311068346,10,8974.98975414344,10,-820.020970912975,10,-871.361979149218
10,8,15,5303.91378245483,15,8868.49675549615,15,-1235.07690300422,15,-1276.49794638653
10,8,20,5189.67978628747,20,8722.51512528473,20,-1643.33776904716,20,-1668.22889432809
10,8,25,5042.92221368559,25,8538.78455090379,25,-2042.2693693483,25,-2042.5095818625
10,8,30,4864.21141711515,30,8319.50138624803,30,-2429.32460124092,30,-2395.51738455069
10,8,35,4654.30081074117,35,8067.29645562819,35,-2801.96019932664,35,-2723.71372356541
10,8,40,4414.12781838426,40,7785.20300137248,40,-3157.65277986837,40,-3023.9053273466
10,8,45,4144.81329937507,45,7476.61350177544,45,-3493.91327939741,45,-3293.30288825428
10,8,50,3847.66096835215,50,7145.22478765237,50,-3808.29949203775,50,-3529.57416093583
10,8,55,3524.15821072338,55,6794.97180366073,55,-4098.42706609472,55,-3730.88829117281
10,8,60,3175.97929633907,60,6429.95140200772,60,-4361.97990597377,60,-3895.94822871947
10,8,65,2804.99137407426,65,6054.33859988452,65,-4596.72133722392,65,-4024.00849177649
10,8,70,2413.2628934063,70,5672.29864559232,70,-4800.50755531935,70,-4114.87629373099
10,8,75,2003.07337091196,75,5287.8988999757,75,-4971.30476039013,75,-4168.89504708227
10,8,80,1576.92282307879,80,4905.02485850759,80,-5107.21099714705,80,-4186.91042015773
10,8,85,1137.53882039464,85,4527.3045696509,85,-5206.48313344293,85,-4170.22031399315
10,8,90,687.879038277347,90,4158.04525229337,90,-5267.56871633118,90,-4120.5112239609
15,8,0,5304.89724333916,0,11180.8985997771,0,28.5257459597679,0,-32.3572164456039
15,8,5,5293.19427957509,5,11155.5291111371,5,-359.150092640098,5,-471.67689001561
15,8,10,5252.34066570625,10,11085.1695395246,10,-746.318129637138,10,-905.988745425747
15,8,15,5182.1458943485,15,10970.5815719896,15,-1130.84877450195,15,-1330.53641406431
15,8,20,5082.60598801625,20,10813.0124271871,20,-1510.50066395088,20,-1740.60384437154
15,8,25,4953.91829280288,25,10614.2179923317,25,-1882.95933996526,25,-2131.57088549621
15,8,30,4796.47884083762,30,10376.4853723529,30,-2245.87847678879,30,-2498.98422019457
15,8,35,4610.86476526254,35,10102.6484002086,35,-2596.91763662264,35,-2838.64343409486
15,8,40,4397.80673867992,40,9796.08891294097,40,-2933.77140180388,40,-3146.69969343291
15,8,45,4158.15820334694,45,9460.71673820962,45,-3254.18639851147,45,-3419.76199535393
15,8,50,3892.8688873042,50,9100.92263081907,50,-3555.9650265263,50,-3655.0036358206
15,8,55,3602.96951480101,55,8721.50088639906,55,-3836.95731110517,55,-3850.25988204937
15,8,60,3289.57272740428,60,8327.5417844034,60,-4095.04474200902,60,-4004.10726255648
15,8,65,2953.89232996886,65,7924.29786252855,65,-4328.12178121988,65,-4115.91563842487
15,8,70,2597.27960354104,70,7517.03164990709,70,-4534.08152730831,70,-4185.86626976401
15,8,75,2221.27224109587,75,7110.85525975966,75,-4710.81165297617,75,-4214.93214980803
15,8,80,1827.6490651464,80,6710.57370609805,80,-4856.20526973574,80,-4204.82045918366
15,8,85,1418.48248340131,85,6320.54376924763,85,-4968.18912791431,85,-4157.88053342712
15,8,90,996.180760521321,90,5944.5587792059,90,-5044.76896689072,90,-4076.98373183878
20,8,0,5093.48513197051,0,12921.6909255753,0,38.5144838388142,0,-21.5606548543113
20,8,5,5085.40078491607,5,12895.0365700537,5,-314.488626311711,5,-473.152216252504
20,8,10,5051.55311903533,10,12821.7005440643,10,-668.527257089624,10,-920.222081409974
20,8,15,4991.5181877614,15,12702.2837401456,15,-1021.59169207927,15,-1357.86478469426
20,8,20,4905.19542764269,20,12537.7573103048,20,-1371.48311936081,20,-1781.08466822456
20,8,25,4792.81396667302,25,12329.5298240146,25,-1715.90058616784,25,-2184.83157543655
20,8,30,4654.89443549498,30,12079.5336849099,30,-2052.52966941748,30,-2564.06955783878
20,8,35,4492.17292251181,35,11790.3200998342,35,-2379.12070571889,35,-2913.88304887758
20,8,40,4305.50029939586,40,11465.1459160583,40,-2693.545357005,40,-3229.62050750602
20,8,45,4095.73557031698,45,11108.0315592619,45,-2993.82289723158,45,-3507.06892713532
20,8,50,3863.65455498811,50,10723.7691872446,50,-3278.11215244357,50,-3742.64526861082
20,8,55,3609.89380492292,55,10317.8649382811,55,-3544.67108968748,55,-3933.58482642204
20,8,60,3334.94385689856,60,9896.40819600698,60,-3791.79246450908,60,-4078.10362197543
20,8,65,3039.1967543042,65,9465.87221164255,65,-4017.7291250258,65,-4175.51315193095
20,8,70,2723.04234386455,70,9032.86166219936,70,-4220.62513184424,70,-4226.27108019089
20,8,75,2386.99872794248,75,8603.83135748112,75,-4398.46811499242,75,-4231.95959311788
20,8,80,2031.85649313612,80,8184.80470104086,80,-4549.07454516877,80,-4195.19236109827
20,8,85,1658.81487851173,85,7781.1201439364,85,-4670.11392400174,85,-4119.45949503727
20,8,90,1269.59054316145,90,7397.22933119012,90,-4759.17167835036,90,-4008.9260660093
25,8,0,4828.52521750441,0,14222.6456886754,0,49.1686923461576,0,-8.85605395494501
25,8,5,4824.30599589109,5,14193.8801656279,5,-269.991805189827,5,-463.792203513717
25,8,10,4796.76174974566,10,14118.6592380145,10,-591.746862701816,10,-915.149562695898
25,8,15,4745.28411724304,15,13997.4125878851,15,-914.005450987154,15,-1358.153318042
25,8,20,4669.83944209946,20,13830.6918928085,20,-1234.43075930417,20,-1787.77853754389
25,8,25,4570.95511847676,25,13619.2572098868,25,-1550.58274847894,25,-2198.74267511282
25,8,30,4449.62028754466,30,13364.2298796012,30,-1860.05773965234,30,-2585.54533202341
25,8,35,4307.11038400388,35,13067.3062090703,35,-2160.61149874165,35,-2942.57456465945
25,8,40,4144.7599002123,40,12731.0024084334,40,-2450.25079371992,40,-3264.29184960151
25,8,45,3963.72239873595,45,12358.8810439579,45,-2727.2781960603,45,-3545.49201896688
25,8,50,3764.76569281486,50,11955.7010730435,50,-2990.27886101512,50,-3781.61488037874
25,8,55,3548.14816605202,55,11527.4412890063,55,-3238.04721586236,55,-3969.06856133527
25,8,60,3313.60767192593,60,11081.168960432,60,-3469.46411917117,60,-4105.51656123934
25,8,65,3060.470450412,65,10624.7552594307,65,-3683.34709719801,65,-4190.08356490493
25,8,70,2787.86116432385,70,10166.4684733271,70,-3878.30341108866,70,-4223.44806083823
25,8,75,2494.97468791603,75,9714.49767657718,75,-4052.61553794068,75,-4207.80876777492
25,8,80,2181.36132500163,80,9276.4691887317,80,-4204.18168919058,80,-4146.7318173999
25,8,85,1847.18053167569,85,8859.01517323325,85,-4330.52314745462,85,-4044.90211472103
25,8,90,1493.39023801133,90,8467.44079344018,90,-4428.8590282218,90,-3907.81234090081
30,8,0,4523.25661729242,0,15064.5304990854,0,59.0129170882727,0,2.95725446030622
30,8,5,4523.07176757151,5,15032.8183552886,5,-228.97657320065,5,-446.030997081253
30,8,10,4501.10304256603,10,14956.4841199123,10,-520.787944417177,10,-892.61659644084
30,8,15,4456.59661508385,15,14835.9716798116,15,-814.084102775616,15,-1332.38903025767
30,8,20,4389.69971452095,20,14671.4984759419,20,-1106.31466293846,20,-1760.544932799
30,8,25,4301.43126487324,25,14463.0670856464,25,-1394.89012293118,25,-2171.80889888015
30,8,30,4193.51458392162,30,14210.6355036397,30,-1677.33219459442,30,-2560.40326628452
30,8,35,4068.07537394485,35,13914.4716481623,35,-1951.40534280854,35,-2920.11912515238
30,8,40,3927.23885874119,40,13575.6485720318,40,-2215.22680446602,40,-3244.52934978335
30,8,45,3772.69541917714,45,13196.5742585402,45,-2467.3386116983,45,-3527.34957374226
30,8,50,3605.32892382131,50,12781.4191847605,50,-2706.71660020343,50,-3762.90835316696
30,8,55,3425.00101747803,55,12336.3176317387,55,-2932.69637622117,55,-3946.65127433897
30,8,60,3230.5521374419,60,11869.2694274917,60,-3144.81505538435,60,-4075.58899427019
30,8,65,3020.02467425177,65,11389.7389541988,65,-3342.59230730334,65,-4148.60976155353
30,8,70,2791.05590985568,70,10908.0151059653,70,-3525.2934846597,70,-4166.60673820163
30,8,75,2541.3503776403,75,10434.4410052184,75,-3691.72334049643,75,-4132.40817421312
30,8,80,2269.13567846917,80,9978.63680487982,80,-3840.09039561463,80,-4050.53325068013
30,8,85,1973.52952063365,85,9548.82451293142,85,-3967.9653011346,85,-3926.8210491557
30,8,90,1654.78312674233,90,9151.33011606285,90,-4072.3393913204,90,-3767.99177409817
35,8,0,4192.29947668552,0,15469.638870617,0,66.5074493297007,0,12.4272656576416
35,8,5,4196.24965119864,5,15434.6874224965,5,-194.474629186503,5,-421.675784369939
35,8,10,4179.49571971718,10,15357.7345397997,10,-459.741312491196,10,-854.613973656357
35,8,15,4141.10645233604,15,15239.6570335726,15,-726.577814014222,15,-1282.50989845616
35,8,20,4081.37531245096,20,15080.7475224466,20,-992.286920275335,20,-1700.99293708012
35,8,25,4001.80939815954,25,14880.4619340996,25,-1254.3327609058,25,-2105.02274538319
35,8,30,3904.92247683833,30,14637.4806125163,30,-1510.39563496177,30,-2488.7469825749
35,8,35,3793.80982224909,35,14350.1924088803,35,-1758.4058554639,35,-2845.50124721918
35,8,40,3671.5398302024,40,14017.5475055981,40,-1996.60895226993,40,-3168.04032014979
35,8,45,3540.47238526161,45,13640.0716187057,45,-2223.66685733102,45,-3449.02058175489
35,8,50,3401.67129774736,50,13220.755207724,50,-2438.7496521049,50,-3681.66587003488
35,8,55,3254.58121668123,55,12765.554764208,55,-2641.55003868573,55,-3860.48353032365
35,8,60,3097.07349005175,60,12283.3539046014,60,-2832.17046725623,60,-3981.88059005789
35,8,65,2925.85167853079,65,11785.3830491458,65,-3010.87960976765,65,-4044.562678527
35,8,70,2737.09554722663,70,11284.2327615552,70,-3177.78453048536,70,-4049.6597928642
35,8,75,2527.16348260616,75,10792.6759199436,75,-3332.49365443761,75,-4000.58608380084
35,8,80,2293.19023637686,80,10322.5226702285,80,-3473.84504056733,80,-3902.6863352561
35,8,85,2033.49196492207,85,9883.6813974753,85,-3599.75265188753,85,-3762.74440625811
35,8,90,1747.77820855589,90,9483.51825588553,90,-3707.19583388401,90,-3588.43332389214
40,8,0,3853.89850020657,0,15491.7294360988,0,70.3983026879872,0,19.5099090817627
40,8,5,3862.07870205636,5,15453.9158500833,5,-168.679451152372,5,-391.716665294276
40,8,10,3850.79668218874,10,15376.3413518234,10,-411.35390527637,10,-803.057349972561
40,8,15,3818.81172827981,15,15260.9491293762,15,-654.412540742782,15,-1211.26548676429
40,8,20,3766.34420838397,20,15108.8701891113,20,-895.210743038547,20,-1612.51781321374
40,8,25,3695.14218296258,25,14919.6148468115,25,-1131.69425038262,25,-2002.13536879216
40,8,30,3608.29599049706,30,14690.8077661369,30,-1362.18165650386,30,-2374.31383187552
40,8,35,3509.72838766613,35,14418.74565943,35,-1585.10897443682,35,-2722.04471308158
40,8,40,3403.3822970416,40,14099.7239897704,40,-1798.92314601839,40,-3037.37876029005
40,8,45,3292.26432122126,45,13731.7588952529,45,-2002.20104918845,45,-3312.06105227651
40,8,50,3177.6130274232,50,13316.1612807727,50,-2193.92647568958,50,-3538.41732287169
40,8,55,3058.47215219684,55,12858.4646588402,55,-2373.75814196998,55,-3710.27238206678
40,8,60,2931.82859971735,60,12368.4330657682,60,-2542.11664238067,60,-3823.67965253831
40,8,65,2793.2676418739,65,11859.1760069925,65,-2700.00099029363,65,-3877.32370270958
40,8,70,2637.90670963975,70,11345.6529517204,70,-2848.56350253603,70,-3872.57103852307
