"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,28.2102619156606,0,-35.9098279741123,0,529.554220056991,0,4997.4159397223
0,8,5,74.2566047263846,5,399.780317808286,5,525.080420042519,5,4981.52901103956
0,8,10,119.737809937777,10,832.427893978207,10,516.610440979297,10,4927.72963865335
0,8,15,164.307738115876,15,1258.74019124125,15,504.208744522309,15,4836.42726827248
0,8,20,207.627185195189,20,1675.47271560084,20,487.969715069943,20,4708.31676606543
0,8,25,249.366464026445,25,2079.45388091662,25,468.016941441725,25,4544.37313030922
0,8,30,289.207913494871,30,2467.60914659004,30,444.50227629278,30,4345.84407106385
0,8,35,326.848316113088,35,2836.98441667477,35,417.604680423433,35,4114.24051434528
0,8,40,362.001205689276,40,3184.76852233058,40,387.528860779465,40,3851.32510306621
0,8,45,394.399047507865,45,3508.31461651564,45,354.50371250864,45,3559.09878225912
0,8,50,423.795274430262,50,3805.16031809074,50,318.780576930431,50,3239.78557067643
0,8,55,449.966163419662,55,4073.04645202654,55,280.631328676806,55,2895.81563466489
0,8,60,472.71253820844,60,4309.93424308973,60,240.346306562122,60,2529.80679313226
0,8,65,491.861285149818,65,4514.02083215357,65,198.232103929431,65,2144.54459436479
0,8,70,507.266670717241,70,4683.75299704441,70,154.609235290021,70,1742.96111632277
0,8,75,518.811450624517,75,4817.83897350037,75,109.809697014446,75,1328.11265175683
0,8,80,526.40776212562,80,4915.25828627727,80,64.1744406396822,80,903.156447974688
0,8,85,529.99779270325,85,4975.26951558151,85,18.0507780220636,85,471.32667828268
0,8,90,529.554220056992,90,4997.4159397223,90,-28.2102619156602,90,35.9098279741124
5,8,0,16.6281708525095,0,-38.8952466592834,0,675.14192254766,0,4797.94129095553
5,8,5,115.092448481705,5,371.050557421919,5,666.103329088488,5,4783.86551615311
5,8,10,211.366772630674,10,778.594046998059,10,643.818947145784,10,4736.01537353802
5,8,15,303.520011054119,15,1181.10051925682,15,608.784508662057,15,4654.62853006802
5,8,20,389.728033284828,20,1575.94487532581,20,561.796745229416,20,4540.1229965218
5,8,25,468.322132808245,25,1960.52015873933,25,503.930822058262,25,4393.09992854298
5,8,30,537.832790251696,30,2332.24708011148,30,436.509796784852,30,4214.3466120364
5,8,35,597.027442863984,35,2688.58462778612,35,361.067062729625,35,4004.83942343269
5,8,40,644.94112701622,40,3027.04183323699,40,279.30296590401,40,3765.7465517221
5,8,45,680.899102744364,45,3345.19073425837,45,193.036969793744,45,3498.43026710841
5,8,50,704.53084133729,50,3640.68055729244,50,104.156874149311,50,3204.44851803491
5,8,55,715.775046179999,55,3911.25312048,55,14.5666692784139,55,2885.5556322351
5,8,60,714.8756706865,60,4154.75943844359,60,-73.8653754206747,60,2543.70188733819
5,8,65,702.369183023123,65,4369.17748533878,65,-159.356828647028,65,2181.03170254348
5,8,70,679.063594688059,70,4552.6310413299,70,-240.257949944246,70,1799.88018636116
5,8,75,646.01001014109,75,4703.40950686979,75,-315.093942102263,75,1402.76775905038
5,8,80,604.467661134107,80,4819.98851745424,80,-382.601437907552,80,992.392555896406
5,8,85,555.863558056483,85,4901.05112869762,85,-441.758254354985,85,571.620313335182
5,8,90,501.748019446646,90,4945.50926907035,90,-491.805665338575,90,143.471448898776
10,8,0,5.59577243533651,0,-42.4669508830939,0,792.449817729954,0,4527.26779924439
10,8,5,150.71331054296,5,338.080305479392,5,779.117556288868,5,4516.14482188097
10,8,10,292.118650772056,10,716.986679171725,10,743.835736156568,10,4475.40701369564
10,8,15,426.366939220638,15,1092.17438222446,15,687.514347061156,15,4405.09420897263
10,8,20,550.217215707507,20,1461.53573407403,20,611.634749708237,20,4305.35433196013
10,8,25,660.72937050898,25,1822.93472490246,25,518.205103760624,25,4176.45393447399
