"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-1.0204049009358,0,-1.66542763179869
5,8,0,-1.0204049009358,0,-1.66542763179869
10,8,0,-1.0204049009358,0,-1.66542763179869
15,8,0,-1.0204049009358,0,-1.66542763179869
20,8,0,-1.0204049009358,0,-1.66542763179869
25,8,0,-1.0204049009358,0,-1.66542763179869
30,8,0,-1.0204049009358,0,-1.66542763179869
35,8,0,-1.02040490093579,0,-1.66542763179869
40,8,0,-1.02040490093579,0,-1.66542763179869
45,8,0,-1.0204049009358,0,-1.66542763179869
50,8,0,-1.0204049009358,0,-1.66542763179869
55,8,0,-1.0204049009358,0,-1.66542763179869
60,8,0,-1.0204049009358,0,-1.66542763179869
65,8,0,-1.0204049009358,0,-1.66542763179869
70,8,0,-1.0204049009358,0,-1.66542763179869
75,8,0,-1.0204049009358,0,-1.66542763179869
80,8,0,-1.0204049009358,0,-1.66542763179869
85,8,0,-1.0204049009358,0,-1.66542763179869
90,8,0,-1.0204049009358,0,-1.66542763179869
0,8,5,1.49781156429681,5,0.852788833433914
5,8,5,1.49500427715275,5,0.849981546289857
10,8,5,1.47896806980707,5,0.833945338944179
15,8,5,1.44964751946457,5,0.804624788601674
20,8,5,1.40699340928244,5,0.761970678419544
25,8,5,1.35096528661165,5,0.705942555748755
30,8,5,1.28153450108974,5,0.636511770226852
35,8,5,1.19868772796267,5,0.553664997099781
40,8,5,1.10243100427918,5,0.457408273416286
45,8,5,0.99279433430744,5,0.347771603444547
50,8,5,0.869836956441309,5,0.224814225578417
55,8,5,0.73365340744966,5,0.0886306765867685
60,8,5,0.584380571193279,5,-0.0606421596696135
65,8,5,0.4222059572965,5,-0.222816773566393
70,8,5,0.247377519248013,5,-0.397645211614879
75,8,5,0.0602153882399732,5,-0.584807342622919
80,8,5,-0.138874036060361,5,-0.783896766923254
85,8,5,-0.349381141607963,5,-0.994403872470855
90,8,5,-0.570672778338984,5,-1.21569550920188
0,8,10,3.38798800983801,10,2.74296527897512
5,8,10,3.38722008062693,10,2.74219734976403
10,8,10,3.36871156908842,10,2.72368883822553
15,8,10,3.33223319156898,10,2.68721046070608
20,8,10,3.2775244042195,10,2.63250167335661
25,8,10,3.20429985766733,10,2.55927712680443
30,8,10,3.11225614574256,10,2.46723341487966
35,8,10,3.00107851513434,10,2.35605578427145
40,8,10,2.87044716464614,10,2.22542443378325
45,8,10,2.72004275910499,10,2.07502002824209
50,8,10,2.54955082616568,10,1.90452809530279
55,8,10,2.35866480059512,10,1.71364206973222
60,8,10,2.14708762979612,10,1.50206489893323
65,8,10,1.91453205076135,10,1.26950931989846
70,8,10,1.66071988517924,10,1.01569715431635
75,8,10,1.38538097270982,10,0.740358241846932
80,8,10,1.08825267941608,10,0.443229948553191
85,8,10,0.769081302843328,10,0.124058571980435
90,8,10,0.4276271945729,10,-0.217395536289992
0,8,15,4.76881576790207,15,4.12379303703918
5,8,15,4.77069729784563,15,4.12567456698274
10,8,15,4.75348814747794,15,4.10846541661505
15,8,15,4.71677254818347,15,4.07174981732058
20,8,15,4.6600756835161,15,4.01505295265321
25,8,15,4.58288036229662,15,3.93785763143373
30,8,15,4.48464613510712,15,3.83962340424423
35,8,15,4.36482985786944,15,3.71980712700655
40,8,15,4.22290622325934,15,3.57788349239645
45,8,15,4.05838646366032,15,3.41336373279743
50,8,15,3.87083338805084,15,3.22581065718795
55,8,15,3.65987119610703,15,3.01484846524414
60,8,15,3.42518908584715,15,2.78016635498425
65,8,15,3.16653843794663,15,2.52151570708374
70,8,15,2.8837241804998,15,2.23870144963691
75,8,15,2.57659166964263,15,1.93156893877973
80,8,15,2.24501095967971,15,1.59998822881682
85,8,15,1.88886065086449,15,1.2438379200016
90,8,15,1.50801366135517,15,0.862990930492282
0,8,20,5.73732392188214,20,5.09230119101925
5,8,20,5.74123655810015,20,5.09621382723726
10,8,20,5.7261068224259,20,5.08108409156301
15,8,20,5.69131217470948,20,5.04628944384659
20,8,20,5.63612707982195,20,4.99110434895906
25,8,20,5.55975445242843,20,4.91473172156554
30,8,20,5.46136702686223,20,4.81634429599933
35,8,20,5.34015688208442,20,4.69513415122153
40,8,20,5.19538898050116,20,4.55036624963827
45,8,20,5.02645282653853,20,4.38143009567564
50,8,20,4.83290579564698,20,4.18788306478409
55,8,20,4.61450257639833,20,3.96947984553544
60,8,20,4.37120735743675,20,3.72618462657386
65,8,20,4.10318837461172,20,3.45816564374883
70,8,20,3.81079749913364,20,3.16577476827074
75,8,20,3.49453996703531,20,2.84951723617242
80,8,20,3.15504057557446,20,2.51001784471157
85,8,20,2.79301248696181,20,2.14798975609892
90,8,20,2.40923337505282,20,1.76421064418993
0,8,25,6.36701609511055,25,5.72199336424766
5,8,25,6.37221885512418,25,5.72719612426128
10,8,25,6.35916709840774,25,5.71414436754485
15,8,25,6.32701952683983,25,5.68199679597694
20,8,25,6.27475632714326,25,5.62973359628037
25,8,25,6.20122172560707,25,5.55619899474418
30,8,25,6.10519398655982,25,5.46017125569692
35,8,25,5.98548159502161,25,5.34045886415872
40,8,25,5.84103613323578,25,5.19601340237289
45,8,25,5.67106585784034,25,5.02604312697745
50,8,25,5.4751314198165,25,4.83010868895361
55,8,25,5.2532075158149,25,4.608184784952
60,8,25,5.00570098584583,25,4.36067825498294
65,8,25,4.7334251494637,25,4.0884024186008
70,8,25,4.43753943107148,25,3.79251670020859
75,8,25,4.1194699854632,25,3.47444725460031
80,8,25,3.78082923267939,25,3.1358065018165
85,8,25,3.42334934993214,25,2.77832661906925
90,8,25,3.04883775566302,25,2.40381502480013
0,8,30,6.71573373946643,30,6.07071100860353
5,8,30,6.72173719980833,30,6.07671446894544
10,8,30,6.71062305060412,30,6.06560031974123
15,8,30,6.6813595697856,30,6.0363368389227
20,8,30,6.63263361650749,30,5.9876108856446
25,8,30,6.56288063608295,30,5.91785790522005
30,8,30,6.47037691415558,30,5.82535418329269
35,8,30,6.35339918568198,30,5.70837645481908
40,8,30,6.21043337964735,30,5.56541064878445
45,8,30,6.04039488636493,30,5.39537215550204
50,8,30,5.84281418619304,30,5.19779145533014
55,8,30,5.61794706729996,30,4.97292433643707
60,8,30,5.36678647115434,30,4.72176374029145
65,8,30,5.09097785666721,30,4.44595512580432
70,8,30,4.79266430556656,30,4.14764157470367
75,8,30,4.47430379517437,30,3.82928106431147
80,8,30,4.13850375649124,30,3.49348102562834
85,8,30,3.78790598863623,30,3.14288325777334
90,8,30,3.42513197463918,30,2.78010924377628
0,8,35,6.83153790930095,35,6.18651517843806
5,8,35,6.83807738515154,35,6.19305465428865
10,8,35,6.82858058932193,35,6.18355785845904
15,8,35,6.80194357103283,35,6.15692084016994
20,8,35,6.75667662978221,35,6.11165389891931
25,8,35,6.69085885449417,35,6.04583612363128
30,8,35,6.60221810894146,35,5.95719537807857
35,8,35,6.48836375670366,35,5.84334102584076
40,8,35,6.34714197737006,35,5.70211924650717
45,8,35,6.17703377010541,35,5.53201103924252
50,8,35,5.97749226452342,35,5.33246953366053
55,8,35,5.74912706478205,35,5.10410433391916
60,8,35,5.4936853229979,35,4.84866259213501
65,8,35,5.21383869168585,35,4.56881596082296
70,8,35,4.9128431705805,35,4.26782043971761
75,8,35,4.5941752055173,35,3.9491524746544
80,8,35,4.26124771118228,35,3.61622498031939
85,8,35,3.91727159668077,35,3.27224886581788
90,8,35,3.565264777185,35,2.92024204632211
0,8,40,6.75617493511143,40,6.11115220424854
5,8,40,6.76296459458284,40,6.11794186371995
10,8,40,6.75425420192533,40,6.10923147106244
15,8,40,6.72913583369771,40,6.08411310283481
20,8,40,6.68625394530135,40,6.04123121443846
25,8,40,6.62355970139007,40,5.97853697052718
30,8,40,6.53829812096336,40,5.89327539010046
35,8,40,6.42731015136147,40,5.78228742049858
40,8,40,6.28760602885497,40,5.64258329799208
45,8,40,6.11705336664227,40,5.47203063577938
50,8,40,5.91496753792035,40,5.26994480705746
55,8,40,5.6824125505662,40,5.03738981970331
60,8,40,5.42210968846168,40,4.77708695759879
65,8,40,5.13798009167103,40,4.49295736080813
70,8,40,4.83447401378904,40,4.18945128292615
75,8,40,4.51591603418586,40,3.87089330332297
80,8,40,4.18608499935448,40,3.54106226849159
85,8,40,3.84814561801425,40,3.20312288715136
90,8,40,3.50489431569399,40,2.8598715848311
0,8,45,6.52669711707634,45,5.88167438621345
5,8,45,6.53314754876146,45,5.88812481789857
10,8,45,6.52355818817088,45,5.87853545730799
15,8,45,6.49767982635432,45,5.85265709549143
20,8,45,6.45484836932587,45,5.80982563846298
25,8,45,6.39333769438888,45,5.74831496352598
30,8,45,6.31011370401488,45,5.66509097315198
35,8,45,6.20118276707992,45,5.55616003621703
40,8,45,6.06248117991675,45,5.41745844905385
45,8,45,5.89102172351446,45,5.24599899265156
50,8,45,5.68589434779944,45,5.04087161693655
55,8,45,5.44875194648767,45,4.80372921562477
60,8,45,5.18358367008218,45,4.53856093921929
65,8,45,4.89583383417745,45,4.25081110331456
70,8,45,4.59118086432366,45,3.94615813346077
75,8,45,4.27444193133478,45,3.62941920047189
80,8,45,3.94902698013259,45,3.3040042492697
85,8,45,3.61712652717544,45,2.97210379631255
90,8,45,3.28048688480744,45,2.63546415394454
0,8,50,6.17571342886346,50,5.53069069800057
5,8,50,6.18077960414726,50,5.53575687328437
10,8,50,6.16773334256063,50,5.52271061169774
15,8,50,6.13763301971044,50,5.49261028884755
20,8,50,6.0912980776597,50,5.44627534679681
25,8,50,6.02799010671921,50,5.38296737585632
30,8,50,5.94473141451976,50,5.29970868365687
35,8,50,5.83665057849829,50,5.1916278476354
40,8,50,5.69830994959119,50,5.0532872187283
45,8,50,5.52554031732379,50,4.8805175864609
50,8,50,5.31707489718052,50,4.67205216631763
55,8,50,5.07532222887382,50,4.43029949801093
60,8,50,4.80591950631598,50,4.16089677545309
65,8,50,4.5161758795794,50,3.87115314871651
70,8,50,4.21299823041184,50,3.56797549954895
75,8,50,3.90116907809238,50,3.25614634722948
80,8,50,3.58272659533253,50,2.93770386446964
85,8,50,3.25769312453958,50,2.61267039367669
90,8,50,2.92577320114409,50,2.2807504702812
0,8,55,5.73078903739767,55,5.08576630653478
5,8,55,5.73303585179495,55,5.08801312093206
10,8,55,5.71332186758223,55,5.06829913671933
15,8,55,5.67476524966576,55,5.02974251880287
20,8,55,5.62059879038542,55,4.97557605952253
25,8,55,5.55187741035897,55,4.90685467949608
30,8,55,5.4661097740132,55,4.82108704315031
35,8,55,5.35751580808517,55,4.71249307722228
40,8,55,5.21892092508168,55,4.57389819421879
45,8,55,5.04455757657083,55,4.39953484570794
50,8,55,4.8326180471219,55,4.18759531625901
55,8,55,4.58645359263001,55,3.94143086176711
60,8,55,4.31380638771114,55,3.66878365684825
65,8,55,4.02425939464914,55,3.37923666378625
70,8,55,3.72593757511852,55,3.08091484425563
75,8,55,3.42295981684225,55,2.77793708597936
80,8,55,3.11485075590173,55,2.46982802503884
85,8,55,2.79816433623277,55,2.15314160536988
90,8,55,2.46952771983288,55,1.82450498896998
0,8,60,5.21365306065659,60,4.5686303297937
5,8,60,5.21150281198986,60,4.56648008112697
10,8,60,5.18184148031654,60,4.53681874945365
15,8,60,5.13056323672818,60,4.48554050586528
20,8,60,5.0642191386622,60,4.41919640779931
25,8,60,4.9864771362807,60,4.34145440541781
30,8,60,4.89579499077729,60,4.2507722599144
35,8,60,4.7854611494885,60,4.14043841862561
40,8,60,4.64616264462191,60,4.00113991375902
45,8,60,4.47005144281975,60,3.82502871195685
50,8,60,4.25454420054065,60,3.60952146967776
55,8,60,4.00411853957966,60,3.35909580871677
60,8,60,3.72911645615372,60,3.08409372529083
65,8,60,3.44184474887125,60,2.79682201800836
70,8,60,3.15165344303777,60,2.50663071217488
75,8,60,2.86138718187225,60,2.21636445100936
80,8,60,2.56698596693307,60,1.92196323607018
85,8,60,2.26036093562884,60,1.61533820476595
90,8,60,1.93413116079391,60,1.28910842993102
0,8,65,4.63982950182208,65,3.99480677095918
5,8,65,4.6318576999033,65,3.98683496904041
10,8,65,4.58952021275801,65,3.94449748189512
15,8,65,4.52202925328639,65,3.8770065224235
20,8,65,4.43996604152023,65,3.79494331065734
25,8,65,4.35030393728991,65,3.70528120642702
30,8,65,4.25286923989317,65,3.60784650903028
35,8,65,4.13999778741704,65,3.49497505655415
40,8,65,3.99983580763652,65,3.35481307677363
45,8,65,3.82194881957185,65,3.17692608870896
50,8,65,3.60270451119626,65,2.95768178033337
55,8,65,3.34785410569797,65,2.70283137483508
60,8,65,3.0708108950029,65,2.42578816414001
65,8,65,2.78705475285333,65,2.14203202199044
70,8,65,2.5072213046878,65,1.86219857382491
75,8,65,2.23243320122978,65,1.58741047036689
80,8,65,1.95426599281625,65,1.30924326195336
85,8,65,1.65915003553509,65,1.0141273046722
90,8,65,1.33498154129696,65,0.689958810434073
0,8,70,4.01895540837251,70,3.37393267750961
5,8,70,4.00409174162423,70,3.35906901076134
10,8,70,3.94732341114748,70,3.30230068028458
15,8,70,3.86147330677214,70,3.21645057590924
20,8,70,3.76156707553069,70,3.11654434466779
25,8,70,3.65834075075706,70,3.01331801989417
30,8,70,3.55328972435238,70,2.90826699348949
35,8,70,3.43775734904192,70,2.79273461817902
40,8,70,3.29697354995706,70,2.65195081909417
45,8,70,3.11742951519095,70,2.47240678432806
50,8,70,2.89414504272558,70,2.24912231186268
55,8,70,2.63421752215987,70,1.98919479129698
60,8,70,2.35451194817516,70,1.70948921731226
65,8,70,2.07409311110922,70,1.42907038024633
70,8,70,1.80504509136512,70,1.16002236050223
75,8,70,1.5466148125335,70,0.901592081670609
80,8,70,1.28567546681076,70,0.640652735947866
85,8,70,1.00277738947315,70,0.357754658610254
90,8,70,0.680625210076715,70,0.0356024792138221
0,8,75,3.35560552788574,75,2.71058279702284
5,8,75,3.3331776632754,75,2.68815493241251
10,8,75,3.26130252616663,75,2.61627979530374
15,8,75,3.15646800689164,75,2.51144527602875
20,8,75,3.03825396497545,75,2.39323123411256
