"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-35.0609837923488,0,113.250671119831,0,-2650.34810247333,0,3271.38964354181
0,8,5,-265.920623574728,5,397.940112324791,5,-2637.20696169756,5,3249.07057193048
0,8,10,-494.75644684444,10,679.60098899215,10,-2603.99508355417,10,3202.0241114243
0,8,15,-719.826874811557,15,956.089691778982,15,-2550.96523048972,15,3130.60831399517
0,8,20,-939.418985618006,20,1225.30197470864,20,-2478.52099170632,20,3035.36669698355
0,8,25,-1151.86155070721,25,1485.1889697532,25,-2387.21371160414,25,2917.02410660336
0,8,30,-1355.53775388251,30,1733.77277995631,30,-2277.73829371761,30,2776.48120142461
0,8,35,-1548.89749625469,35,1969.16153242334,35,-2150.9279120799,35,2614.80759781783
0,8,40,-1730.4691934305,40,2189.56377661638,40,-2007.74767026548,40,2433.23372952767
0,8,45,-1898.87097515843,45,2393.30211837462,45,-1849.28725636915,45,2233.1414833291
0,8,50,-2052.82120219576,50,2578.82598589669,50,-1676.75264982167,50,2016.0536820347
0,8,55,-2191.14822035705,55,2744.72343052839,55,-1491.45694315812,55,1783.62249489352
0,8,60,-2312.79927750996,60,2889.73187254444,60,-1294.81034859081,60,1537.6168635855
0,8,65,-2416.84853565463,65,3012.74771014262,65,-1088.30946544287,65,1279.90903950714
0,8,70,-2502.50411710992,70,3112.83471851981,70,-873.525890123676,70,1012.46033480792
0,8,75,-2569.1141311807,75,3189.23117510808,75,-652.094255331292,75,737.306195620553
0,8,80,-2616.17163543968,80,3241.35565674333,80,-425.699789510559,80,456.540711086859
0,8,85,-2643.31849386533,85,3268.81146464672,85,-196.06549124709,85,172.300676074975
0,8,90,-2650.34810247333,90,3271.38964354181,90,35.0609837923489,90,-113.25067111983
5,8,0,-27.843510549314,0,119.763450746257,0,-2854.78584409855,0,3271.75144731804
5,8,5,-260.679094444311,5,384.729156839435,5,-2840.6942314754,5,3250.854587858
5,8,10,-491.367441542752,10,647.171192018155,10,-2806.51482124997,10,3209.00872754595
5,8,15,-718.187914419723,15,905.551975927782,15,-2752.50995589331,15,3146.44245183341
5,8,20,-939.448646338612,20,1158.34401023801,20,-2679.08959252156,20,3063.46098185316
5,8,25,-1153.49988698123,25,1404.02701625511,25,-2586.8086012756,25,2960.44841955746
5,8,30,-1358.74711442133,30,1641.08600081784,30,-2476.36253422487,30,2837.87206496419
5,8,35,-1553.66361880603,35,1868.01076945078,35,-2348.58188935232,35,2696.28854676787
5,8,40,-1736.80227534202,40,2083.29733995309,40,-2204.42498219607,40,2536.3513966353
5,8,45,-1906.80626711098,45,2285.4516225108,45,-2044.96961772077,45,2358.81960445449
5,8,50,-2062.41858726479,50,2472.9956287883,50,-1871.40381581715,50,2164.56661993255
5,8,55,-2202.49023652896,55,2644.47635719096,55,-1685.01587688475,55,1954.58921723736
5,8,60,-2325.98712419614,60,2798.47737938247,60,-1487.18407464082,60,1730.01561477335
5,8,65,-2431.99576652889,65,2933.63302869574,65,-1279.36623177473,65,1492.11224179399
5,8,70,-2519.72794437667,70,3048.64496850911,70,-1063.0893751863,70,1242.28856695336
5,8,75,-2588.52452331105,75,3142.30080197315,75,-839.939589991189,75,982.09945026166
5,8,80,-2637.85865017624,80,3213.49427757853,80,-611.552106282071,80,713.244548055658
5,8,85,-2667.33851961018,85,3261.24655186818,85,-379.601571401338,85,437.564388895257
5,8,90,-2676.7098569866,90,3284.72789503485,90,-145.792393628038,90,157.032844476661
10,8,0,-18.1345360936913,0,118.407617456203,0,-3140.96312626165,0,3202.64277299377
10,8,5,-261.145764855435,5,366.123687836711,5,-3126.88759586298,5,3182.56661885244
10,8,10,-502.083344359686,10,611.597728967644,10,-3091.87489900006,10,3145.71367675672
10,8,15,-739.126551262485,15,853.883454794739,15,-3036.11810137182,15,3092.23833684722
10,8,20,-970.462213314128,20,1092.02846967743,20,-2959.98338474064,20,3022.25057583553
10,8,25,-1194.30829794408,25,1325.04987788869,25,-2864.01471261706,25,2935.82346267447
10,8,30,-1408.93936832734,30,1551.91224076913,30,-2748.93261202623,30,2833.00715797862
10,8,35,-1612.71179312506,35,1771.50918203169,35,-2615.62653501777,35,2713.84854061232
10,8,40,-1804.08648342367,40,1982.64970543635,40,-2465.14113073242,40,2578.41537819991
10,8,45,-1981.64718505911,45,2184.05003565063,45,-2298.65761156083,45,2426.82383104602
10,8,50,-2144.11294730929,50,2374.33154374341,50,-2117.47207544873,50,2259.26802795734
10,8,55,-2290.3442191108,55,2552.02508729858,55,-1922.9730199846,55,2076.05045634292
10,8,60,-2419.34293940891,60,2715.58188648666,60,-1716.6202820253,60,1877.6119427918
10,8,65,-2530.24781947181,65,2863.39086761497,65,-1499.92726583345,65,1664.56004126617
10,8,70,-2622.32661354382,70,2993.80222385692,70,-1274.44766420672,70,1437.69467890889
10,8,75,-2694.96744509425,75,3105.15675507265,75,-1041.76706567805,75,1198.02993069757
10,8,80,-2747.67117531148,80,3195.82034250362,80,-803.499031747274,80,946.810813423786
10,8,85,-2780.04641481112,85,3264.2226837051,85,-561.284561086439,85,685.524028073415
10,8,90,-2791.80818770952,90,3308.8991628347,90,-316.793428658975,90,415.901666174681
15,8,0,-7.61501559418087,0,110.534818649889,0,-3473.81859884219,0,3078.08736955189
15,8,5,-266.31225439102,5,346.345182811306,5,-3461.62422941317,5,3058.29526434143
15,8,10,-523.450406940091,10,579.964280147996,10,-3427.18226191161,10,3025.89390030726
15,8,15,-777.041986072912,15,810.926496412289,15,-3370.43627611159,15,2980.99237618187
15,8,20,-1025.02747942918,20,1038.75335989625,20,-3291.5554742605,20,2923.53895542596
15,8,25,-1265.32199614012,25,1262.91184781604,25,-3190.96795873975,25,2853.33721184016
15,8,30,-1495.87404702712,30,1482.77670228144,30,-3069.37635758301,30,2770.07221806074
15,8,35,-1714.72885451655,35,1697.59826230008,35,-2927.75187399939,35,2673.34448574706
15,8,40,-1920.08713915517,40,1906.47688642771,40,-2767.30654791793,40,2562.70927807534
15,8,45,-2110.35070204109,45,2108.34467095319,45,-2589.44753098582,45,2437.71911161937
15,8,50,-2284.14836613895,50,2301.95490433347,50,-2395.72055310373,50,2297.9676829974
15,8,55,-2440.33950462637,55,2485.87955712873,55,-2187.7516659815,55,2143.13398108562
15,8,60,-2577.99662651623,60,2658.51507005622,60,-1967.19631589912,60,1973.02583452247
15,8,65,-2696.37230729298,65,2818.09672193221,65,-1735.70286207284,65,1787.62246004001
15,8,70,-2794.85827768258,70,2962.72186835787,70,-1494.89435205867,70,1587.11562559664
15,8,75,-2872.94522529244,75,3090.38227562691,75,-1246.36854807201,75,1371.94879452241
15,8,80,-2930.19081787083,80,3199.00557991919,80,-991.712784234383,80,1142.85311591299
15,8,85,-2966.20106151238,85,3286.50554488154,85,-732.527940481784,85,900.878479706096
15,8,90,-2980.62707025791,90,3350.8402570655,90,-470.454988237492,90,647.417218426073
20,8,0,1.06942510875677,0,98.5530362625408,0,-3811.02512399826,0,2919.07295194406
20,8,5,-274.76761237459,5,330.418503078185,5,-3802.74274314947,5,2899.57158565552
20,8,10,-550.1271716922,10,559.983585248733,10,-3770.99523157057,10,2871.16367711474
20,8,15,-822.92084938762,15,787.03100888884,15,-3715.23156672732,15,2833.88988499844
20,8,20,-1090.81299583345,20,1011.33410563513,20,-3635.1819035754,20,2787.54472867629
20,8,25,-1351.29335616018,25,1232.61292286165,25,-3530.95803514609,25,2731.70775745856
20,8,30,-1601.7915889242,30,1450.49404058363,30,-3403.11669116601,30,2665.78557160736
20,8,35,-1839.81621757145,35,1664.4744689494,35,-3252.67046177491,35,2589.06011287409
20,8,40,-2063.09318796363,40,1873.88973563154,40,-3081.04146568809,40,2500.73867439715
20,8,45,-2269.67752959701,45,2077.88627061205,45,-2889.9655284559,45,2400.00195039064
20,8,50,-2458.01672009447,50,2275.39854332686,50,-2681.36608586505,50,2286.0480859258
20,8,55,-2626.95517006149,55,2465.13203918925,55,-2457.22383930891,55,2158.13270748197
20,8,60,-2775.68280960033,60,2645.553845681,60,-2219.46826813333,60,2015.60674332318
20,8,65,-2903.64319318622,65,2814.89304776898,65,-1969.91050266633,65,1857.95494913662
20,8,70,-3010.42442975569,70,2971.15309187972,70,-1710.2259506777,70,1684.83814173723
20,8,75,-3095.65777864582,75,3112.13775764103,75,-1441.98288400389,75,1496.14120891337
20,8,80,-3158.9441888112,80,3235.49156868077,80,-1166.70336436649,80,1292.02722405008
20,8,85,-3199.82039417492,85,3338.75463414087,85,-885.937724868451,85,1072.99575949259
20,8,90,-3217.76625530286,90,3419.43117953919,90,-601.333944591297,90,839.941082771413
25,8,0,5.2574301500336,0,84.9894464961009,0,-4111.79466870824,0,2748.56580654054
25,8,5,-284.977529501476,5,321.852201050079,5,-4108.6612637897,5,2730.1982422652
25,8,10,-576.24659960972,10,556.279668258242,10,-4081.47570409392,10,2705.7738406959
25,8,15,-866.609221590766,15,787.984954405705,15,-4028.98519644634,15,2675.19891675077
25,8,20,-1153.59874430469,20,1016.68918870174,20,-3950.22876101897,20,2638.10208130669
25,8,25,-1434.29230977615,25,1242.10023313994,25,-3844.75215115387,25,2593.88328241392
25,8,30,-1705.48396173403,30,1463.89042334429,30,-3712.76679722853,30,2541.77320492707
25,8,35,-1963.93505359764,35,1681.67020742792,35,-3555.21104372215,35,2480.89576176823
25,8,40,-2206.65158666253,40,1894.95467151944,40,-3373.69273605744,40,2410.3248616554
25,8,45,-2431.12597617759,45,2103.12126382641,45,-3170.32249938806,45,2329.12784468813
25,8,50,-2635.48680812846,50,2305.3599496742,50,-2947.47718087811,50,2236.39219393167
25,8,55,-2818.52377459737,55,2500.62098471691,55,-2707.5521947171,55,2131.23800148484
25,8,60,-2979.58869214534,60,2687.56897247172,60,-2452.76282128581,60,2012.82392953941
25,8,65,-3118.40595431203,65,2864.55312801584,65,-2185.03760576936,65,1880.35710493544
25,8,70,-3234.84646000347,70,3029.60175133432,70,-1906.01847434639,70,1733.11682820171
25,8,75,-3328.72254305133,75,3180.44436961895,75,-1617.15236487521,75,1570.49887141623
25,8,80,-3399.64884744512,80,3314.55974597574,80,-1319.8375950313,80,1392.08289000364
25,8,85,-3446.99172651243,85,3429.24426195632,85,-1015.58007884928,85,1197.72120311535
25,8,90,-3469.90573385559,90,3521.69446063945,90,-706.119685167446,90,987.643172432484
30,8,0,3.32227910904143,0,71.7882589409791,0,-4344.27377499691,0,2586.90063205519
30,8,5,-295.461233570204,5,321.304901791492,5,-4345.94068113094,5,2571.15582299283
30,8,10,-596.767896435636,10,568.395386941576,10,-4323.9028953317,10,2551.13175218299
30,8,15,-899.210765752013,15,812.392195820488,15,-4276.18145846001,15,2526.54887080372
30,8,20,-1200.55535843985,20,1052.66010275941,20,-4200.99704355835,20,2496.87647589958
30,8,25,-1497.70444862504,25,1288.62529384118,25,-4097.12923834869,25,2461.38690363393
30,8,30,-1786.87840742984,30,1519.79748192324,30,-3964.22302160212,30,2419.22758088221
30,8,35,-2063.97741654955,35,1745.77418402007,35,-3802.95327520963,35,2369.50159960176
30,8,40,-2325.05101724136,40,1966.21471185039,40,-3614.9881787909,40,2311.33750962138
30,8,45,-2566.75652023765,45,2180.77458187086,45,-3402.75041545124,45,2243.92797302698
30,8,50,-2786.68205185243,50,2389.00099750982,50,-3169.04043739604,50,2166.52674737367
30,8,55,-2983.44841518472,55,2590.20466697568,55,-2916.63158811352,55,2078.40974285065
30,8,60,-3156.57278660739,60,2783.33630588157,60,-2647.95306049367,60,1978.82049707229
30,8,65,-3306.14940988656,65,2966.90054459739,65,-2364.94158793937,65,1866.92641621649
30,8,70,-3432.45073681793,70,3138.93180172976,70,-2069.08279425587,70,1741.80781449791
30,8,75,-3535.56228253243,75,3297.03841337396,75,-1761.60364896657,75,1602.49106693943
30,8,80,-3615.13854313017,80,3438.5008395938,80,-1443.73985327117,80,1448.02649676792
30,8,85,-3670.32127296066,85,3560.396435511,85,-1116.99465779328,85,1277.60543731518
30,8,90,-3699.8141869436,90,3659.72278098963,90,-783.32353358746,90,1090.70910915107
