"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-0.839006767445555,0,-4.53095378946143
5,8,0,-0.839006767445558,0,-4.53095378946144
10,8,0,-0.839006767445555,0,-4.53095378946143
15,8,0,-0.839006767445555,0,-4.53095378946143
20,8,0,-0.839006767445558,0,-4.53095378946144
25,8,0,-0.839006767445557,0,-4.53095378946143
30,8,0,-0.839006767445556,0,-4.53095378946143
35,8,0,-0.839006767445556,0,-4.53095378946143
40,8,0,-0.839006767445556,0,-4.53095378946143
45,8,0,-0.839006767445556,0,-4.53095378946143
50,8,0,-0.839006767445556,0,-4.53095378946143
55,8,0,-0.839006767445551,0,-4.53095378946143
60,8,0,-0.839006767445556,0,-4.53095378946143
65,8,0,-0.839006767445558,0,-4.53095378946144
70,8,0,-0.839006767445556,0,-4.53095378946143
75,8,0,-0.839006767445555,0,-4.53095378946143
80,8,0,-0.839006767445555,0,-4.53095378946143
85,8,0,-0.839006767445555,0,-4.53095378946143
90,8,0,-0.839006767445553,0,-4.53095378946143
0,8,5,-0.567496332955633,5,-4.25944335497151
5,8,5,-0.573697296747306,5,-4.26564431876318
10,8,5,-0.581288070913843,5,-4.27323509292972
15,8,5,-0.590192346229124,5,-4.282139368245
20,8,5,-0.600322533275526,5,-4.2922695552914
25,8,5,-0.611581079460791,5,-4.30352810147667
30,8,5,-0.623861804580013,5,-4.31580882659589
35,8,5,-0.637051250189817,5,-4.3289982722057
40,8,5,-0.651030041617997,5,-4.34297706363387
45,8,5,-0.665674261047633,5,-4.35762128306351
50,8,5,-0.680856826457361,5,-4.37280384847324
55,8,5,-0.696448865303506,5,-4.38839588731938
60,8,5,-0.712321064919901,5,-4.40426808693578
65,8,5,-0.728344974928252,5,-4.42029199694413
70,8,5,-0.744394231646639,5,-4.43634125366252
75,8,5,-0.76034567153695,5,-4.45229269355283
80,8,5,-0.776080300919949,5,-4.46802732293583
85,8,5,-0.791484093047472,5,-4.48343111506335
90,8,5,-0.806448591410802,5,-4.49839561342668
0,8,10,-0.101194507271607,10,-3.79314152928748
5,8,10,-0.11384371668165,10,-3.80579073869753
10,8,10,-0.129531255588367,10,-3.82147827760424
15,8,10,-0.148065373084852,10,-3.84001239510073
20,8,10,-0.169234406727571,10,-3.86118142874345
25,8,10,-0.192807704325938,10,-3.88475472634182
30,8,10,-0.218536193256515,10,-3.91048321527239
35,8,10,-0.246153129389084,10,-3.93810015140496
40,8,10,-0.275375474217618,10,-3.9673224962335
45,8,10,-0.305906207305521,10,-3.9978532293214
50,8,10,-0.337437714755209,10,-4.02938473677109
55,8,10,-0.369656233021922,10,-4.0616032550378
60,8,10,-0.402247191684365,10,-4.09419421370024
65,8,10,-0.434901197347092,10,-4.12684821936297
70,8,10,-0.46732033113542,10,-4.1592673531513
75,8,10,-0.499224384849429,10,-4.19117140686531
80,8,10,-0.530356625686182,10,-4.22230364770206
85,8,10,-0.560488651938013,10,-4.25243567395389
90,8,10,-0.58942388733479,10,-4.28137090935067
0,8,15,0.526103516365708,15,-3.16584350565017
5,8,15,0.508016049480266,15,-3.18393097253561
10,8,15,0.485158789745284,15,-3.20678823227059
15,8,15,0.457779955315336,15,-3.23416706670054
20,8,15,0.426145680802552,15,-3.26580134121333
25,8,15,0.390554687222475,15,-3.3013923347934
30,8,15,0.351352334930952,15,-3.34059468708493
35,8,15,0.308941080120002,15,-3.38300594189588
40,8,15,0.263785313028192,15,-3.42816170898769
45,8,15,0.216409691322175,15,-3.4755373306937
50,8,15,0.16739113586701,15,-3.52455588614887
55,8,15,0.117345426487671,15,-3.57460159552821
60,8,15,0.0669097257640317,15,-3.62503729625185
65,8,15,0.0167223952795834,15,-3.67522462673629
70,8,15,-0.0325987190596492,15,-3.72454574107553
75,8,15,-0.0804785821581507,15,-3.77242560417403
80,8,15,-0.126406980627775,15,-3.81835400264365
85,8,15,-0.169959219475647,15,-3.86190624149152
90,8,15,-0.21081405821946,15,-3.90276108023534
0,8,20,1.23765859135793,20,-2.45428843065795
5,8,20,1.21685169018286,20,-2.47509533183302
10,8,20,1.1898531464377,20,-2.50209387557818
15,8,20,1.15674950999916,20,-2.53519751201672
20,8,20,1.117639759124,20,-2.57430726289187
25,8,20,1.07269618067603,20,-2.61925084133985
30,8,20,1.02221693532577,20,-2.66973008669011
35,8,20,0.966662048363906,20,-2.72528497365197
40,8,20,0.90666854496697,20,-2.78527847704891
45,8,20,0.843044640767704,20,-2.84890238124817
50,8,20,0.776746313995046,20,-2.91520070802083
55,8,20,0.708841484583347,20,-2.98310553743253
60,8,20,0.64046714654307,20,-3.05147987547281
65,8,20,0.572783445635162,20,-3.11916357638072
70,8,20,0.506926624765611,20,-3.18502039725027
75,8,20,0.44396092531648,20,-3.2479860966994
80,8,20,0.384828761827963,20,-3.30711826018791
85,8,20,0.330299228034377,20,-3.3616477939815
90,8,20,0.280917165329151,20,-3.41102985668673
0,8,25,1.93762096908104,25,-1.75432605293484
5,8,25,1.91803093269794,25,-1.77391608931794
10,8,25,1.89145775608779,25,-1.80048926592809
15,8,25,1.85750080050835,25,-1.83444622150753
20,8,25,1.81579199026893,25,-1.87615503174695
25,8,25,1.76613694031302,25,-1.92581008170286
30,8,25,1.70862608596664,25,-1.98332093604924
35,8,25,1.64370058599128,25,-2.0482464360246
40,8,25,1.57216808081134,25,-2.11977894120454
45,8,25,1.49517371860534,25,-2.19677330341053
50,8,25,1.41413961011003,25,-2.27780741190585
55,8,25,1.33068886412905,25,-2.36125815788683
60,8,25,1.24656785399774,25,-2.44537916801814
65,8,25,1.16357366050114,25,-2.52837336151474
70,8,25,1.0834856617034,25,-2.60846136031248
75,8,25,1.00799435174976,25,-2.68395267026612
80,8,25,0.938619132416095,25,-2.75332788959978
85,8,25,0.876610824199111,25,-2.81533619781677
90,8,25,0.822842926844759,25,-2.86910409517112
0,8,30,2.5446633859314,30,-1.14728363608448
5,8,30,2.53046679879014,30,-1.16148022322574
10,8,30,2.50909910462054,30,-1.18284791739534
15,8,30,2.47935941811238,30,-1.2125876039035
20,8,30,2.44017587911855,30,-1.25177114289733
25,8,30,2.39084318280793,30,-1.30110383920795
30,8,30,2.33118866533718,30,-1.3607583566787
35,8,30,2.26164715102996,30,-1.43029987098592
40,8,30,2.18324410888517,30,-1.5087029131307
45,8,30,2.09750649520042,30,-1.59444052681546
50,8,30,2.00633545011776,30,-1.68561157189812
55,8,30,1.91187849588039,30,-1.78006852613549
60,8,30,1.81642809750362,30,-1.87551892451226
65,8,30,1.72235206892114,30,-1.96959495309474
70,8,30,1.63203880488311,30,-2.05990821713277
75,8,30,1.54782698556425,30,-2.14412003645163
80,8,30,1.47189120309942,30,-2.22005581891646
85,8,30,1.40607165554412,30,-2.28587536647175
90,8,30,1.35166211646101,30,-2.34028490555487
0,8,35,3.008407241317,35,-0.68353978069888
5,8,35,3.00308254509678,35,-0.688864476919096
