"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-26.6197972646841,0,-34.7800451007145
5,8,0,-26.6197972646842,0,-34.7800451007146
10,8,0,-26.6197972646843,0,-34.7800451007147
15,8,0,-26.6197972646843,0,-34.7800451007147
20,8,0,-26.6197972646843,0,-34.7800451007146
25,8,0,-26.6197972646842,0,-34.7800451007146
30,8,0,-26.6197972646842,0,-34.7800451007146
35,8,0,-26.6197972646842,0,-34.7800451007146
40,8,0,-26.6197972646843,0,-34.7800451007146
45,8,0,-26.6197972646842,0,-34.7800451007146
50,8,0,-26.6197972646842,0,-34.7800451007146
55,8,0,-26.6197972646842,0,-34.7800451007146
60,8,0,-26.6197972646843,0,-34.7800451007147
65,8,0,-26.6197972646842,0,-34.7800451007146
70,8,0,-26.6197972646842,0,-34.7800451007146
75,8,0,-26.6197972646843,0,-34.7800451007147
80,8,0,-26.6197972646842,0,-34.7800451007146
85,8,0,-26.6197972646842,0,-34.7800451007146
90,8,0,-26.6197972646843,0,-34.7800451007146
0,8,5,-9.41534226718812,5,-17.5755901032185
5,8,5,-9.3880105191481,5,-17.5482583551785
10,8,5,-9.35173944422382,5,-17.5119872802542
15,8,5,-9.30689961948359,5,-17.4671474555139
20,8,5,-9.25404914951152,5,-17.4142969855419
25,8,5,-9.19390791611327,5,-17.3541557521436
30,8,5,-9.12732359573128,5,-17.2875714317616
35,8,5,-9.05523316694367,5,-17.215481002974
40,8,5,-8.97862363217188,5,-17.1388714682022
45,8,5,-8.89849520436689,5,-17.0587430403973
50,8,5,-8.81582941615653,5,-16.9760772521869
55,8,5,-8.73156367392679,5,-16.8918115099572
60,8,5,-8.64657286289486,5,-16.8068206989252
65,8,5,-8.56165782849781,5,-16.7219056645282
70,8,5,-8.477539980099,5,-16.6377878161294
75,8,5,-8.3948609044901,5,-16.5551087405205
80,8,5,-8.31418572395303,5,-16.4744335599834
85,8,5,-8.23600895080529,5,-16.3962567868357
90,8,5,-8.16076173191909,5,-16.3210095679495
0,8,10,-3.18968952607717,10,-11.3499373621075
5,8,10,-3.17827716407058,10,-11.3385250001009
10,8,10,-3.16133882210491,10,-11.3215866581353
15,8,10,-3.13911188397537,10,-11.2993597200057
20,8,10,-3.11204572782692,10,-11.2722935638573
