"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-58.6729259661364,0,112.811307431699,0,56.3818625948814,0,-24.7294999248044
0,8,5,-53.5356546570413,5,110.22670841453,5,61.2809950273147,5,-34.4675500010951
0,8,10,-47.9909446902932,10,106.80321758962,10,65.7137420851144,10,-43.943281209801
0,8,15,-42.0809946567279,15,102.566889789309,15,69.6463678866037,15,-53.0845775148218
0,8,20,-35.8507828446255,20,97.5499660261213,20,73.0489427748497,20,-61.8218681316098
0,8,25,-29.3477249277818,25,91.7906281191941,25,75.8955711004214,25,-70.0886570028525
0,8,30,-22.6213131035959,30,85.332708107583,30,78.1645883029199,30,-77.8220288736151
0,8,35,-15.7227394275707,35,78.2253546619744,35,79.8387257913642,35,-84.9631281144236
0,8,40,-8.70450621085083,40,70.5226590336279,40,80.9052423685958,40,-91.4576066481412
0,8,45,-1.62002644594185,45,62.2832433872914,45,81.3560211994806,45,-97.2560375716547
0,8,50,5.47678269841959,50,53.5698146511255,50,81.1876315849283,50,-102.314291324447
0,8,55,12.5319102194742,55,44.4486872791256,55,80.4013550715836,55,-106.593871541202
0,8,60,19.4916623367841,60,34.989278558081,60,79.0031756984788,60,-110.062208032387
0,8,65,26.3030711343226,65,25.2635803001059,65,77.0037344548859,65,-112.69290466307
0,8,70,32.9142976783014,70,15.3456109414804,70,74.4182482959656,70,-114.46594024343
0,8,75,39.2750265427518,75,5.31085221765578,75,71.2663943325466,75,-115.367820902111
0,8,80,45.3368487403028,80,-4.76432529832506,80,67.5721600764305,80,-115.391682782735
0,8,85,51.0536301438019,85,-14.8032434220082,85,63.3636608809473,85,-114.537344281978
0,8,90,56.3818625948821,90,-24.7294999248057,90,58.6729259661357,90,-112.811307431696
5,8,0,169.296026136056,0,-1008.5977466041,0,48.5686497484027,0,-16.3707365651343
5,8,5,172.749232295645,5,-1010.88156167521,5,52.5104270083755,5,-26.3830587253876
5,8,10,176.452948897976,10,-1014.10539173757,10,56.3064434197021,10,-36.20617043226
5,8,15,180.420483358893,15,-1018.25011691866,15,59.9444445191518,15,-45.7298879442435
5,8,20,184.66649190875,20,-1023.28000193038,20,63.405491981718,20,-54.8472142698355
5,8,25,189.205518090229,25,-1029.14393855295,25,66.663335129594,25,-63.4576546828027
5,8,30,194.050305448842,30,-1035.77740628856,30,69.6840893551873,30,-71.470042150333
5,8,35,199.209938607254,35,-1043.10496732694,35,72.4262992874197,35,-78.8047199931093
5,8,40,204.687895444925,40,-1051.043084337,40,74.8414519501087,40,-85.3949917730505
5,8,45,210.480118494396,45,-1059.50304237026,45,76.8749821076788,45,-91.1878138203887
5,8,50,216.573232051699,50,-1068.39376853047,50,78.4677800158282,50,-96.143767754498
5,8,55,222.943039713315,55,-1077.62437237798,55,79.5581737784821,55,-100.236403332283
5,8,60,229.553433077019,60,-1087.1062721442,60,80.0843182928978,60,-103.451081719725
5,8,65,236.355825586235,65,-1096.75482156764,65,79.986884614791,65,-105.7834731854
5,8,70,243.289196858971,70,-1106.4904039422,70,79.2119116509532,70,-107.23787043133
5,8,75,250.280794588244,75,-1116.23900840211,75,77.7136599193177,75,-107.825470294498
5,8,80,257.247496562436,80,-1125.93234395326,80,75.4572972157747,80,-107.562754975251
5,8,85,264.097788526642,85,-1135.50757596407,85,72.4212496417584,85,-106.4700731168
5,8,90,270.734268704397,90,-1144.90678600894,90,68.5990684904061,90,-104.570485531343
10,8,0,387.146920603163,0,-2060.40833154386,0,42.0265754906495,0,-8.89675104912574
10,8,5,389.736462878863,5,-2062.59647602296,5,44.4679933858361,5,-20.102502720933
10,8,10,392.291997645992,10,-2066.09191468203,10,46.9881327839441,10,-31.168218830645
10,8,15,394.841404927418,15,-2070.84593219175,15,49.6227719460197,15,-41.8594621878356
10,8,20,397.426271081135,20,-2076.76064077837,20,52.3985431466343,20,-51.9606929436199
10,8,25,400.102101680657,25,-2083.69765056094,25,55.3281393237429,25,-61.2865952882167
10,8,30,402.936857815414,30,-2091.48925707518,30,58.4053895114926,30,-69.6901842933962
10,8,35,406.007599496795,35,-2099.95098164257,35,61.6009092524598,35,-77.0672563643832
10,8,40,409.395290615322,40,-2108.89424983791,40,64.859040626597,40,-83.3571174588305
10,8,45,413.178095064965,45,-2118.13806317742,45,68.0966943387943,45,-88.5398768757382
10,8,50,417.423731904799,50,-2127.51869769219,50,71.2045098196716,50,-92.6308981292989
