"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-5162.47300425834,0,-7255.99148560247,0,25.9809578886226,0,39.7461586727784
0,8,5,-5140.56384620185,5,-7224.91614137554,5,475.821261600861,5,671.9962398377
0,8,10,-5079.53189331844,10,-7138.85482278909,10,922.040278203582,10,1299.13202385503
0,8,15,-4979.84163562166,15,-6998.46250844283,15,1361.24201154603,15,1916.38062873347
0,8,20,-4842.25177616722,20,-6804.80766862012,20,1790.08387124022,20,2519.04441988498
0,8,25,-4667.80945686458,25,-6559.36413358399,25,2205.30211179208,25,3102.53676196056
0,8,30,-4457.84228909478,30,-6263.99987683894,30,2603.73667167537,30,3662.41692591471
0,8,35,-4213.94824978621,35,-5920.96279872461,35,2982.35522330803,35,4194.42388563484
0,8,40,-3937.98351984525,40,-5532.8636185369,40,3338.276250896,40,4694.5087469229
0,8,45,-3632.0483574988,45,-5102.65600537772,45,3668.79098050833,45,5158.86556202499
0,8,50,-3298.47111406102,50,-4633.61409894969,50,3971.38399548244,50,5583.96029519189
0,8,55,-2939.79051377393,55,-4129.30759137596,55,4243.7523802637,55,5966.55771882496
0,8,60,-2558.73633258297,60,-3593.57455968777,60,4483.82324698341,60,6303.74603551171
0,8,65,-2158.20862289382,65,-3030.4922557407,65,4689.76951138707,65,6592.95903856231
0,8,70,-1741.25564242245,70,-2444.3460758662,70,4860.02379804883,70,6831.99564239193
0,8,75,-1311.05065511334,75,-1839.59694641784,75,4993.29036904483,75,7019.03663411119
0,8,80,-870.867780684786,80,-1220.84737342823,80,5088.55498530125,80,7152.65851883467
0,8,85,-424.05707660088,85,-592.806414759035,85,5145.09262556601,85,7231.84435333652
0,8,90,25.9809578886218,90,39.7461586727757,90,5162.47300425835,90,7255.99148560247
5,8,0,-6731.58442308465,0,-5083.78978402599,0,40.8007000871386,0,39.8156639956654
5,8,5,-6694.14583681344,5,-5056.470994805,5,634.975590415712,5,616.356266478471
5,8,10,-6593.47137170287,10,-4984.34296496802,10,1220.50932484298,10,1189.42322414501
5,8,15,-6431.25997508534,15,-4867.50816045945,15,1789.66439963985,15,1756.06904681485
5,8,20,-6210.22967787391,20,-4706.12487111804,20,2335.03508609659,20,2313.25883118643
5,8,25,-5934.05437566663,25,-4500.4455494965,25,2849.6957200315,25,2857.83449099325
5,8,30,-5607.27824073419,30,-4250.866635253,30,3327.33714480303,30,3386.49126960492
5,8,35,-5235.20986187988,35,-3957.98625798255,35,3762.38779470747,35,3895.769248284
5,8,40,-4823.79876968842,40,-3622.66564526406,40,4150.11624291186,40,4382.06152920535
5,8,45,-4379.49752348213,45,-3246.0897892019,45,4486.71247001297,45,4841.63963212662
5,8,50,-3909.1129956111,50,-2829.82295947862,50,4769.34563529901,50,5270.69547978731
5,8,55,-3419.65086846953,55,-2375.85498663138,55,4996.19674808709,55,5665.39824284853
5,8,60,-2918.15763869724,60,-1886.63484653453,60,5166.46533108128,60,6021.96334793895
5,8,65,-2411.56458079037,65,-1365.08890688868,65,5280.34992541381,65,6336.73018814735
5,8,70,-1906.53814076154,70,-814.622184165945,70,5339.00308544754,70,6606.24456372266
5,8,75,-1409.34109619835,75,-239.102029696358,75,5344.46232222943,75,6827.34165141391
5,8,80,-925.708525414199,80,357.175263362685,80,5299.55924475193,80,6997.22536132385
5,8,85,-460.742177038729,85,969.533442438371,85,5207.80988222161,85,7113.54027551345
5,8,90,-18.8262333498806,90,1592.9785244142,90,5073.28981238197,90,7174.43293723518
10,8,0,-7748.65574026638,0,-2654.44901821201,0,54.3556605304255,0,35.2015487221339
10,8,5,-7699.27185409931,5,-2636.57249256126,5,770.291832992155,5,520.382641744858
10,8,10,-7568.15221447332,10,-2591.12366760392,10,1473.36350331678,10,1005.58608231749
10,8,15,-7357.96512126628,15,-2516.98909530362,15,2152.00566556112,15,1491.16419701714
10,8,20,-7072.99941807782,20,-2412.40316837253,20,2795.193586265,20,1976.99349940671
10,8,25,-6719.06635730857,25,-2275.10678391198,25,3392.69400187316,25,2462.27982966271
10,8,30,-6303.36377403543,30,-2102.5526463571,30,3935.30029891125,30,2945.41292429906
10,8,35,-5834.30434205305,35,-1892.14250236223,35,4415.04578150337,35,3423.88093497321
10,8,40,-5321.31056676755,40,-1641.47946270708,40,4825.38902585249,40,3894.25103701659
10,8,45,-4774.58023257273,45,-1348.61766600782,45,5161.36536599099,45,4352.21751014914
