"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,1.87177396021452,0,1.3603485407834
5,8,0,1.87177396021452,0,1.3603485407834
10,8,0,1.87177396021453,0,1.36034854078341
15,8,0,1.87177396021453,0,1.36034854078341
20,8,0,1.87177396021452,0,1.36034854078341
25,8,0,1.87177396021453,0,1.36034854078341
30,8,0,1.87177396021453,0,1.36034854078341
35,8,0,1.87177396021453,0,1.36034854078341
40,8,0,1.87177396021453,0,1.36034854078341
45,8,0,1.87177396021453,0,1.36034854078341
50,8,0,1.87177396021453,0,1.36034854078341
55,8,0,1.87177396021453,0,1.36034854078341
60,8,0,1.87177396021453,0,1.36034854078341
65,8,0,1.87177396021453,0,1.36034854078341
70,8,0,1.87177396021452,0,1.36034854078341
75,8,0,1.87177396021453,0,1.36034854078341
80,8,0,1.87177396021453,0,1.36034854078341
85,8,0,1.87177396021453,0,1.36034854078341
90,8,0,1.87177396021453,0,1.36034854078341
0,8,5,2.48118996101045,5,1.96976454157934
5,8,5,2.48003517315588,5,1.96860975372476
10,8,5,2.47430728620265,5,1.96288186677154
15,8,5,2.46405725851905,5,1.95263183908793
20,8,5,2.44937872615613,5,1.93795330672501
25,8,5,2.43040672205046,5,1.91898130261934
30,8,5,2.4073159417883,5,1.89589052235718
35,8,5,2.380318598448,5,1.86889317901689
40,8,5,2.34966190936951,5,1.8382364899384
45,8,5,2.31562525655442,5,1.8041998371233
50,8,5,2.27851706004697,5,1.76709164061586
55,8,5,2.23867140035446,5,1.72724598092334
60,8,5,2.19644442206799,5,1.68501900263688
65,8,5,2.15221054681358,5,1.64078512738247
70,8,5,2.10635852016819,5,1.59493310073708
75,8,5,2.05928731509656,5,1.54786189566544
80,8,5,2.01140191483667,5,1.49997649540555
85,8,5,1.96310900202802,5,1.45168358259691
90,8,5,1.91481258906385,5,1.40338716963274
0,8,10,3.15466736138063,10,2.64324194194951
5,8,10,3.15205040337485,10,2.64062498394374
10,8,10,3.13997739603429,10,2.62855197660318
15,8,10,3.11858544591785,10,2.60716002648673
20,8,10,3.08810621501512,10,2.576680795584
25,8,10,3.04886120203249,10,2.53743578260138
30,8,10,3.00125635187823,10,2.48983093244712
