"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,6177.58660608245,0,6642.11753120493,0,25.9049371595214,0,67.1715029215997
0,8,5,6156.33678802089,5,6622.69665091719,5,-512.605787988387,5,-511.982791776055
0,8,10,6088.2335297047,10,6552.87305022241,10,-1047.21527356987,10,-1087.24058828463
0,8,15,5973.79513805154,15,6433.17812888251,15,-1573.8548185936,15,-1654.22382742255
0,8,20,5813.89255832168,20,6264.52283752264,20,-2088.51637812833,20,-2208.61742438612
0,8,25,5609.74274569869,25,6048.19074474692,25,-2587.28306694482,25,-2746.20210915045
0,8,30,5362.89940352565,30,5785.82826840625,30,-3066.35896937764,30,-3262.88653766198
0,8,35,5075.24115868459,35,5479.43214536439,35,-3522.09802853532,35,-3754.73842943714
0,8,40,4748.95726411153,40,5131.33423512471,40,-3951.03179499492,40,-4218.01449459123
0,8,45,4386.5309372598,45,4744.18377297141,45,-4349.89582379638,45,-4649.1889225347
0,8,50,3990.72046131572,50,4320.92720768932,50,-4715.65451883984,50,-5044.98021552066
0,8,55,3564.53819299812,55,3864.78577730953,55,-5045.52423560488,55,-5402.37616282416
0,8,60,3111.22763670481,60,3379.23099354296,60,-5336.99446636613,60,-5718.65676548465
0,8,65,2634.23875948556,65,2867.95822148006,65,-5587.84694667297,65,-5991.41493714044
0,8,70,2137.20173470977,70,2334.85855563118,70,-5796.1725376814,70,-6218.57482340935
0,8,75,1623.89931425516,75,1783.9892063478,75,-5960.3857558534,75,-6398.40760039396
0,8,80,1098.23803948184,80,1219.54262200198,80,-6079.23683944404,80,-6529.54463207544
0,8,85,564.218510093815,85,645.81458192276,85,-6151.82125994295,85,-6610.98788645998
0,8,90,25.9049371595204,90,67.1715029216008,90,-6177.58660608245,90,-6642.11753120493
5,8,0,4874.53542471687,0,8573.30506991231,0,36.2059965228363,0,69.8324039119288
5,8,5,4868.40547181387,5,8548.77973692671,5,-349.136279261111,5,-561.896847193568
5,8,10,4842.08398448815,10,8465.19342872497,10,-735.391245768715,10,-1188.20328721886
5,8,15,4794.85396438931,15,8323.3962505775,15,-1122.8847519021,15,-1803.33646061717
5,8,20,4725.60091673177,20,8124.80968124185,20,-1511.72191871544,20,-2401.65940983079
5,8,25,4632.86676191002,25,7871.41570931999,25,-1901.69184208768,25,-2977.70483370316
5,8,30,4514.92225191308,30,7565.74145229839,30,-2292.18404017547,30,-3526.23153705437
5,8,35,4369.85552192995,35,7210.83864733461,35,-2682.11994799083,35,-4042.28112966458
5,8,40,4195.67383412263,40,6810.25727381917,40,-3069.90231509022,40,-4521.2346946589
5,8,45,3990.41507183427,45,6368.01251073824,45,-3453.38481443976,45,-4958.86885618126
5,8,50,3752.26513870053,50,5888.54426414844,50,-3829.86353080077,50,-5351.41035300131
5,8,55,3479.67712825103,55,5376.66863431369,55,-4196.09128024992,55,-5695.58789265103
5,8,60,3171.48797377756,60,4837.52093442889,60,-4548.31493898085,60,-5988.67974871267
