"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.97878444366238,0,1.29703789389364
5,8,0,4.97878444366238,0,1.29703789389364
10,8,0,4.97878444366238,0,1.29703789389364
15,8,0,4.97878444366238,0,1.29703789389364
20,8,0,4.97878444366238,0,1.29703789389364
25,8,0,4.97878444366238,0,1.29703789389364
30,8,0,4.97878444366238,0,1.29703789389364
35,8,0,4.97878444366238,0,1.29703789389364
40,8,0,4.97878444366238,0,1.29703789389364
45,8,0,4.97878444366238,0,1.29703789389364
50,8,0,4.97878444366238,0,1.29703789389364
55,8,0,4.97878444366238,0,1.29703789389364
60,8,0,4.97878444366238,0,1.29703789389364
65,8,0,4.97878444366238,0,1.29703789389364
70,8,0,4.97878444366238,0,1.29703789389364
75,8,0,4.97878444366238,0,1.29703789389364
80,8,0,4.97878444366238,0,1.29703789389364
85,8,0,4.97878444366238,0,1.29703789389364
90,8,0,4.97878444366238,0,1.29703789389364
0,8,5,4.97897255062998,5,1.29722600086124
5,8,5,4.98029308515966,5,1.29854653539093
10,8,5,4.98203034942029,5,1.30028379965155
15,8,5,4.98415466414611,5,1.30240811437737
20,8,5,4.98662574441199,5,1.30487919464325
25,8,5,4.98939266039753,5,1.30764611062879
30,8,5,4.99239389783248,5,1.31064734806374
35,8,5,4.99555768783815,5,1.31381113806941
40,8,5,4.99880277731696,5,1.31705622754822
45,8,5,5.00203978455665,5,1.32029323478791
50,8,5,5.00517323244198,5,1.32342668267324
55,8,5,5.00810427939437,5,1.32635772962563
60,8,5,5.01073408467799,5,1.32898753490925
65,8,5,5.01296766065733,5,1.33122111088859
70,8,5,5.01471799099189,5,1.33297144122315
75,8,5,5.01591014046852,5,1.33416359069978
80,8,5,5.01648505652487,5,1.33473850675613
85,8,5,5.01640276831846,5,1.33465621854972
90,8,5,5.01564472629801,5,1.33389817652928
0,8,10,4.97054977419744,10,1.2888032244287
5,8,10,4.97340929384788,10,1.29166274407914
10,8,10,4.9774243311372,10,1.29567778136846
