"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-0.445846332493884,0,-1.10057847143536
5,8,0,-0.445846332493883,0,-1.10057847143536
10,8,0,-0.445846332493882,0,-1.10057847143536
15,8,0,-0.445846332493881,0,-1.10057847143536
20,8,0,-0.445846332493881,0,-1.10057847143536
25,8,0,-0.445846332493878,0,-1.10057847143536
30,8,0,-0.445846332493876,0,-1.10057847143536
35,8,0,-0.445846332493878,0,-1.10057847143536
40,8,0,-0.44584633249388,0,-1.10057847143536
45,8,0,-0.445846332493879,0,-1.10057847143536
50,8,0,-0.445846332493878,0,-1.10057847143536
55,8,0,-0.445846332493879,0,-1.10057847143536
60,8,0,-0.445846332493879,0,-1.10057847143536
65,8,0,-0.44584633249388,0,-1.10057847143536
70,8,0,-0.445846332493881,0,-1.10057847143536
75,8,0,-0.44584633249388,0,-1.10057847143536
80,8,0,-0.445846332493881,0,-1.10057847143536
85,8,0,-0.445846332493882,0,-1.10057847143536
90,8,0,-0.44584633249388,0,-1.10057847143536
0,8,5,-0.480297955908277,5,-1.13503009484976
5,8,5,-0.412295471389399,5,-1.06702761033088
10,8,5,-0.342829337255764,5,-0.997561476197245
15,8,5,-0.27257971484289,5,-0.927311853784371
20,8,5,-0.202262168202133,5,-0.856994307143613
25,8,5,-0.132609732237422,5,-0.787341871178902
30,8,5,-0.0643547285948682,5,-0.719086867536348
35,8,5,0.00178858705351996,5,-0.65294355188796
40,8,5,0.0651396348220074,5,-0.589592504119473
45,8,5,0.125064695857584,5,-0.529667443083896
50,8,5,0.180987246835535,5,-0.473744892105946
55,8,5,0.232395270035963,5,-0.422336868905517
60,8,5,0.278845592768796,5,-0.375886546172685
65,8,5,0.319965497673703,5,-0.334766641267777
70,8,5,0.355451986007231,5,-0.299280152934249
75,8,5,0.385069167728672,5,-0.269662971212809
80,8,5,0.408644297446425,5,-0.246087841495056
85,8,5,0.426062979157859,5,-0.228669159783622
90,8,5,0.437264031729456,5,-0.217468107212025
0,8,10,-0.416083233347046,10,-1.07081537228853
5,8,10,-0.285515069030292,10,-0.940247207971773
10,8,10,-0.148368284591374,10,-0.803100423532855
15,8,10,-0.00686989176565346,10,-0.661602030707134
20,8,10,0.13657819147795,10,-0.51815394746353
25,8,10,0.279533988348695,10,-0.375198150592786
30,8,10,0.419638698464336,10,-0.235093440477144
35,8,10,0.554718495514087,10,-0.100013643427393
40,8,10,0.682859546982244,10,0.0281274080407636
45,8,10,0.802454941601178,10,0.147722802659697
50,8,10,0.912225242309658,10,0.257493103368178
55,8,10,1.01121629368881,10,0.356484154747327
60,8,10,1.09877885132853,10,0.44404671238705
65,8,10,1.17453483663182,10,0.51980269769034
70,8,10,1.2383348287545,10,0.583602689813022
75,8,10,1.29021099887794,10,0.635478859936463
80,8,10,1.330329201816,10,0.675597062874517
85,8,10,1.35894342324211,10,0.704211284300629
90,8,10,1.37635524380032,10,0.721623104858843
0,8,15,-0.308154134402499,15,-0.96288627334398
5,8,15,-0.124139087780351,15,-0.778871226721831
10,8,15,0.076317486615483,15,-0.578414652325998
15,8,15,0.287823737785227,15,-0.366908401156254
20,8,15,0.504576421767264,15,-0.150155717174217
25,8,15,0.720860116341126,15,0.0661279773996457
30,8,15,0.931447614264187,15,0.276715475322707
35,8,15,1.13187357089373,15,0.477141431952246
40,8,15,1.31858327398852,15,0.663851135047039
45,8,15,1.48897614488189,15,0.834244005940413
50,8,15,1.64137005462832,15,0.986637915686836
55,8,15,1.77491150930205,15,1.12017937036057
60,8,15,1.88945220952416,15,1.23472007058268
65,8,15,1.98540729694114,15,1.33067515799966
70,8,15,2.06360632156377,15,1.40887418262229
75,8,15,2.12514513489015,15,1.47041299594867
80,8,15,2.17124543462851,15,1.51651329568703
85,8,15,2.20312811795853,15,1.54839597901705
90,8,15,2.22190636022534,15,1.56717422128386
0,8,20,-0.19565618135267,20,-0.85038832029415
5,8,20,0.0305165930076851,20,-0.624215545933795
10,8,20,0.287643689311811,20,-0.367088449629669
15,8,20,0.565198915353764,20,-0.0895332235877165
20,8,20,0.851961642874345,20,0.197229503932865
25,8,20,1.13729262977379,20,0.482560490832309
30,8,20,1.41201514362325,20,0.757283004681768
35,8,20,1.66888162872379,20,1.01414948978231
40,8,20,1.90270577740515,20,1.24797363846367
45,8,20,2.11026975971981,20,1.45553762077833
50,8,20,2.2901031232991,20,1.63537098435762
55,8,20,2.44220101357414,20,1.78746887463266
60,8,20,2.56772164137771,20,1.91298950243623
65,8,20,2.66868292562197,20,2.01395078668049
70,8,20,2.74766673405438,20,2.0929345951129
75,8,20,2.80753465762366,20,2.15280251868218
80,8,20,2.85115982025668,20,2.1964276813152
85,8,20,2.88118283965098,20,2.2264507007095
90,8,20,2.89980455782577,20,2.24507241888429
0,8,25,-0.102615582222453,25,-0.757347721163934
5,8,25,0.15343655564947,25,-0.50129558329201
10,8,25,0.458489178732286,25,-0.196242960209194
15,8,25,0.795123196886054,25,0.140391057944575
20,8,25,1.14493032214226,25,0.490198183200778
25,8,25,1.49108243633995,25,0.836350297398469
30,8,25,1.81985035005317,25,1.16511821111169
35,8,25,2.12117136791038,25,1.46643922896889
40,8,25,2.38857722000642,25,1.73384508106494
45,8,25,2.61878683121755,25,1.96405469227607
50,8,25,2.8111732929371,25,2.15644115399562
55,8,25,2.96721770597687,25,2.31248556703539
60,8,25,3.08999504230037,25,2.43526290335889
65,8,25,3.18369916417984,25,2.52896702523836
70,8,25,3.25319717928009,25,2.59846504033861
75,8,25,3.30360013951498,25,2.6488680005735
80,8,25,3.33984371918793,25,2.68511158024645
85,8,25,3.36628653327652,25,2.71155439433504
90,8,25,3.3863516541129,25,2.73161951517142
0,8,30,-0.0470904944538352,30,-0.701822633395316
5,8,30,0.226823671423917,30,-0.427908467517564
10,8,30,0.569628061070503,30,-0.0851040778709769
15,8,30,0.955962371867796,30,0.301230232926315
20,8,30,1.3591266485453,30,0.70439450960382
25,8,30,1.75545183952152,30,1.10071970058004
30,8,30,2.12653865959885,30,1.47180652065737
35,8,30,2.45977315895391,30,1.80504102001243
40,8,30,2.74785699037807,30,2.09312485143659
45,8,30,2.98794358390824,30,2.33321144496676
50,8,30,3.18071527389813,30,2.52598313495665
55,8,30,3.3295420282621,30,2.67480988932062
60,8,30,3.43975399007875,30,2.78502185113727
65,8,30,3.51800996595421,30,2.86327782701273
70,8,30,3.57172392264631,30,2.91699178370483
75,8,30,3.60850714895547,30,2.95377501001399
80,8,30,3.63559351010575,30,2.98086137116427
85,8,30,3.65924304781381,30,3.00451090887233
90,8,30,3.68416417001467,30,3.02943203107319
0,8,35,-0.047956458086215,35,-0.702688597027695
5,8,35,0.233346241347063,35,-0.421385897594418
10,8,35,0.603528013594479,35,-0.0512041253470015
15,8,35,1.02919533313828,35,0.374463194196795
20,8,35,1.47507168568075,35,0.820339546739267
25,8,35,1.91056191833647,35,1.25582977939499
30,8,35,2.31276692194631,35,1.65803478300483
35,8,35,2.66684586707759,35,2.01211372813611
40,8,35,2.96504338086306,35,2.31031124192158
45,8,35,3.2053034628345,35,2.55057132389302
50,8,35,3.38991895297157,35,2.73518681403009
55,8,35,3.52437016598939,35,2.8696380270479
60,8,35,3.61637158473314,35,2.96163944579166
65,8,35,3.67509286402506,35,3.02036072508358
70,8,35,3.71049322519403,35,3.05576108625255
75,8,35,3.73268668820808,35,3.0779545492666
80,8,35,3.75125009970287,35,3.09651796076139
85,8,35,3.77442194039597,35,3.11968980145449
90,8,35,3.80823156114181,35,3.15349942220033
0,8,40,-0.124342054705508,40,-0.779074193646989
5,8,40,0.156342534484688,40,-0.498389604456793
10,8,40,0.544519316882211,40,-0.11021282205927
15,8,40,0.999596527238891,40,0.34486438829741
20,8,40,1.47818062768669,40,0.823448488745211
25,8,40,1.94304798641107,40,1.28831584746959
30,8,40,2.36704039408997,40,1.71230825514849
35,8,40,2.73331814415693,40,2.07858600521545
40,8,40,3.03391102384831,40,2.37917888490683
45,8,40,3.26781366150232,40,2.61308152256084
