"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.15457463742821,0,2.42548307237787
5,8,0,4.15457463742821,0,2.42548307237787
10,8,0,4.15457463742821,0,2.42548307237787
15,8,0,4.15457463742821,0,2.42548307237788
20,8,0,4.15457463742821,0,2.42548307237788
25,8,0,4.15457463742821,0,2.42548307237787
30,8,0,4.15457463742821,0,2.42548307237787
35,8,0,4.15457463742821,0,2.42548307237788
40,8,0,4.15457463742821,0,2.42548307237787
45,8,0,4.15457463742821,0,2.42548307237787
50,8,0,4.15457463742821,0,2.42548307237787
55,8,0,4.15457463742821,0,2.42548307237787
60,8,0,4.15457463742821,0,2.42548307237787
65,8,0,4.15457463742821,0,2.42548307237787
70,8,0,4.15457463742821,0,2.42548307237787
75,8,0,4.15457463742821,0,2.42548307237787
80,8,0,4.15457463742821,0,2.42548307237787
85,8,0,4.15457463742821,0,2.42548307237787
90,8,0,4.15457463742821,0,2.42548307237787
0,8,5,4.78646393795738,5,3.05737237290705
5,8,5,4.79303686616903,5,3.06394530111869
10,8,5,4.79562454577871,5,3.06653298072837
15,8,5,4.79424026246058,5,3.06514869741024
20,8,5,4.78889650349735,5,3.05980493844701
25,8,5,4.77960464439715,5,3.05051307934682
30,8,5,4.76637531094629,5,3.03728374589595
35,8,5,4.74921943734671,5,3.02012787229638
40,8,5,4.72815002241928,5,2.99905845736894
45,8,5,4.70318456404808,5,2.97409299899774
50,8,5,4.67434812825645,5,2.94525656320611
55,8,5,4.64167698484142,5,2.91258541979108
60,8,5,4.60522271764635,5,2.87613115259602
65,8,5,4.56505669548447,5,2.83596513043413
70,8,5,4.52127477038187,5,2.79218320533154
75,8,5,4.47400205386485,5,2.74491048881452
80,8,5,4.42339760987943,5,2.69430604482909
85,8,5,4.3696588947699,5,2.64056732971956
90,8,5,4.31302577053932,5,2.58393420548898
0,8,10,5.22764707581326,10,3.49855551076292
5,8,10,5.23574697925966,10,3.50665541420933
10,8,10,5.23839997617646,10,3.50930841112613
15,8,10,5.23570581155872,10,3.50661424650838
20,8,10,5.22771342048423,10,3.4986218554339
25,8,10,5.21441665284947,10,3.48532508779913
30,8,10,5.19575226120344,10,3.4666606961531
35,8,10,5.17160058816857,10,3.44250902311824
40,8,10,5.1417892492654,10,3.41269768421507
45,8,10,5.10609993552944,10,3.3770083704791
50,8,10,5.06427828024089,10,3.33518671519056
55,8,10,5.01604656618988,10,3.28695500113954
60,8,10,4.96111891007304,10,3.2320273450227
65,8,10,4.89921845760805,10,3.17012689255772
70,8,10,4.83009605795324,10,3.1010044929029
75,8,10,4.7535498540726,10,3.02445828902226
80,8,10,4.66944521828881,10,2.94035365323847
85,8,10,4.57773447031783,10,2.8486429052675
90,8,10,4.47847583130794,10,2.74938426625761
0,8,15,5.49306434692298,15,3.76397278187264
5,8,15,5.49941582812411,15,3.77032426307377
10,8,15,5.50031424069758,15,3.77122267564724
15,8,15,5.4960441898135,15,3.76695262476317
20,8,15,5.48677383482849,15,3.75768226977816
25,8,15,5.47253574174331,15,3.74344417669298
30,8,15,5.45321331859895,15,3.72412175354861
35,8,15,5.42853474301693,15,3.6994431779666
40,8,15,5.39807552653398,15,3.66898396148364
45,8,15,5.3612699816,15,3.63217841654966
50,8,15,5.31743102950748,15,3.58833946445714
55,8,15,5.26577715637972,15,3.53668559132939
60,8,15,5.20546497481901,15,3.47637340976867
65,8,15,5.13562578544768,15,3.40653422039734
70,8,15,5.05540468604772,15,3.32631312099738
75,8,15,4.96400103337355,15,3.23490946832321
